"","grade","prev.grade","act"
"1",1,1,22
"2",0,0,17
"3",1,1,22
"4",0,0,17
"5",1,0,18
"6",0,0,19
"7",0,0,21
"8",0,0,24
"9",0,1,22
"10",0,0,20
"11",0,1,22
"12",1,1,20
"13",1,1,25
"14",1,0,20
"15",1,0,20
"16",0,0,19
"17",1,0,21
"18",0,0,18
"19",1,1,22
"20",1,1,17
"21",0,0,19
"22",1,0,21
"23",1,1,24
"24",1,1,18
"25",1,0,21
"26",0,0,19
"27",1,0,21
"28",1,0,26
"29",0,0,19
"30",1,1,21
"31",0,0,21
"32",0,0,20
"33",1,1,29
"34",0,0,18
"35",1,1,20
"36",0,1,23
"37",0,0,19
"38",0,0,24
"39",0,0,17
"40",1,0,18
"41",0,0,20
"42",0,0,19
"43",0,0,23
"44",0,0,16
"45",0,0,18
"46",1,1,20
"47",1,0,17
"48",0,1,27
"49",0,0,24
"50",0,0,19
"51",0,1,21
"52",1,1,26
"53",1,0,20
"54",1,1,19
"55",1,1,26
"56",0,0,17
"57",1,1,17
"58",1,0,21
"59",0,0,18
"60",1,1,17
"61",0,0,17
"62",0,0,23
"63",0,0,23
"64",1,0,23
"65",1,1,19
"66",0,0,24
"67",1,0,17
"68",0,0,15
"69",1,1,21
"70",0,0,17
"71",0,0,17
"72",0,0,18
"73",0,1,19
"74",0,0,17
"75",1,0,21
"76",1,1,19
"77",0,0,16
"78",0,0,21
"79",1,0,25
"80",0,0,18
"81",1,1,26
"82",0,0,18
"83",0,0,23
"84",1,0,22
"85",0,0,21
"86",1,1,23
"87",1,0,22
"88",0,0,20
"89",1,1,15
"90",0,0,22
"91",0,0,22
"92",0,0,21
"93",1,1,24
"94",1,1,23
"95",1,0,28
"96",0,0,18
"97",0,0,23
"98",0,1,15
"99",0,0,19
"100",1,1,22
