"","Player","Year","Age","G","AB","R","H","X2B","X3B","HR","RBI","BB","SO"
"1","Sosa",1989,20,58,183,27,47,8,0,4,13,11,47
"2","Sosa",1990,21,153,532,72,124,26,10,15,70,33,150
"3","Sosa",1991,22,116,316,39,64,10,1,10,33,14,98
"4","Sosa",1992,23,67,262,41,68,7,2,8,25,19,63
"5","Sosa",1993,24,159,598,92,156,25,5,33,93,38,135
"6","Sosa",1994,25,105,426,59,128,17,6,25,70,25,92
"7","Sosa",1995,26,144,564,89,151,17,3,36,119,58,134
"8","Sosa",1996,27,124,498,84,136,21,2,40,100,34,134
"9","Sosa",1997,28,162,642,90,161,31,4,36,119,45,174
"10","Sosa",1998,29,159,643,134,198,20,0,66,158,73,171
"11","Sosa",1999,30,162,625,114,180,24,2,63,141,78,171
"12","Sosa",2000,31,156,604,106,193,38,1,50,138,91,168
"13","Sosa",2001,32,160,577,146,189,34,5,64,160,116,153
"14","Sosa",2002,33,150,556,122,160,19,2,49,108,103,144
"15","Sosa",2003,34,137,517,99,144,22,0,40,103,62,143
"16","Sosa",2004,35,126,478,69,121,21,0,35,80,56,133
"17","Sosa",2005,36,102,380,39,84,15,1,14,45,39,84
"18","Greenberg",1930,19,1,1,0,0,0,0,0,0,0,0
"19","Greenberg",1933,22,117,449,59,135,33,3,12,87,46,78
"20","Greenberg",1934,23,153,593,118,201,63,7,26,139,63,93
"21","Greenberg",1935,24,152,619,121,203,46,16,36,170,87,91
"22","Greenberg",1936,25,12,46,10,16,6,2,1,16,9,6
"23","Greenberg",1937,26,154,594,137,200,49,14,40,183,102,101
"24","Greenberg",1938,27,155,556,144,175,23,4,58,146,119,92
"25","Greenberg",1939,28,138,500,112,156,42,7,33,112,91,95
"26","Greenberg",1940,29,148,573,129,195,50,8,41,150,93,75
"27","Greenberg",1941,30,19,67,12,18,5,1,2,12,16,12
"28","Greenberg",1945,34,78,270,47,84,20,2,13,60,42,40
"29","Greenberg",1946,35,142,523,91,145,29,5,44,127,80,88
"30","Greenberg",1947,36,125,402,71,100,13,2,25,74,104,73
"31","Aaron",1954,20,122,468,58,131,27,6,13,69,28,39
"32","Aaron",1955,21,153,602,105,189,37,9,27,106,49,61
"33","Aaron",1956,22,153,609,106,200,34,14,26,92,37,54
"34","Aaron",1957,23,151,615,118,198,27,6,44,132,57,58
"35","Aaron",1958,24,153,601,109,196,34,4,30,95,59,49
"36","Aaron",1959,25,154,629,116,223,46,7,39,123,51,54
"37","Aaron",1960,26,153,590,102,172,20,11,40,126,60,63
"38","Aaron",1961,27,155,603,115,197,39,10,34,120,56,64
"39","Aaron",1962,28,156,592,127,191,28,6,45,128,66,73
"40","Aaron",1963,29,161,631,121,201,29,4,44,130,78,94
"41","Aaron",1964,30,145,570,103,187,30,2,24,95,62,46
"42","Aaron",1965,31,150,570,109,181,40,1,32,89,60,81
"43","Aaron",1966,32,158,603,117,168,23,1,44,127,76,96
