"","county","perot","gore","bush","buchanan"
"1","Alachua",8072,47300,34062,262
"2","Baker",667,2392,5610,73
"3","Bay",5922,18850,38637,248
"4","Bradford",819,3075,5414,65
"5","Brevard",25249,97318,115185,570
"6","Broward",38964,386518,177279,789
"7","Calhoun",630,2155,2873,90
"8","Charlotte",7783,29645,35426,182
"9","Citrus",7244,25525,29766,270
"10","Clay",3281,14632,41736,186
"11","Collier",6320,29918,60433,122
"12","Columbia",1970,7047,10964,89
"13","Desoto",965,3322,4256,36
"14","Dixie",652,1826,2697,29
"15","Duval",13844,107864,152098,652
"16","Escambia",8587,40958,73029,504
"17","Flagler",2185,13891,12608,83
"18","Franklin",878,2046,2454,33
"19","Gadsden",938,9565,4750,39
"20","Gilchrist",841,1910,3300,29
"21","Glades",521,1441,1840,9
"22","Gulf",1054,2397,3550,71
"23","Hamilton",406,1722,2146,23
"24","Hardee",851,2341,3764,30
"25","Hendry",1135,3240,4747,22
"26","Hernando",7272,32644,30646,242
"27","Highlands",3739,14167,20206,127
"28","Hillsborou",25154,169557,180760,847
"29","Holmes",1208,2154,4985,76
"30","IndianRive",4635,19768,28635,105
"31","Jackson",1602,6868,9138,102
"32","Jefferson",393,3041,2478,29
"33","Lafayette",316,788,1669,10
"34","Lake",8813,36555,49963,289
"35","Lee",18389,73560,106141,305
"36","Leon",6672,61425,39053,282
"37","Levy",1774,5403,6860,67
"38","Liberty",376,1011,1316,39
"39","Madison",578,3011,3038,29
"40","Manatee",10360,49169,57948,272
"41","Marion",11340,44665,55141,563
"42","Martin",5005,26619,33864,108
"43","MiamiDade",24722,328764,289492,560
"44","Monroe",4817,16483,16059,47
"45","Nassau",1657,6879,16280,90
"46","Okaloosa",5432,16948,52093,267
"47","Okeechobee",1666,4588,5057,43
"48","Orange",18191,140115,134476,446
"49","Osceola",6091,28181,26212,145
"50","PalmBeach",30739,268945,152846,3407
"51","Pasco",18011,69564,68582,570
"52","Pinellas",36990,200212,184884,1010
"53","Polk",14991,74977,90101,538
"54","Putnam",3272,12102,13447,148
"55","SantaRosa",4957,12802,36274,311
"56","Sarasota",14939,72853,83100,305
"57","Seminole",9357,58888,75293,194
"58","StJohns",4205,19502,39546,229
"59","StLucie",8482,41559,34705,124
"60","Sumter",2375,9637,12127,114
"61","Suwannee",1874,4075,8006,108
"62","Taylor",1140,2649,4056,27
"63","Union",425,1407,2332,29
"64","Volusia",17319,97063,82214,396
"65","Wakulla",1091,3838,4512,46
"66","Walton",2342,5642,12182,120
"67","Washington",1287,2796,4983,88
