"","Team.1","Team.2","Wins.Team1","Wins.Team2"
"1",2,1,12,6
"2",3,1,7,11
"3",3,2,6,12
"4",4,1,8,10
"5",4,2,4,14
"6",4,3,11,7
"7",5,1,10,8
"8",5,2,9,9
"9",5,3,6,12
"10",5,4,10,8
"11",6,1,7,11
"12",6,2,7,11
"13",6,3,9,9
"14",6,4,3,15
"15",6,5,4,14
"16",7,1,12,6
"17",7,2,9,9
"18",7,3,13,5
"19",7,4,10,8
"20",7,5,8,10
"21",7,6,15,3
"22",8,1,9,9
"23",8,2,10,8
"24",8,3,13,5
"25",8,4,8,10
"26",8,5,6,12
"27",8,6,12,6
"28",8,7,8,10
"29",9,1,9,9
"30",9,2,11,7
"31",9,3,11,7
"32",9,4,12,6
"33",9,5,9,9
"34",9,6,11,7
"35",9,7,8,10
"36",9,8,10,8
"37",10,1,12,6
"38",10,2,8,10
"39",10,3,10,8
"40",10,4,8,10
"41",10,5,10,8
"42",10,6,11,7
"43",10,7,13,5
"44",10,8,12,6
"45",10,9,9,9
