"","Game","AB","R","H","X2B","X3B","HR","RBI","BB","SO"
"1",1,5,0,0,0,0,0,0,0,1
"2",2,3,1,1,0,0,0,1,1,0
"3",3,3,1,0,0,0,0,0,2,0
"4",4,4,1,2,1,0,0,0,0,0
"5",5,4,0,1,0,0,0,0,0,0
"6",6,5,0,1,0,0,0,0,0,1
"7",7,4,0,1,0,0,0,0,0,0
"8",8,4,1,2,1,0,0,0,0,0
"9",9,4,1,1,1,0,0,0,0,0
"10",10,5,0,1,0,0,0,0,0,0
"11",11,5,0,1,0,0,0,1,0,3
"12",12,4,0,2,0,0,0,2,2,0
"13",13,4,0,0,0,0,0,0,0,1
"14",14,5,1,1,0,0,0,0,0,1
"15",15,4,0,0,0,0,0,0,0,2
"16",16,4,0,0,0,0,0,1,0,0
"17",17,4,0,0,0,0,0,0,0,2
"18",18,5,0,0,0,0,0,0,1,1
"19",19,4,0,0,0,0,0,0,0,3
"20",20,3,0,0,0,0,0,0,1,0
"21",21,4,0,0,0,0,0,0,1,0
"22",22,4,1,1,0,0,1,1,0,1
"23",23,4,1,1,0,0,0,1,1,0
"24",24,6,1,3,0,0,0,0,0,0
"25",25,4,0,0,0,0,0,0,0,1
"26",26,6,1,1,1,0,0,0,0,1
"27",27,5,0,1,0,0,0,1,0,1
"28",28,4,0,1,0,0,0,1,0,1
"29",29,4,0,0,0,0,0,0,1,2
"30",30,5,2,2,0,0,1,2,0,0
"31",31,6,0,3,1,0,0,2,0,1
"32",32,4,0,2,1,0,0,0,0,1
"33",33,4,1,1,1,0,0,0,0,0
"34",34,5,0,0,0,0,0,0,0,3
"35",35,7,0,1,0,0,0,0,0,2
"36",36,4,0,0,0,0,0,0,0,1
"37",37,4,0,0,0,0,0,0,0,1
"38",38,3,0,0,0,0,0,1,1,0
"39",39,5,2,2,0,0,1,1,0,1
"40",40,4,1,1,0,0,0,0,1,2
"41",41,4,0,0,0,0,0,0,0,0
"42",42,5,0,1,0,0,0,1,0,1
"43",43,6,1,1,1,0,0,1,0,1
"44",44,5,2,3,2,0,0,1,0,1
"45",45,4,1,3,2,0,0,2,0,0
"46",46,5,2,3,1,0,1,1,0,1
"47",47,5,0,1,0,0,0,1,0,1
"48",48,5,0,1,0,0,0,1,0,2
"49",49,5,2,4,1,0,2,3,0,0
"50",50,4,1,1,0,0,1,1,0,2
"51",51,2,1,0,0,0,0,0,0,1
"52",52,2,1,1,0,0,0,0,0,1
"53",53,4,2,1,0,0,1,2,0,0
"54",54,3,2,1,0,0,0,0,2,1
"55",55,4,0,1,0,0,0,0,0,2
"56",56,4,1,3,0,0,0,1,0,0
"57",57,5,1,2,1,0,0,0,1,2
"58",58,4,0,3,0,0,0,0,0,0
"59",59,4,2,2,0,0,1,2,0,1
"60",60,4,0,0,0,0,0,0,0,0
