"","dc1","dc2","dc3","dc4","dc5","area","habitat"
"1",0,1,0,0,0,7.10013480622239,"A"
"2",0,0,1,0,1,4.03971076319569,"A"
"3",2,1,2,0,0,5.82197068690717,"A"
"4",0,1,4,1,0,6.34221958723778,"A"
"5",0,1,1,1,1,5.25386828468791,"A"
"6",0,5,0,3,0,5.42474088703274,"A"
"7",1,1,4,1,0,3.84785013880366,"A"
"8",2,0,3,0,0,4.38253908333941,"A"
"9",0,1,2,0,0,5.44603689290735,"A"
"10",1,0,0,3,0,3.94882764211589,"A"
"11",0,1,0,0,0,5.64823587013135,"B"
"12",0,4,3,1,0,2.09149013435964,"B"
"13",2,1,0,0,2,5.41784439861711,"B"
"14",0,0,1,0,2,3.69738024054327,"B"
"15",1,0,0,1,0,6.20582196070889,"B"
"16",0,1,3,3,0,2.74584460703699,"B"
"17",2,1,1,0,0,4.79340294210128,"B"
"18",0,2,1,1,0,4.69534856428243,"B"
"19",1,4,0,1,0,6.40124035858855,"B"
"20",1,3,1,2,0,4.26375562198479,"B"
"21",1,1,1,3,1,5.19447151252197,"C"
"22",0,0,3,5,0,4.84236460922718,"C"
"23",0,2,1,1,0,3.92618224662289,"C"
"24",0,1,0,2,1,5.06217198635239,"C"
"25",0,2,2,1,0,4.91478548104663,"C"
"26",0,1,1,0,0,5.34071316804439,"C"
"27",1,0,2,1,1,4.13866575688737,"C"
"28",0,1,1,0,0,4.6880519497247,"C"
"29",3,2,4,0,0,6.32113255665935,"C"
"30",0,0,0,2,0,4.9010207562628,"C"
