"","dc1","dc2","dc3","dc4","Length","area","habitat"
"Line1",3,6,5,0,5,5.95312812703478,"A"
"Line10",8,5,6,4,7,4.52353893261404,"A"
"Line11",0,0,0,0,3,5.81251123277343,"A"
"Line12",2,1,1,1,4,5.92906573984123,"A"
"Line2",0,2,0,0,2,5.03978611784306,"A"
"Line3",4,1,2,1,6,3.8725714303767,"A"
"Line4",3,3,2,0,4,3.89074939701752,"B"
"Line5",1,2,0,0,3,6.24677882379925,"B"
"Line6",2,1,0,1,1,6.81392623539298,"B"
"Line7",6,0,3,2,4,4.32316433459247,"B"
"Line8",5,1,2,0,4,7.05918229142054,"B"
"Line9",8,5,2,2,5,4.75280357046867,"B"
