"","cases","total"
"1",21,49
"2",22,76
"3",47,166
"4",3,14
"5",8,24
"6",25,81
"7",31,92
"8",26,57
"9",12,45
"10",5,17
"11",73,263
"12",27,80
"13",66,202
"14",41,179
"15",39,114
"16",26,77
"17",16,55
"18",10,63
"19",9,22
"20",4,10
"21",19,66
"22",7,18
"23",32,113
"24",23,69
"25",12,86
"26",26,77
"27",6,19
"28",4,12
"29",28,105
"30",7,11
"31",33,96
"32",6,30
"33",18,94
"34",12,47
"35",14,58
"36",11,25
"37",19,75
"38",6,33
"39",34,107
"40",19,59
"41",22,84
"42",8,42
"43",5,30
"44",3,15
"45",32,97
"46",5,10
"47",16,43
"48",20,61
"49",7,18
"50",29,116
"51",19,73
"52",14,46
"53",16,81
"54",4,8
"55",8,37
"56",8,36
"57",4,11
"58",5,16
"59",0,1
"60",5,17
"61",43,138
"62",6,18
"63",42,124
"64",3,10
"65",27,89
"66",33,81
"67",52,112
"68",26,76
"69",49,202
"70",25,85
"71",50,106
