"","x","y","totcon","name","id"
"TS",9.55649066603295,34.1168477358579,1363,"TUNISIA",2040
"AG",2.631669194623,28.1625805677882,1421,"ALGERIA",2039
"MO",-6.31681423082332,31.885825772154,1861,"MOROCCO",2038
"LY",18.0226722240373,27.0439896408874,2355,"LIBYA",2041
"EG",29.7744726961413,26.5670274227067,5246,"EGYPT",2043
"MR",-10.3322107449124,20.2584033714683,811,"MAURITANIA",2005
"ML",-3.52414595020341,17.3490066100546,299,"MALI",2002
"NG",9.39625054646653,17.4236544326298,358,"NIGER",2006
"CD",18.6630612935994,15.3559230658252,895,"CHAD",2018
"SU",30.0413584201238,13.8374159885208,4751,"SUDAN",2042
"ET",39.5475347096529,9.27874721957812,1878,"ETHIOPIA",2028
"SG",-14.4687679349765,14.3663401372605,933,"SENEGAL",2003
"UV",-1.74113355337919,12.2715288965382,347,"BURKINA FASO",2009
"NI",8.10517819662346,9.59493813131694,1130,"NIGERIA",2015
"GA",-15.4117527353383,13.4511358674898,241,"THE GAMBIA",2001
"CM",12.7458833559994,5.68018299890776,604,"CAMEROON",2014
"GV",-10.9343010355434,10.436989364818,1015,"GUINEA",2008
"BN",2.34472742019682,9.63649245123281,998,"BENIN",2004
"SO",45.8634915917626,6.06652424133276,2122,"SOMALIA",2027
"GH",-1.20465384784363,7.96111678783686,1090,"GHANA",2012
"TO",0.978059698289965,8.53028079704584,848,"TOGO",2013
"CT",20.4861854810415,6.57045997061396,618,"CENTRAL AFRICAN REPUBLIC",2017
"IV",-5.55438489699488,7.62904599821286,758,"IVORY COAST",2007
"SL",-11.7790949207099,8.57077065511073,423,"SIERRA LEONE",2011
"LI",-9.31214991011816,6.44747710352728,980,"LIBERIA",2010
"CG",23.6121252684983,-2.85884980491868,3087,"ZAIRE",2020
"KE",37.8802276109585,0.537252829265798,2273,"KENYA",2023
"UG",32.3300738374858,1.51327548981189,3134,"UGANDA",2022
"CF",15.2269933337097,-0.837409257882796,1142,"CONGO",2019
"GB",11.798873820778,-0.593540706095215,824,"GABON",2016
"TZ",34.9635965242355,-6.45121538660635,2881,"TANZANIA",2024
"RW",29.9200665949675,-1.99315040684894,487,"RWANDA",2026
"BY",29.9270953748349,-3.30795920492379,604,"BURUNDI",2025
"AO",17.573207641419,-12.3339553846804,1528,"ANGOLA",2021
"ZA",27.7906124666995,-13.4556331204453,1554,"ZAMBIA",2029
"MI",34.2681982011573,-13.5403174171279,629,"MALAWI",2031
"MZ",35.5549903813954,-17.2990410571128,792,"MOZAMBIQUE",2032
"ZI",29.8797728957389,-19.0156416597312,795,"ZIMBABWE",2030
"BC",23.8153947063734,-22.1837396089456,1266,"BOTSWANA",2035
"SF",25.0882282997074,-28.9943565663265,1875,"SOUTH AFRICA",2033
"WZ",31.4987545384686,-26.5623862671611,147,"SWAZILAND",2036
"LT",28.2419026351962,-29.5740697158968,363,"LESOTHO",2034
