"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,0,0,0,1,1,2,0,0,0,0,1,0,0,2,1,0,2,1,1,1,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"2",0,2,1,1,0,1,0,0,0,0,3,1,0,0,0,0,3,2,1,0,0,0,2,4,0,0,0,0,0,2,4,0,0,2,1,1,2,0,0,0
"3",0,1,1,3,0,0,1,0,1,0,2,0,1,1,2,1,1,2,0,1,1,0,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
"4",0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,4,2,2,2,1,1,0,0,2,1,0,0,0,0,2,1,0,2,0,1,2
"5",0,0,1,0,0,0,2,1,0,2,1,1,0,0,0,0,0,0,1,2,0,1,0,1,3,0,0,0,1,0,0,1,0,2,1,4,0,1,0,1
"6",0,0,1,0,0,0,0,3,1,1,1,0,1,1,1,4,0,1,0,0,0,0,0,2,0,0,1,1,0,1,2,3,1,1,1,0,0,0,0,0
"7",0,0,1,0,0,0,1,0,0,1,1,1,1,4,0,0,0,2,1,0,0,0,0,1,3,2,1,1,1,0,0,1,2,1,2,0,2,1,0,1
"8",0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,3,1,0,1,2,2,1,1,1,1,2,4,1,0,2,1,1,1,0
"9",0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0,1,0
"10",1,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,3,4,0,1,4,2,2,1,0,0,0,1,1,1
"11",0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,2,2,0,2,1,0,0,4,2,2,4,4,0,0,4,2,0
"12",0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,2,0,1,0,2,1,1,1,1,0,0,2,4,4,2,0,0,1
"13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,1,3,0,2,0,0,1,0,0,3,4,3,0,1
"14",0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,0,0,1,1,0
"15",1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1
"16",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,2,1,0,0,3,0,1,0,0,2
"17",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,3,0,1,0,0
"18",0,1,0,0,0,3,1,0,0,2,0,0,1,1,1,0,0,1,2,0,1,0,0,0,0,3,1,0,1,0,0,2,1,1,0,0,0,2,1,0
"19",1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,2,0,0,0,0,1,1,1
"20",1,2,2,3,0,0,1,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,1,2,0,2,1,0,2,0,0,2,0,0,0,0,1,0,1,0
"21",1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,3,1,0,0,1,1,0,0,0,1,0,0,0,0,3,1,2,1,1,2,1,0,0,0
"22",0,2,1,0,0,0,3,0,0,0,0,0,0,1,2,4,3,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,1,1,1,0,1
"23",1,1,1,1,0,4,2,0,1,0,0,1,1,0,0,0,2,2,0,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,1,2,1,0,1,0
"24",1,2,1,1,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,3
"25",0,1,0,2,0,3,1,1,0,1,0,0,1,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,4,0,1,1,0,4,1,0,0,0,2,1
"26",2,1,3,1,0,4,1,1,1,0,0,0,0,0,0,3,0,1,1,0,0,1,1,2,1,0,0,1,4,0,0,0,0,0,0,0,2,2,3,1
"27",1,1,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,2,0,0,0,1,0,0
"28",1,1,1,1,2,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,1
"29",0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,1,1,1,2,0,0,4,0,0
"30",1,0,0,1,2,2,2,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0
"31",1,0,2,0,3,0,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,2,0,4,0,1
"32",0,0,0,0,1,2,1,0,0,1,4,1,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"33",0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"34",0,2,1,0,0,2,3,0,1,2,0,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"35",0,0,3,0,0,0,1,0,0,1,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"36",3,1,4,2,0,2,0,2,0,0,3,3,2,1,4,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
"37",1,1,1,1,0,0,0,3,0,0,4,1,1,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
