"","lon","lat","yield"
"1",2.51,3.3,3.63
"2",5.02,3.3,4.15
"3",7.53,3.3,4.06
"4",10.04,3.3,5.13
"5",12.55,3.3,3.04
"6",15.06,3.3,4.48
"7",17.57,3.3,4.75
"8",20.08,3.3,4.04
"9",22.59,3.3,4.14
"10",25.1,3.3,4
"11",27.61,3.3,4.37
"12",30.12,3.3,4.02
"13",32.63,3.3,4.58
"14",35.14,3.3,3.92
"15",37.65,3.3,3.64
"16",40.16,3.3,3.66
"17",42.67,3.3,3.57
"18",45.18,3.3,3.51
"19",47.69,3.3,4.27
"20",50.2,3.3,3.72
"21",52.71,3.3,3.36
"22",55.22,3.3,3.17
"23",57.73,3.3,2.97
"24",60.24,3.3,4.23
"25",62.75,3.3,4.53
"26",2.51,6.6,4.07
"27",5.02,6.6,4.21
"28",7.53,6.6,4.15
"29",10.04,6.6,4.64
"30",12.55,6.6,4.03
"31",15.06,6.6,3.74
"32",17.57,6.6,4.56
"33",20.08,6.6,4.27
"34",22.59,6.6,4.03
"35",25.1,6.6,4.5
"36",27.61,6.6,3.97
"37",30.12,6.6,4.19
"38",32.63,6.6,4.05
"39",35.14,6.6,3.97
"40",37.65,6.6,3.61
"41",40.16,6.6,3.82
"42",42.67,6.6,3.44
"43",45.18,6.6,3.92
"44",47.69,6.6,4.26
"45",50.2,6.6,4.36
"46",52.71,6.6,3.69
"47",55.22,6.6,3.53
"48",57.73,6.6,3.14
"49",60.24,6.6,4.09
"50",62.75,6.6,3.94
"51",2.51,9.9,4.51
"52",5.02,9.9,4.29
"53",7.53,9.9,4.4
"54",10.04,9.9,4.69
"55",12.55,9.9,3.77
"56",15.06,9.9,4.46
"57",17.57,9.9,4.76
"58",20.08,9.9,3.76
"59",22.59,9.9,3.3
"60",25.1,9.9,3.67
"61",27.61,9.9,3.94
"62",30.12,9.9,4.07
"63",32.63,9.9,3.73
"64",35.14,9.9,4.58
"65",37.65,9.9,3.64
"66",40.16,9.9,4.07
"67",42.67,9.9,3.44
"68",45.18,9.9,3.53
"69",47.69,9.9,4.2
"70",50.2,9.9,4.31
"71",52.71,9.9,4.33
"72",55.22,9.9,3.66
"73",57.73,9.9,3.59
"74",60.24,9.9,3.97
"75",62.75,9.9,4.38
"76",2.51,13.2,3.9
"77",5.02,13.2,4.64
"78",7.53,13.2,4.05
"79",10.04,13.2,4.04
"80",12.55,13.2,3.49
"81",15.06,13.2,3.91
"82",17.57,13.2,4.52
"83",20.08,13.2,4.52
"84",22.59,13.2,3.05
"85",25.1,13.2,4.59
"86",27.61,13.2,4.01
"87",30.12,13.2,3.34
"88",32.63,13.2,4.06
"89",35.14,13.2,3.19
"90",37.65,13.2,3.75
"91",40.16,13.2,4.54
"92",42.67,13.2,3.97
"93",45.18,13.2,3.77
"94",47.69,13.2,4.3
"95",50.2,13.2,4.1
"96",52.71,13.2,3.81
"97",55.22,13.2,3.89
"98",57.73,13.2,3.32
"99",60.24,13.2,3.46
"100",62.75,13.2,3.64
"101",2.51,16.5,3.63
"102",5.02,16.5,4.27
"103",7.53,16.5,4.92
"104",10.04,16.5,4.64
"105",12.55,16.5,3.76
"106",15.06,16.5,4.1
"107",17.57,16.5,4.4
"108",20.08,16.5,4.17
"109",22.59,16.5,3.67
"110",25.1,16.5,5.07
"111",27.61,16.5,3.83
"112",30.12,16.5,3.63
"113",32.63,16.5,3.74
"114",35.14,16.5,4.14
"115",37.65,16.5,3.7
"116",40.16,16.5,3.92
"117",42.67,16.5,3.79
"118",45.18,16.5,4.29
"119",47.69,16.5,4.22
"120",50.2,16.5,3.74
"121",52.71,16.5,3.55
"122",55.22,16.5,3.67
"123",57.73,16.5,3.57
"124",60.24,16.5,3.96
"125",62.75,16.5,4.31
"126",2.51,19.8,3.16
"127",5.02,19.8,3.55
"128",7.53,19.8,4.08
"129",10.04,19.8,4.73
"130",12.55,19.8,3.61
"131",15.06,19.8,3.66
"132",17.57,19.8,4.39
"133",20.08,19.8,3.84
"134",22.59,19.8,4.26
"135",25.1,19.8,4.36
"136",27.61,19.8,3.79
"137",30.12,19.8,4.09
"138",32.63,19.8,3.72
"139",35.14,19.8,3.76
"140",37.65,19.8,3.37
"141",40.16,19.8,4.01
"142",42.67,19.8,3.87
"143",45.18,19.8,4.35
"144",47.69,19.8,4.24
"145",50.2,19.8,3.58
"146",52.71,19.8,4.2
"147",55.22,19.8,3.94
"148",57.73,19.8,4.24
"149",60.24,19.8,3.75
"150",62.75,19.8,4.29
"151",2.51,23.1,3.18
"152",5.02,23.1,3.5
"153",7.53,23.1,4.23
"154",10.04,23.1,4.39
"155",12.55,23.1,3.28
"156",15.06,23.1,3.56
"157",17.57,23.1,4.94
"158",20.08,23.1,4.06
"159",22.59,23.1,4.32
"160",25.1,23.1,4.86
"161",27.61,23.1,3.96
"162",30.12,23.1,3.74
"163",32.63,23.1,4.33
"164",35.14,23.1,3.77
"165",37.65,23.1,3.71
"166",40.16,23.1,4.59
"167",42.67,23.1,3.97
"168",45.18,23.1,4.38
"169",47.69,23.1,3.81
"170",50.2,23.1,4.06
"171",52.71,23.1,3.42
"172",55.22,23.1,3.05
"173",57.73,23.1,3.44
"174",60.24,23.1,2.78
"175",62.75,23.1,3.44
"176",2.51,26.4,3.42
"177",5.02,26.4,3.35
"178",7.53,26.4,4.07
"179",10.04,26.4,4.66
"180",12.55,26.4,3.72
"181",15.06,26.4,3.84
"182",17.57,26.4,4.44
"183",20.08,26.4,3.4
"184",22.59,26.4,4.07
"185",25.1,26.4,4.93
"186",27.61,26.4,3.93
"187",30.12,26.4,3.04
"188",32.63,26.4,3.72
"189",35.14,26.4,3.93
"190",37.65,26.4,3.71
"191",40.16,26.4,4.76
"192",42.67,26.4,3.83
"193",45.18,26.4,3.71
"194",47.69,26.4,3.54
"195",50.2,26.4,3.66
"196",52.71,26.4,3.95
"197",55.22,26.4,3.84
"198",57.73,26.4,3.76
"199",60.24,26.4,3.47
"200",62.75,26.4,4.24
"201",2.51,29.7,3.97
"202",5.02,29.7,3.61
"203",7.53,29.7,4.67
"204",10.04,29.7,4.49
"205",12.55,29.7,3.75
"206",15.06,29.7,4.11
"207",17.57,29.7,4.64
"208",20.08,29.7,2.99
"209",22.59,29.7,4.37
"210",25.1,29.7,5.02
"211",27.61,29.7,3.56
"212",30.12,29.7,3.59
"213",32.63,29.7,4.05
"214",35.14,29.7,3.96
"215",37.65,29.7,3.75
"216",40.16,29.7,4.73
"217",42.67,29.7,4.24
"218",45.18,29.7,4.21
"219",47.69,29.7,3.85
"220",50.2,29.7,4.41
"221",52.71,29.7,4.21
"222",55.22,29.7,3.63
"223",57.73,29.7,4.17
"224",60.24,29.7,3.44
"225",62.75,29.7,4.55
"226",2.51,33,3.4
"227",5.02,33,3.71
"228",7.53,33,4.27
"229",10.04,33,4.42
"230",12.55,33,4.13
"231",15.06,33,4.2
"232",17.57,33,4.66
"233",20.08,33,3.61
"234",22.59,33,3.99
"235",25.1,33,4.44
"236",27.61,33,3.86
"237",30.12,33,3.99
"238",32.63,33,3.37
"239",35.14,33,3.47
"240",37.65,33,3.09
"241",40.16,33,4.2
"242",42.67,33,4.09
"243",45.18,33,4.07
"244",47.69,33,4.09
"245",50.2,33,3.95
"246",52.71,33,4.08
"247",55.22,33,4.03
"248",57.73,33,3.97
"249",60.24,33,2.84
"250",62.75,33,3.91
"251",2.51,36.3,3.39
"252",5.02,36.3,3.64
"253",7.53,36.3,3.84
"254",10.04,36.3,4.51
"255",12.55,36.3,4.01
"256",15.06,36.3,4.21
"257",17.57,36.3,4.77
"258",20.08,36.3,3.95
"259",22.59,36.3,4.17
"260",25.1,36.3,4.39
"261",27.61,36.3,4.17
"262",30.12,36.3,4.17
"263",32.63,36.3,4.09
"264",35.14,36.3,3.29
"265",37.65,36.3,3.37
"266",40.16,36.3,3.74
