"","tax.charges","price.1960"
"AL",129,1461
"AZ",218,1601
"AR",176,1469
"CA",252,1611
"CO",186,1606
"CT",154,1491
"DE",92,1536
"FL",150,1517
"GA",149,1481
"ID",168,1659
"IL",138,1515
"IN",52,1460
"IA",195,1592
"KS",141,1574
"KY",144,1418
"LA",165,1509
"ME",159,1547
"MD",139,1510
"MA",96,1572
"MI",133,1509
"MN",82,1586
"MS",159,1460
"MO",136,1468
"MT",196,1631
"NE",97,1584
"NV",220,1636
"NH",96,1539
"NJ",89,1520
"NM",185,1626
"NY",115,1544
"NC",122,1477
"ND",153,1609
"OH",135,1466
"OK",171,1468
"OR",164,1627
"PA",161,1502
"RI",174,1555
"SC",153,1465
"SD",172,1601
"TN",133,1463
"TX",178,1511
"UT",257,1647
"VT",112,1559
"VA",93,1495
"WA",265,1592
"WV",105,1470
"WI",58,1473
"WY",188,1655
