"","STATION","PRICE","NROOM","DWELL","NBATH","PATIO","FIREPL","AC","BMENT","NSTOR","GAR","AGE","CITCOU","LOTSZ","SQFT","X","Y"
"1",1,47,4,0,1,0,0,0,2,3,0,148,0,5.7,11.25,907,534
"2",2,113,7,1,2.5,1,1,1,2,2,2,9,1,279.51,28.92,922,574
"3",3,165,7,1,2.5,1,1,0,3,2,2,23,1,70.64,30.62,920,581
"4",4,104.3,7,1,2.5,1,1,1,2,2,2,5,1,174.63,26.12,923,578
"5",5,62.5,7,1,1.5,1,1,0,2,2,0,19,1,107.8,22.04,918,574
"6",6,70,6,1,2.5,1,1,0,3,3,1,20,1,139.64,39.42,900,577
"7",7,127.5,6,1,2.5,1,1,1,3,1,2,20,1,250,21.88,918,576
"8",8,53,8,1,1.5,1,0,0,0,3,0,22,1,100,36.72,907,576
"9",9,64.5,6,1,1,1,1,1,3,2,0,22,1,115.9,25.6,918,562
"10",10,145,7,1,2.5,1,1,1,3,2,2,4,1,365.07,44.12,897,576
"11",11,63.5,6,1,2,0,1,0,2,2,0,23,1,81.1,19.88,916,569
"12",12,58.9,5,1,2,0,1,1,0,1,0,20,1,91,12.08,908,573
"13",13,65,4,1,2,0,0,0,3,1,0,30,1,74.35,10.99,913,566
"14",14,52,5,0,1,1,0,1,3,2,0,20,1,46.17,13.6,910,574
"15",15,48,5,0,1.5,0,0,0,2,2,0,18,1,23.1,12.8,922,569
"16",16,3.5,9,0,3,0,0,0,2,3,0,75,0,14.4,29.79,913,536
"17",17,12.8,5,0,1,1,0,0,2,2,0,60,0,8.97,14.3,919,533.5
"18",18,17.5,5,0,1,0,0,0,3,2,0,65,0,10.22,13.72,917.5,535
"19",19,36,5,0,1.5,0,0,0,2,2,0,14,1,38.89,11.84,933,548.5
"20",20,41.9,6,1,1,0,0,0,3,2,0,45,0,70,18.06,932.5,552.5
"21",21,53.5,5,1,1.5,0,0,0,3,1,0,14,1,70.82,10.72,936.5,548.5
"22",22,24.5,4,0,1,0,0,0,3,2,0,22,0,18.39,8.96,930,542.5
"23",23,24.5,5,1,1,0,0,0,2,2,0,35,0,73.25,14.38,925,545
"24",24,55.5,5,1,2.5,0,0,1,3,3,0,5,0,56.12,36.75,927,552
"25",25,60,6,1,2,1,0,1,2,2,2,60,1,400.37,20,936,554.5
"26",26,51,7,1,1.5,0,1,1,2,2,0,14,1,87.96,22.82,860,554
"27",27,46,6,1,2.5,1,0,1,0,2,0,19,1,70.4,24.86,868,550.5
"28",28,46,5,1,1.5,0,0,0,2,2,0,11,1,84,19.2,872.5,543
"29",29,44,5,1,1.5,0,0,1,2,1,0,16,1,52.55,11.58,880.5,544.5
"30",30,54.9,5,1,2,0,0,1,1,2,0,19,1,77.76,26,869,551.5
"31",31,42.5,6,1,2,1,0,0,2,2,0,17,0,105.3,14.4,883,538
"32",32,44,6,1,1.5,0,1,0,2,1,0,24,1,70,11.62,876,541
"33",33,44.9,5,1,1.5,0,0,0,2,2,0,22,1,65,23.08,875.5,549
"34",34,37.9,6,1,1,0,0,0,2,3,0,27,1,62.64,23.76,875,550
"35",35,33,5,0,1.5,0,0,1,0,2,0,3,1,175.46,15.6,868,545
"36",36,43.9,5,1,1.5,0,0,1,3,1,0,21,1,268,10,879,552
"37",37,49.6,6,1,1.5,1,0,0,1,2,0,20,1,96.85,22.8,860,555.5
"38",38,52,5,0,2.5,0,1,1,2,2,0,4,1,16.94,16.76,868,556.5
"39",39,45.5,6,1,2.5,0,0,0,2,2,0,24,1,75,18.6,873,549
"40",40,37.5,7,1,2,0,1,0,2,2,1,40,0,84,22.1,888.5,545
"41",41,50,5,0,2,0,1,0,2,2,0,23,1,36.3,14.28,878,532
"42",42,35.9,5,1,1.5,0,1,0,2,2,0,35,0,67.76,15.36,883,545.5
"43",43,42.9,6,1,2,0,0,0,2,2,0,25,1,77.03,16,873,557.5
"44",44,107,6,1,2.5,0,1,1,2,1,0,17,1,246.62,23.04,882,568
"45",45,112,5,1,3.5,0,1,1,2,2,1,26,1,91.05,24.94,881.5,562
"46",46,44.9,5,1,1.5,0,0,1,2,1,0,15,1,76.5,11.82,867,560
"47",47,55,5,1,1.5,0,1,0,2,2,0,29,1,75,12.88,877,557
"48",48,102,5,1,2,0,1,1,2,1,0,24,1,362.12,11.2,889,571
"49",49,35.5,5,1,1,1,0,0,0,2,0,30,1,102.26,18.12,876.5,564.5
"50",50,62.9,6,1,3.5,0,0,0,2,3,1,19,1,169.4,38.25,870.5,560
"51",51,39,6,1,2.5,0,1,0,2,2,1,50,0,64.5,17.68,884.5,560
"52",52,110,6,1,2.5,1,1,1,3,1,0,18,1,315.9,19.02,866,567.5
"53",53,8,4,0,1,0,1,0,0,2,0,74,0,56.53,32.8,899,560
"54",54,62,5,1,3,0,1,1,2,1,0,22,0,100,15.16,890,559
"55",55,60,7,1,1,0,1,0,1,3,0,80,0,119.97,25.08,896,560
"56",56,85.9,5,1,2,1,0,1,2,1.5,0,24,1,117,21.975,892,561
"57",57,57,5,1,2.5,0,0,1,3,1,0,20,0,133.66,12.6,895,559
"58",58,110,7,1,3,1,1,1,2,2,0,7,1,144.42,23.52,892,565
"59",59,67.7,5,1,1.5,0,1,0,3,2,0,47,0,85.5,17.52,902.5,552
"60",60,89.5,10,1,3.5,1,1,0,3,3,1,50,0,263.5,47.61,902,557
"61",61,70,6,1,2,1,1,0,3,2.5,0,45,0,52,20.55,905,550
"62",62,74,8,0,2.5,1,1,1,2,3,2,48,0,70.4,35.52,905,548
"63",63,22.9,5,0,1,0,0,0,1,2,0,50,0,12.96,14.4,904.5,543
"64",64,13,4,0,1,0,0,0,2,2,0,50,0,7.5,8.4,903,547
"65",65,48,5,1,1,0,0,0,2,2,2,48,1,62.5,13.68,910,562.5
"66",66,24,5,0,1.5,0,0,0,2,2,0,55,0,24.91,14.48,910,552
"67",67,53.5,5,0,1.5,0,0,0,3,2,0,27,1,29.5,12.8,908.5,565
"68",68,34.5,5,0,1.5,0,1,0,3,2,0,20,0,37.6,12.8,913.3,558.5
"69",69,53,5,0,1.5,0,0,0,3,3,0,33,1,22,18,907.5,563
"70",70,87.5,6,1,1,0,1,0,2,2,3,40,1,108.05,15.4,902,572
"71",71,33.5,5,0,1,0,0,1,2,2,0,25,0,20.52,10.08,908,556
"72",72,24,5,0,1,0,0,1,3,2,0,25,0,17.6,8.96,925,541.5
"73",73,9.6,5,0,1,0,0,0,2,2,0,40,0,11.2,8.96,919,540.5
