"","time","jumpsine"
"1",1,0
"2",2,0.24541
"3",3,0.49068
"4",4,0.73565
"5",5,0.98017
"6",6,1.22411
"7",7,1.4673
"8",8,1.70962
"9",9,1.9509
"10",10,2.19101
"11",11,2.4298
"12",12,2.66713
"13",13,2.90285
"14",14,3.13682
"15",15,3.3689
"16",16,3.59895
"17",17,3.82683
"18",18,4.05241
"19",19,4.27555
"20",20,4.49611
"21",21,4.71397
"22",22,4.92898
"23",23,5.14103
"24",24,5.34998
"25",25,5.5557
"26",26,5.75808
"27",27,5.95699
"28",28,6.15232
"29",29,6.34393
"30",30,6.53173
"31",31,6.71559
"32",32,6.89541
"33",33,7.07107
"34",34,7.24247
"35",35,7.40951
"36",36,7.57209
"37",37,7.7301
"38",38,7.88346
"39",39,8.03208
"40",40,8.17585
"41",41,8.3147
"42",42,8.44854
"43",43,8.57729
"44",44,8.70087
"45",45,8.81921
"46",46,8.93224
"47",47,9.03989
"48",48,9.1421
"49",49,9.2388
"50",50,9.32993
"51",51,9.41544
"52",52,9.49528
"53",53,9.5694
"54",54,9.63776
"55",55,9.70031
"56",56,9.75702
"57",57,9.80785
"58",58,9.85278
"59",59,9.89177
"60",60,9.9248
"61",61,9.95185
"62",62,9.9729
"63",63,9.98795
"64",64,9.99699
"65",65,10
"66",66,9.99699
"67",67,9.98795
"68",68,9.9729
"69",69,9.95185
"70",70,9.9248
"71",71,9.89177
"72",72,9.85278
"73",73,9.80785
"74",74,9.75702
"75",75,9.70031
"76",76,9.63776
"77",77,9.5694
"78",78,9.49528
"79",79,9.41544
"80",80,9.32993
"81",81,9.2388
"82",82,9.1421
"83",83,9.03989
"84",84,8.93224
"85",85,8.81921
"86",86,8.70087
"87",87,8.57729
"88",88,8.44854
"89",89,8.3147
"90",90,8.17585
"91",91,8.03208
"92",92,7.88346
"93",93,7.7301
"94",94,7.57209
"95",95,7.40951
"96",96,7.24247
"97",97,7.07107
"98",98,6.89541
"99",99,6.71559
"100",100,6.53173
"101",101,6.34393
"102",102,6.15232
"103",103,5.95699
"104",104,5.75808
"105",105,5.5557
"106",106,5.34998
"107",107,5.14103
"108",108,4.92898
"109",109,4.71397
"110",110,4.49611
"111",111,4.27555
"112",112,4.05241
"113",113,3.82683
"114",114,3.59895
"115",115,3.3689
"116",116,3.13682
"117",117,2.90285
"118",118,2.66713
"119",119,2.4298
"120",120,2.19101
"121",121,1.9509
"122",122,1.70962
"123",123,1.4673
"124",124,1.22411
"125",125,0.98017
"126",126,0.73565
"127",127,0.49068
"128",128,0.24541
"129",129,0
"130",130,-0.24541
"131",131,-0.49068
"132",132,-0.73565
"133",133,-0.98017
"134",134,-1.22411
"135",135,-1.4673
"136",136,-1.70962
"137",137,-1.9509
"138",138,-2.19101
"139",139,-2.4298
"140",140,-2.66713
"141",141,-2.90285
"142",142,-3.13682
"143",143,-3.3689
"144",144,-3.59895
"145",145,-3.82683
"146",146,-4.05241
"147",147,-4.27555
"148",148,-4.49611
"149",149,-4.71397
"150",150,-4.92898
"151",151,-5.14103
"152",152,-5.34998
"153",153,-5.5557
"154",154,-5.75808
"155",155,-5.95699
"156",156,-6.15232
"157",157,-6.34393
"158",158,-6.53173
"159",159,-6.71559
"160",160,-6.89541
"161",161,-7.07107
"162",162,-7.24247
"163",163,-7.40951
"164",164,-7.57209
"165",165,-7.7301
"166",166,-7.88346
"167",167,-8.03208
"168",168,-8.17585
"169",169,-8.3147
"170",170,-8.44854
"171",171,-8.57729
"172",172,-8.70087
"173",173,-8.81921
"174",174,-8.93224
"175",175,-9.03989
"176",176,-9.1421
"177",177,-9.2388
"178",178,-9.32993
"179",179,-9.41544
"180",180,-9.49528
"181",181,-9.5694
"182",182,-9.63776
"183",183,-9.70031
"184",184,-9.75702
"185",185,-9.80785
"186",186,-9.85278
"187",187,-9.89177
"188",188,-9.9248
"189",189,-9.95185
"190",190,-9.9729
"191",191,-9.98795
"192",192,-9.99699
"193",193,-10
"194",194,-9.99699
"195",195,-9.98795
"196",196,-9.9729
"197",197,-9.95185
"198",198,-9.9248
"199",199,-9.89177
"200",200,-9.85278
"201",201,-9.80785
"202",202,-9.75702
"203",203,-9.70031
"204",204,-9.63776
"205",205,-9.5694
"206",206,-9.49528
"207",207,-9.41544
"208",208,-9.32993
"209",209,-9.2388
"210",210,-9.1421
"211",211,-9.03989
"212",212,-8.93224
"213",213,-8.81921
"214",214,-8.70087
"215",215,-8.57729
"216",216,-8.44854
"217",217,-8.3147
"218",218,-8.17585
"219",219,-8.03208
"220",220,-7.88346
"221",221,-7.7301
"222",222,-7.57209
"223",223,-7.40951
"224",224,-7.24247
"225",225,-7.07107
"226",226,-6.89541
"227",227,-6.71559
"228",228,-6.53173
"229",229,-6.34393
"230",230,-6.15232
"231",231,-5.95699
"232",232,-5.75808
"233",233,-5.5557
"234",234,-5.34998
"235",235,-5.14103
"236",236,-4.92898
"237",237,-4.71397
"238",238,-4.49611
"239",239,-4.27555
"240",240,-4.05241
"241",241,-3.82683
"242",242,-3.59895
"243",243,-3.3689
"244",244,-3.13682
"245",245,-2.90285
"246",246,-2.66713
"247",247,-2.4298
"248",248,-2.19101
"249",249,-1.9509
"250",250,-1.70962
"251",251,-1.4673
"252",252,-1.22411
"253",253,-0.98017
"254",254,-0.73565
"255",255,-0.49068
"256",256,-0.24541
"257",257,0
"258",258,0.24541
"259",259,0.49068
"260",260,0.73565
"261",261,0.98017
"262",262,1.22411
"263",263,1.4673
"264",264,1.70962
"265",265,1.9509
"266",266,2.19101
"267",267,2.4298
"268",268,2.66713
"269",269,2.90285
"270",270,3.13682
"271",271,3.3689
"272",272,3.59895
"273",273,3.82683
"274",274,4.05241
"275",275,4.27555
"276",276,4.49611
"277",277,4.71397
"278",278,4.92898
"279",279,5.14103
"280",280,5.34998
"281",281,5.5557
"282",282,5.75808
"283",283,5.95699
"284",284,6.15232
"285",285,6.34393
"286",286,6.53173
"287",287,6.71559
"288",288,6.89541
"289",289,7.07107
"290",290,7.24247
"291",291,7.40951
"292",292,7.57209
"293",293,7.7301
"294",294,7.88346
"295",295,8.03208
"296",296,8.17585
"297",297,8.3147
"298",298,8.44854
"299",299,8.57729
"300",300,8.70087
"301",301,8.81921
"302",302,8.93224
"303",303,9.03989
"304",304,9.1421
"305",305,9.2388
"306",306,9.32993
"307",307,9.41544
"308",308,9.49528
"309",309,9.5694
"310",310,9.63776
"311",311,9.70031
"312",312,9.75702
"313",313,9.80785
"314",314,9.85278
"315",315,9.89177
"316",316,9.9248
"317",317,9.95185
"318",318,9.9729
"319",319,9.98795
"320",320,9.99699
"321",321,20
"322",322,19.99699
"323",323,19.98795
"324",324,19.9729
"325",325,19.95185
"326",326,19.9248
"327",327,19.89177
"328",328,19.85278
"329",329,19.80785
"330",330,19.75702
"331",331,19.70031
"332",332,19.63776
"333",333,19.5694
"334",334,19.49528
"335",335,19.41544
"336",336,19.32993
"337",337,19.2388
"338",338,19.1421
"339",339,19.03989
"340",340,18.93224
"341",341,18.81921
"342",342,18.70087
"343",343,18.57729
"344",344,18.44854
"345",345,18.3147
"346",346,18.17585
"347",347,18.03208
"348",348,17.88346
"349",349,17.7301
"350",350,17.57209
"351",351,17.40951
"352",352,17.24247
"353",353,17.07107
"354",354,16.89541
"355",355,16.71559
"356",356,16.53173
"357",357,16.34393
"358",358,16.15232
"359",359,15.95699
"360",360,15.75808
"361",361,15.5557
"362",362,15.34998
"363",363,15.14103
"364",364,14.92898
"365",365,14.71397
"366",366,14.49611
"367",367,14.27555
"368",368,14.05241
"369",369,13.82683
"370",370,13.59895
"371",371,13.3689
"372",372,13.13682
"373",373,12.90285
"374",374,12.66713
"375",375,12.4298
"376",376,12.19101
"377",377,11.9509
"378",378,11.70962
"379",379,11.4673
"380",380,11.22411
"381",381,10.98017
"382",382,10.73565
"383",383,10.49068
"384",384,10.24541
"385",385,10
"386",386,9.75459
"387",387,9.50932
"388",388,9.26435
"389",389,9.01983
"390",390,8.77589
"391",391,8.5327
"392",392,8.29038
"393",393,8.0491
"394",394,7.80899
"395",395,7.5702
"396",396,7.33287
"397",397,7.09715
"398",398,6.86318
"399",399,6.6311
"400",400,6.40105
"401",401,6.17317
"402",402,5.94759
"403",403,5.72445
"404",404,5.50389
"405",405,5.28603
"406",406,5.07102
"407",407,4.85897
"408",408,4.65002
"409",409,4.4443
"410",410,4.24192
"411",411,4.04301
"412",412,3.84768
"413",413,3.65607
"414",414,3.46827
"415",415,3.28441
"416",416,3.10459
"417",417,2.92893
"418",418,2.75753
"419",419,2.59049
"420",420,2.42791
"421",421,2.2699
"422",422,2.11654
"423",423,1.96792
"424",424,1.82415
"425",425,1.6853
"426",426,1.55146
"427",427,1.42271
"428",428,1.29913
"429",429,1.18079
"430",430,1.06776
"431",431,0.96011
"432",432,0.8579
"433",433,0.7612
"434",434,0.67007
"435",435,0.58456
"436",436,0.50472
"437",437,0.4306
"438",438,0.36224
"439",439,0.29969
"440",440,0.24298
"441",441,0.19215
"442",442,0.14722
"443",443,0.10823
"444",444,0.0752
"445",445,0.04815
"446",446,0.0271
"447",447,0.01205
"448",448,0.00301
"449",449,-10
"450",450,-9.99699
"451",451,-9.98795
"452",452,-9.9729
"453",453,-9.95185
"454",454,-9.9248
"455",455,-9.89177
