"","time","blocks"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0
"11",11,0
"12",12,0
"13",13,0
"14",14,0
"15",15,0
"16",16,0
"17",17,0
"18",18,0
"19",19,0
"20",20,0
"21",21,0
"22",22,0
"23",23,0
"24",24,0
"25",25,0
"26",26,0
"27",27,0
"28",28,0
"29",29,0
"30",30,0
"31",31,0
"32",32,0
"33",33,0
"34",34,0
"35",35,0
"36",36,0
"37",37,0
"38",38,0
"39",39,0
"40",40,0
"41",41,0
"42",42,0
"43",43,0
"44",44,0
"45",45,0
"46",46,0
"47",47,0
"48",48,0
"49",49,0
"50",50,0
"51",51,0
"52",52,0
"53",53,4
"54",54,4
"55",55,4
"56",56,4
"57",57,4
"58",58,4
"59",59,4
"60",60,4
"61",61,4
"62",62,4
"63",63,4
"64",64,4
"65",65,4
"66",66,4
"67",67,4
"68",68,-1
"69",69,-1
"70",70,-1
"71",71,-1
"72",72,-1
"73",73,-1
"74",74,-1
"75",75,-1
"76",76,-1
"77",77,-1
"78",78,2
"79",79,2
"80",80,2
"81",81,2
"82",82,2
"83",83,2
"84",84,2
"85",85,2
"86",86,2
"87",87,2
"88",88,2
"89",89,2
"90",90,2
"91",91,2
"92",92,2
"93",93,2
"94",94,2
"95",95,2
"96",96,2
"97",97,2
"98",98,2
"99",99,2
"100",100,2
"101",101,2
"102",102,2
"103",103,2
"104",104,2
"105",105,2
"106",106,2
"107",107,2
"108",108,2
"109",109,2
"110",110,2
"111",111,2
"112",112,2
"113",113,2
"114",114,2
"115",115,2
"116",116,2
"117",117,2
"118",118,2
"119",119,-2
"120",120,-2
"121",121,-2
"122",122,-2
"123",123,-2
"124",124,-2
"125",125,-2
"126",126,-2
"127",127,-2
"128",128,-2
"129",129,0.5
"130",130,3
"131",131,3
"132",132,3
"133",133,3
"134",134,3
"135",135,3
"136",136,3
"137",137,3
"138",138,3
"139",139,3
"140",140,3
"141",141,3
"142",142,3
"143",143,3
"144",144,3
"145",145,3
"146",146,3
"147",147,3
"148",148,3
"149",149,3
"150",150,3
"151",151,3
"152",152,3
"153",153,3
"154",154,3
"155",155,3
"156",156,3
"157",157,3
"158",158,3
"159",159,3
"160",160,3
"161",161,3
"162",162,3
"163",163,3
"164",164,3
"165",165,3
"166",166,3
"167",167,3
"168",168,3
"169",169,3
"170",170,3
"171",171,3
"172",172,3
"173",173,3
"174",174,3
"175",175,3
"176",176,3
"177",177,3
"178",178,3
"179",179,3
"180",180,3
"181",181,3
"182",182,3
"183",183,3
"184",184,3
"185",185,3
"186",186,3
"187",187,3
"188",188,3
"189",189,3
"190",190,3
"191",191,3
"192",192,3
"193",193,3
"194",194,3
"195",195,3
"196",196,3
"197",197,3
"198",198,3
"199",199,3
"200",200,3
"201",201,3
"202",202,3
"203",203,3
"204",204,3
"205",205,3
"206",206,-1.2
"207",207,-1.2
"208",208,-1.2
"209",209,-1.2
"210",210,-1.2
"211",211,-1.2
"212",212,-1.2
"213",213,-1.2
"214",214,-1.2
"215",215,-1.2
"216",216,-1.2
"217",217,-1.2
"218",218,-1.2
"219",219,-1.2
"220",220,-1.2
"221",221,-1.2
"222",222,-1.2
"223",223,-1.2
"224",224,-1.2
"225",225,-1.2
"226",226,-1.2
"227",227,0.9
"228",228,0.9
"229",229,0.9
"230",230,0.9
"231",231,0.9
"232",232,0.9
"233",233,0.9
"234",234,0.9
"235",235,0.9
"236",236,0.9
"237",237,0.9
"238",238,0.9
"239",239,0.9
"240",240,0.9
"241",241,0.9
"242",242,0.9
"243",243,0.9
"244",244,0.9
"245",245,0.9
"246",246,0.9
"247",247,0.9
"248",248,0.9
"249",249,0.9
"250",250,0.9
"251",251,0.9
"252",252,0.9
"253",253,0.9
"254",254,0.9
"255",255,0.9
"256",256,0.9
"257",257,0.9
"258",258,0.9
"259",259,0.9
"260",260,0.9
"261",261,0.9
"262",262,0.9
"263",263,0.9
"264",264,0.9
"265",265,0.9
"266",266,0.9
"267",267,0.9
"268",268,0.9
"269",269,0.9
"270",270,0.9
"271",271,0.9
"272",272,0.9
"273",273,0.9
"274",274,0.9
"275",275,0.9
"276",276,0.9
"277",277,0.9
"278",278,0.9
"279",279,0.9
"280",280,0.9
"281",281,0.9
"282",282,0.9
"283",283,0.9
"284",284,0.9
"285",285,0.9
"286",286,0.9
"287",287,0.9
"288",288,0.9
"289",289,0.9
"290",290,0.9
"291",291,0.9
"292",292,0.9
"293",293,0.9
"294",294,0.9
"295",295,0.9
"296",296,0.9
"297",297,0.9
"298",298,0.9
"299",299,0.9
"300",300,0.9
"301",301,0.9
"302",302,0.9
"303",303,0.9
"304",304,0.9
"305",305,0.9
"306",306,0.9
"307",307,0.9
"308",308,0.9
"309",309,0.9
"310",310,0.9
"311",311,0.9
"312",312,0.9
"313",313,0.9
"314",314,0.9
"315",315,0.9
"316",316,0.9
"317",317,0.9
"318",318,0.9
"319",319,0.9
"320",320,0.9
"321",321,0.9
"322",322,0.9
"323",323,0.9
"324",324,0.9
"325",325,0.9
"326",326,0.9
"327",327,0.9
"328",328,0.9
"329",329,0.9
"330",330,0.9
"331",331,0.9
"332",332,0.9
"333",333,0.9
"334",334,5.2
"335",335,5.2
"336",336,5.2
"337",337,5.2
"338",338,5.2
"339",339,5.2
"340",340,5.2
"341",341,5.2
"342",342,5.2
"343",343,5.2
"344",344,5.2
"345",345,5.2
"346",346,5.2
"347",347,5.2
"348",348,5.2
"349",349,5.2
"350",350,5.2
"351",351,5.2
"352",352,5.2
"353",353,5.2
"354",354,5.2
"355",355,5.2
"356",356,5.2
"357",357,5.2
"358",358,5.2
"359",359,5.2
"360",360,5.2
"361",361,5.2
"362",362,5.2
"363",363,5.2
"364",364,5.2
"365",365,5.2
"366",366,5.2
"367",367,5.2
"368",368,5.2
"369",369,5.2
"370",370,5.2
"371",371,5.2
"372",372,5.2
"373",373,5.2
"374",374,5.2
"375",375,5.2
"376",376,5.2
"377",377,5.2
"378",378,5.2
"379",379,5.2
"380",380,5.2
"381",381,5.2
"382",382,5.2
"383",383,5.2
"384",384,5.2
"385",385,5.2
"386",386,5.2
"387",387,5.2
"388",388,5.2
"389",389,5.2
"390",390,5.2
"391",391,2.1
"392",392,2.1
"393",393,2.1
"394",394,2.1
"395",395,2.1
"396",396,2.1
"397",397,2.1
"398",398,2.1
"399",399,2.1
"400",400,2.1
"401",401,4.2
"402",402,4.2
"403",403,4.2
"404",404,4.2
"405",405,4.2
"406",406,4.2
"407",407,4.2
"408",408,4.2
"409",409,4.2
"410",410,4.2
"411",411,4.2
"412",412,4.2
"413",413,4.2
"414",414,4.2
"415",415,4.2
"416",416,0
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,0
"422",422,0
"423",423,0
"424",424,0
"425",425,0
"426",426,0
"427",427,0
"428",428,0
"429",429,0
"430",430,0
"431",431,0
"432",432,0
"433",433,0
