"","time","heavisine"
"1",1,0
"2",2,0.098165
"3",3,0.196271
"4",4,0.294258
"5",5,0.392069
"6",6,0.489643
"7",7,0.586922
"8",8,0.683848
"9",9,0.780361
"10",10,0.876405
"11",11,0.971921
"12",12,1.066851
"13",13,1.161139
"14",14,1.254727
"15",15,1.347559
"16",16,1.43958
"17",17,1.530734
"18",18,1.620965
"19",19,1.71022
"20",20,1.798445
"21",21,1.885587
"22",22,1.971593
"23",23,2.056411
"24",24,2.13999
"25",25,2.222281
"26",26,2.303233
"27",27,2.382797
"28",28,2.460926
"29",29,2.537573
"30",30,2.612691
"31",31,2.686236
"32",32,2.758162
"33",33,2.828427
"34",34,2.896988
"35",35,2.963805
"36",36,3.028835
"37",37,3.092042
"38",38,3.153386
"39",39,3.21283
"40",40,3.270339
"41",41,3.325878
"42",42,3.379414
"43",43,3.430914
"44",44,3.480348
"45",45,3.527685
"46",46,3.572897
"47",47,3.615957
"48",48,3.656839
"49",49,3.695518
"50",50,3.731971
"51",51,3.766176
"52",52,3.798113
"53",53,3.827761
"54",54,3.855104
"55",55,3.880125
"56",56,3.902809
"57",57,3.923141
"58",58,3.941111
"59",59,3.956706
"60",60,3.969918
"61",61,3.980739
"62",62,3.989162
"63",63,3.995182
"64",64,3.998795
"65",65,4
"66",66,3.998795
"67",67,3.995182
"68",68,3.989162
"69",69,3.980739
"70",70,3.969918
"71",71,3.956706
"72",72,3.941111
"73",73,3.923141
"74",74,3.902809
"75",75,3.880125
"76",76,3.855104
"77",77,3.827761
"78",78,3.798113
"79",79,3.766176
"80",80,3.731971
"81",81,3.695518
"82",82,3.656839
"83",83,3.615957
"84",84,3.572897
"85",85,3.527685
"86",86,3.480348
"87",87,3.430914
"88",88,3.379414
"89",89,3.325878
"90",90,3.270339
"91",91,3.21283
"92",92,3.153386
"93",93,3.092042
"94",94,3.028835
"95",95,2.963805
"96",96,2.896988
"97",97,2.828427
"98",98,2.758162
"99",99,2.686236
"100",100,2.612691
"101",101,2.537573
"102",102,2.460926
"103",103,2.382797
"104",104,2.303233
"105",105,2.222281
"106",106,2.13999
"107",107,2.056411
"108",108,1.971593
"109",109,1.885587
"110",110,1.798445
"111",111,1.71022
"112",112,1.620965
"113",113,1.530734
"114",114,1.43958
"115",115,1.347559
"116",116,1.254727
"117",117,1.161139
"118",118,1.066851
"119",119,0.971921
"120",120,0.876405
"121",121,0.780361
"122",122,0.683848
"123",123,0.586922
"124",124,0.489643
"125",125,0.392069
"126",126,0.294258
"127",127,0.196271
"128",128,0.098165
"129",129,0
"130",130,-0.098165
"131",131,-0.196271
"132",132,-0.294258
"133",133,-0.392069
"134",134,-0.489643
"135",135,-0.586922
"136",136,-0.683848
"137",137,-0.780361
"138",138,-0.876405
"139",139,-0.971921
"140",140,-1.066851
"141",141,-1.161139
"142",142,-1.254727
"143",143,-1.347559
"144",144,-1.43958
"145",145,-1.530734
"146",146,-1.620965
"147",147,-1.71022
"148",148,-1.798445
"149",149,-1.885587
"150",150,-1.971593
"151",151,-2.056411
"152",152,-2.13999
"153",153,-2.222281
"154",154,-2.303233
"155",155,-4.382797
"156",156,-4.460926
"157",157,-4.537573
"158",158,-4.612691
"159",159,-4.686236
"160",160,-4.758162
"161",161,-4.828427
"162",162,-4.896988
"163",163,-4.963805
"164",164,-5.028835
"165",165,-5.092042
"166",166,-5.153386
"167",167,-5.21283
"168",168,-5.270339
"169",169,-5.325878
"170",170,-5.379414
"171",171,-5.430914
"172",172,-5.480348
"173",173,-5.527685
"174",174,-5.572897
"175",175,-5.615957
"176",176,-5.656839
"177",177,-5.695518
"178",178,-5.731971
"179",179,-5.766176
"180",180,-5.798113
"181",181,-5.827761
"182",182,-5.855104
"183",183,-5.880125
"184",184,-5.902809
"185",185,-5.923141
"186",186,-5.941111
"187",187,-5.956706
"188",188,-5.969918
"189",189,-5.980739
"190",190,-5.989162
"191",191,-5.995182
"192",192,-5.998795
"193",193,-6
"194",194,-5.998795
"195",195,-5.995182
"196",196,-5.989162
"197",197,-5.980739
"198",198,-5.969918
"199",199,-5.956706
"200",200,-5.941111
"201",201,-5.923141
"202",202,-5.902809
"203",203,-5.880125
"204",204,-5.855104
"205",205,-5.827761
"206",206,-5.798113
"207",207,-5.766176
"208",208,-5.731971
"209",209,-5.695518
"210",210,-5.656839
"211",211,-5.615957
"212",212,-5.572897
"213",213,-5.527685
"214",214,-5.480348
"215",215,-5.430914
"216",216,-5.379414
"217",217,-5.325878
"218",218,-5.270339
"219",219,-5.21283
"220",220,-5.153386
"221",221,-5.092042
"222",222,-5.028835
"223",223,-4.963805
"224",224,-4.896988
"225",225,-4.828427
"226",226,-4.758162
"227",227,-4.686236
"228",228,-4.612691
"229",229,-4.537573
"230",230,-4.460926
"231",231,-4.382797
"232",232,-4.303233
"233",233,-4.222281
"234",234,-4.13999
"235",235,-4.056411
"236",236,-3.971593
"237",237,-3.885587
"238",238,-3.798445
"239",239,-3.71022
"240",240,-3.620965
"241",241,-3.530734
"242",242,-3.43958
"243",243,-3.347559
"244",244,-3.254727
"245",245,-3.161139
"246",246,-3.066851
"247",247,-2.971921
"248",248,-2.876405
"249",249,-2.780361
"250",250,-2.683848
"251",251,-2.586922
"252",252,-2.489643
"253",253,-2.392069
"254",254,-2.294258
"255",255,-2.196271
"256",256,-2.098165
"257",257,-2
"258",258,-1.901835
"259",259,-1.803729
"260",260,-1.705742
"261",261,-1.607931
"262",262,-1.510357
"263",263,-1.413078
"264",264,-1.316152
"265",265,-1.219639
"266",266,-1.123595
"267",267,-1.028079
"268",268,-0.933149
"269",269,-0.838861
"270",270,-0.745273
"271",271,-0.652441
"272",272,-0.56042
"273",273,-0.469266
"274",274,-0.379035
"275",275,-0.28978
"276",276,-0.201555
"277",277,-0.114413
"278",278,-0.028407
"279",279,0.056411
"280",280,0.13999
"281",281,0.222281
"282",282,0.303233
"283",283,0.382797
"284",284,0.460926
"285",285,0.537573
"286",286,0.612691
"287",287,0.686236
"288",288,0.758162
"289",289,0.828427
"290",290,0.896988
"291",291,0.963805
"292",292,1.028835
"293",293,1.092042
"294",294,1.153386
"295",295,1.21283
"296",296,1.270339
"297",297,1.325878
"298",298,1.379414
"299",299,1.430914
"300",300,1.480348
"301",301,1.527685
"302",302,1.572897
"303",303,1.615957
"304",304,1.656839
"305",305,1.695518
"306",306,1.731971
"307",307,1.766176
"308",308,1.798113
"309",309,1.827761
"310",310,1.855104
"311",311,1.880125
"312",312,1.902809
"313",313,1.923141
"314",314,1.941111
"315",315,1.956706
"316",316,1.969918
"317",317,1.980739
"318",318,1.989162
"319",319,1.995182
"320",320,1.998795
"321",321,2
"322",322,1.998795
"323",323,1.995182
"324",324,1.989162
"325",325,1.980739
"326",326,1.969918
"327",327,1.956706
"328",328,1.941111
"329",329,1.923141
"330",330,1.902809
"331",331,1.880125
"332",332,1.855104
"333",333,1.827761
"334",334,1.798113
"335",335,1.766176
"336",336,1.731971
"337",337,1.695518
"338",338,1.656839
"339",339,1.615957
"340",340,1.572897
"341",341,1.527685
"342",342,1.480348
"343",343,1.430914
"344",344,1.379414
"345",345,1.325878
"346",346,1.270339
"347",347,1.21283
"348",348,1.153386
"349",349,1.092042
"350",350,1.028835
"351",351,0.963805
"352",352,0.896988
"353",353,0.828427
"354",354,0.758162
"355",355,0.686236
"356",356,0.612691
"357",357,0.537573
"358",358,0.460926
"359",359,0.382797
"360",360,0.303233
"361",361,0.222281
"362",362,0.13999
"363",363,0.056411
"364",364,-0.028407
"365",365,-0.114413
"366",366,-0.201555
"367",367,-0.28978
"368",368,-0.379035
"369",369,-0.469266
"370",370,1.43958
"371",371,1.347559
"372",372,1.254727
"373",373,1.161139
"374",374,1.066851
"375",375,0.971921
"376",376,0.876405
"377",377,0.780361
"378",378,0.683848
"379",379,0.586922
"380",380,0.489643
"381",381,0.392069
"382",382,0.294258
"383",383,0.196271
"384",384,0.098165
"385",385,0
"386",386,-0.098165
"387",387,-0.196271
"388",388,-0.294258
"389",389,-0.392069
"390",390,-0.489643
"391",391,-0.586922
"392",392,-0.683848
"393",393,-0.780361
"394",394,-0.876405
"395",395,-0.971921
"396",396,-1.066851
"397",397,-1.161139
"398",398,-1.254727
"399",399,-1.347559
"400",400,-1.43958
"401",401,-1.530734
"402",402,-1.620965
"403",403,-1.71022
"404",404,-1.798445
"405",405,-1.885587
"406",406,-1.971593
"407",407,-2.056411
"408",408,-2.13999
"409",409,-2.222281
"410",410,-2.303233
"411",411,-2.382797
"412",412,-2.460926
"413",413,-2.537573
"414",414,-2.612691
"415",415,-2.686236
"416",416,-2.758162
"417",417,-2.828427
"418",418,-2.896988
"419",419,-2.963805
"420",420,-3.028835
"421",421,-3.092042
"422",422,-3.153386
"423",423,-3.21283
"424",424,-3.270339
"425",425,-3.325878
"426",426,-3.379414
"427",427,-3.430914
"428",428,-3.480348
"429",429,-3.527685
"430",430,-3.572897
"431",431,-3.615957
"432",432,-3.656839
"433",433,-3.695518
"434",434,-3.731971
"435",435,-3.766176
"436",436,-3.798113
"437",437,-3.827761
"438",438,-3.855104
"439",439,-3.880125
"440",440,-3.902809
"441",441,-3.923141
"442",442,-3.941111
"443",443,-3.956706
"444",444,-3.969918
"445",445,-3.980739
