"","time","mexm"
"1",1957,11.63
"2",1957.08333333333,11.61
"3",1957.16666666667,11.52
"4",1957.25,11.47
"5",1957.33333333333,11.51
"6",1957.41666666667,11.68
"7",1957.5,11.87
"8",1957.58333333333,11.92
"9",1957.66666666667,11.9
"10",1957.75,12.02
"11",1957.83333333333,12.19
"12",1957.91666666667,12.78
"13",1958,12.49
"14",1958.08333333333,12.62
"15",1958.16666666667,12.39
"16",1958.25,12.35
"17",1958.33333333333,12.28
"18",1958.41666666667,12.38
"19",1958.5,12.52
"20",1958.58333333333,12.63
"21",1958.66666666667,12.5
"22",1958.75,12.73
"23",1958.83333333333,12.88
"24",1958.91666666667,13.72
"25",1959,13.44
"26",1959.08333333333,13.55
"27",1959.16666666667,13.73
"28",1959.25,13.85
"29",1959.33333333333,13.84
"30",1959.41666666667,14.24
"31",1959.5,14.31
"32",1959.58333333333,14.59
"33",1959.66666666667,14.42
"34",1959.75,14.51
"35",1959.83333333333,14.92
"36",1959.91666666667,15.87
"37",1960,15.47
"38",1960.08333333333,15.64
"39",1960.16666666667,15.47
"40",1960.25,15.74
"41",1960.33333333333,15.81
"42",1960.41666666667,15.88
"43",1960.5,15.76
"44",1960.58333333333,16.17
"45",1960.66666666667,16.1
"46",1960.75,16.13
"47",1960.83333333333,16.5
"48",1960.91666666667,17.35
"49",1961,16.96
"50",1961.08333333333,17.21
"51",1961.16666666667,16.78
"52",1961.25,17.16
"53",1961.33333333333,16.47
"54",1961.41666666667,16.57
"55",1961.5,16.54
"56",1961.58333333333,16.71
"57",1961.66666666667,16.62
"58",1961.75,16.83
"59",1961.83333333333,17.19
"60",1961.91666666667,18.49
"61",1962,18.03
"62",1962.08333333333,17.8
"63",1962.16666666667,17.75
"64",1962.25,17.71
"65",1962.33333333333,17.58
"66",1962.41666666667,17.96
"67",1962.5,18.12
"68",1962.58333333333,18.37
"69",1962.66666666667,18.34
"70",1962.75,18.63
"71",1962.83333333333,19.12
"72",1962.91666666667,20.93
"73",1963,20.15
"74",1963.08333333333,20.18
"75",1963.16666666667,20.18
"76",1963.25,20.05
"77",1963.33333333333,20.11
"78",1963.41666666667,20.48
"79",1963.5,20.49
"80",1963.58333333333,20.78
"81",1963.66666666667,21
"82",1963.75,21.25
"83",1963.83333333333,22.1
"84",1963.91666666667,24.31
"85",1964,23.69
"86",1964.08333333333,23.89
"87",1964.16666666667,24.37
"88",1964.25,23.99
"89",1964.33333333333,24.13
"90",1964.41666666667,24.33
"91",1964.5,24.82
"92",1964.58333333333,25.27
"93",1964.66666666667,25.32
"94",1964.75,25.83
"95",1964.83333333333,26.61
"96",1964.91666666667,28.59
"97",1965,27.62
"98",1965.08333333333,27.43
"99",1965.16666666667,27.49
"100",1965.25,27.21
"101",1965.33333333333,26.89
"102",1965.41666666667,27.09
"103",1965.5,26.52
"104",1965.58333333333,26.82
"105",1965.66666666667,26.4
"106",1965.75,26.81
"107",1965.83333333333,27.44
"108",1965.91666666667,30.21
"109",1966,29.4
"110",1966.08333333333,29.26
"111",1966.16666666667,29.08
"112",1966.25,29.27
"113",1966.33333333333,28.74
"114",1966.41666666667,29.21
"115",1966.5,28.89
"116",1966.58333333333,29.23
"117",1966.66666666667,29.03
"118",1966.75,29.36
"119",1966.83333333333,30.1
"120",1966.91666666667,33.89
"121",1967,32.09
