"","time","tourism"
"1",1960,183
"2",1960.25,245
"3",1960.5,299
"4",1960.75,192
"5",1961,188
"6",1961.25,260
"7",1961.5,299
"8",1961.75,200
"9",1962,206
"10",1962.25,279
"11",1962.5,284
"12",1962.75,188
"13",1963,205
"14",1963.25,284
"15",1963.5,308
"16",1963.75,218
"17",1964,247
"18",1964.25,334
"19",1964.5,364
"20",1964.75,262
"21",1965,271
"22",1965.25,377
"23",1965.5,416
"24",1965.75,316
"25",1966,321
"26",1966.25,432
"27",1966.5,492
"28",1966.75,345
"29",1967,358
"30",1967.25,427
"31",1967.5,502
"32",1967.75,359
"33",1968,377
"34",1968.25,465
"35",1968.5,548
"36",1968.75,385
"37",1969,442
"38",1969.25,554
"39",1969.5,625
"40",1969.75,422
"41",1970,507
"42",1970.25,624
"43",1970.5,699
"44",1970.75,501
"45",1971,552
"46",1971.25,653
"47",1971.5,751
"48",1971.75,578
"49",1972,604
"50",1972.25,742
"51",1972.5,840
"52",1972.75,631
"53",1973,788
"54",1973.25,860
"55",1973.5,1007
"56",1973.75,757
"57",1974,951
"58",1974.25,1005
"59",1974.5,1180
"60",1974.75,896
"61",1975,1207
"62",1975.25,1150
"63",1975.5,1320
"64",1975.75,1020
"65",1976,1320
"66",1976.25,1482
"67",1976.5,1748
"68",1976.75,1192
"69",1977,1417
"70",1977.25,1575
"71",1977.5,1787
"72",1977.75,1371
"73",1978,1624
"74",1978.25,1885
"75",1978.5,2113
"76",1978.75,1561
"77",1979,1924
"78",1979.25,2214
"79",1979.5,2368
"80",1979.75,1935
"81",1980,2425
"82",1980.25,2691
"83",1980.5,3140
"84",1980.75,2332
"85",1981,2951
"86",1981.25,3254
"87",1981.5,3721
"88",1981.75,2987
"89",1982,3161
"90",1982.25,3331
"91",1982.5,3446
"92",1982.75,2455
"93",1983,2593
"94",1983.25,2781
"95",1983.5,3361
"96",1983.75,2212
"97",1984,3671
"98",1984.25,5082
"99",1984.5,3951
"100",1984.75,3909
"101",1985,4731
"102",1985.25,5198
"103",1985.5,3923
"104",1985.75,4432
"105",1986,4925
"106",1986.25,6272
"107",1986.5,4755
"108",1986.75,4756
"109",1987,5827
"110",1987.25,7288
"111",1987.5,5691
"112",1987.75,5933
"113",1988,7117
"114",1988.25,9201
"115",1988.5,7182
"116",1988.75,7553
"117",1989,8643
"118",1989.25,11003
"119",1989.5,9007
"120",1989.75,9289
"121",1990,10541
"122",1990.25,12466
"123",1990.5,10712
"124",1990.75,9544
"125",1991,12033
"126",1991.25,14736
"127",1991.5,12072
"128",1991.75,12283
"129",1992,13680
"130",1992.25,15977
"131",1992.5,12802
"132",1992.75,12710
"133",1993,14410
"134",1993.25,17156
"135",1993.5,13599
"136",1993.75,12818
"137",1994,14644
"138",1994.25,17208
"139",1994.5,13747
"140",1994.75,13157
"141",1995,14887
"142",1995.25,19475
"143",1995.5,15876
"144",1995.75,14950
"145",1996,17462
"146",1996.25,19386
"147",1996.5,18011
"148",1996.75,16084
"149",1997,18167
"150",1997.25,21902
"151",1997.5,17273
"152",1997.75,15661
"153",1998,18128
"154",1998.25,20363
"155",1998.5,17134
"156",1998.75,15784
"157",1999,18569
"158",1999.25,21908
"159",1999.5,18620
"160",1999.75,17191
