"","time","nile"
"1",622,1157
"2",623,1088
"3",624,1169
"4",625,1169
"5",626,984
"6",627,1322
"7",628,1178
"8",629,1103
"9",630,1211
"10",631,1292
"11",632,1124
"12",633,1171
"13",634,1133
"14",635,1227
"15",636,1142
"16",637,1216
"17",638,1259
"18",639,1299
"19",640,1232
"20",641,1117
"21",642,1155
"22",643,1232
"23",644,1083
"24",645,1020
"25",646,1394
"26",647,1196
"27",648,1148
"28",649,1083
"29",650,1189
"30",651,1133
"31",652,1034
"32",653,1157
"33",654,1034
"34",655,1097
"35",656,1299
"36",657,1157
"37",658,1130
"38",659,1155
"39",660,1349
"40",661,1232
"41",662,1103
"42",663,1103
"43",664,1083
"44",665,1027
"45",666,1166
"46",667,1148
"47",668,1250
"48",669,1155
"49",670,1047
"50",671,1054
"51",672,1018
"52",673,1189
"53",674,1126
"54",675,1250
"55",676,1297
"56",677,1178
"57",678,1043
"58",679,1103
"59",680,1250
"60",681,1272
"61",682,1169
"62",683,1004
"63",684,1083
"64",685,1164
"65",686,1124
"66",687,1027
"67",688,995
"68",689,1169
"69",690,1270
"70",691,1011
"71",692,1247
"72",693,1101
"73",694,1004
"74",695,1004
"75",696,1065
"76",697,1223
"77",698,1184
"78",699,1216
"79",700,1180
"80",701,1142
"81",702,1277
"82",703,1206
"83",704,1076
"84",705,1076
"85",706,1189
"86",707,1121
"87",708,1178
"88",709,1031
"89",710,1076
"90",711,1178
"91",712,1209
"92",713,1022
"93",714,1220
"94",715,1070
"95",716,1126
"96",717,1058
"97",718,1216
"98",719,1358
"99",720,1184
"100",721,1083
"101",722,1097
"102",723,1119
"103",724,1097
"104",725,1097
"105",726,1153
"106",727,1153
"107",728,1151
"108",729,1151
"109",730,1151
"110",731,1184
"111",732,1097
"112",733,1043
"113",734,1043
"114",735,1002
"115",736,1152
"116",737,1097
"117",738,1034
"118",739,1002
"119",740,989
"120",741,1092
"121",742,1115
"122",743,1115
"123",744,1047
"124",745,1040
"125",746,1038
"126",747,1085
"127",748,1126
"128",749,1058
"129",750,1067
"130",751,1115
"131",752,1263
"132",753,1124
"133",754,1110
"134",755,1097
"135",756,1097
"136",757,1157
"137",758,1000
"138",759,991
"139",760,995
"140",761,1013
"141",762,1007
"142",763,971
"143",764,971
"144",765,980
"145",766,993
"146",767,1043
"147",768,1097
"148",769,982
"149",770,971
"150",771,971
"151",772,1065
"152",773,1022
"153",774,1029
"154",775,989
"155",776,1029
"156",777,995
"157",778,982
"158",779,1090
"159",780,980
"160",781,971
"161",782,957
"162",783,989
"163",784,966
"164",785,989
"165",786,1022
"166",787,1074
"167",788,1110
"168",789,1110
"169",790,1061
"170",791,1151
"171",792,1128
"172",793,1074
"173",794,1043
"174",795,1034
"175",796,1074
"176",797,966
"177",798,1027
"178",799,1029
"179",800,1034
"180",801,1065
"181",802,989
"182",803,1034
"183",804,1002
"184",805,1128
"185",806,1178
"186",807,1097
"187",808,1142
"188",809,1466
"189",810,1097
"190",811,1137
"191",812,1097
"192",813,1259
"193",814,1313
"194",815,1173
"195",816,1169
"196",817,1173
"197",818,1088
"198",819,1191
"199",820,1146
"200",821,1160
"201",822,1142
"202",823,1128
"203",824,1169
"204",825,1162
"205",826,1115
"206",827,1164
"207",828,1088
"208",829,1079
"209",830,1083
"210",831,1043
"211",832,1110
"212",833,1092
"213",834,1110
"214",835,1047
"215",836,1076
"216",837,1110
"217",838,1043
"218",839,1103
"219",840,1034
"220",841,1074
"221",842,1052
"222",843,1011
"223",844,1097
"224",845,1092
"225",846,1110
"226",847,1115
"227",848,1097
"228",849,1196
"229",850,1115
"230",851,1162
"231",852,1151
"232",853,1142
"233",854,1126
"234",855,1108
"235",856,1187
"236",857,1191
"237",858,1153
"238",859,1254
"239",860,1187
"240",861,1196
"241",862,1331
"242",863,1412
"243",864,1349
"244",865,1290
"245",866,1211
"246",867,1232
"247",868,1166
"248",869,1124
"249",870,1146
"250",871,1079
"251",872,1108
"252",873,1097
"253",874,1106
"254",875,1072
"255",876,1065
"256",877,1128
"257",878,1340
"258",879,959
"259",880,959
"260",881,1137
"261",882,1133
"262",883,1137
"263",884,1151
"264",885,1117
"265",886,1157
"266",887,1157
"267",888,1133
"268",889,1110
"269",890,1155
"270",891,1189
"271",892,1260
"272",893,1189
"273",894,1151
"274",895,1097
"275",896,1209
"276",897,1130
"277",898,1295
"278",899,1308
"279",900,1250
"280",901,1205
"281",902,1310
"282",903,1250
"283",904,1155
"284",905,1101
"285",906,1100
"286",907,1103
"287",908,1121
"288",909,1121
"289",910,1097
"290",911,1106
"291",912,1259
"292",913,1261
"293",914,1124
"294",915,1196
"295",916,1205
"296",917,1205
"297",918,1119
"298",919,1088
"299",920,1250
"300",921,1094
"301",922,1198
"302",923,1121
"303",924,1164
"304",925,1211
"305",926,1153
"306",927,1146
"307",928,1126
"308",929,1288
"309",930,1175
"310",931,1171
"311",932,1081
"312",933,1133
"313",934,1164
"314",935,1155
"315",936,1155
"316",937,1155
"317",938,1160
"318",939,1094
"319",940,1054
"320",941,1067
"321",942,1044
"322",943,948
"323",944,1099
"324",945,1016
"325",946,1065
"326",947,1067
"327",948,1072
"328",949,1076
"329",950,1081
"330",951,1196
"331",952,1196
"332",953,1151
"333",954,1088
"334",955,1128
"335",956,1151
"336",957,1236
"337",958,1216
"338",959,1288
"339",960,1297
"340",961,1182
"341",962,1306
"342",963,1043
"343",964,1184
"344",965,1054
"345",966,1169
"346",967,1043
"347",968,980
"348",969,1072
"349",970,1189
"350",971,1151
"351",972,1142
"352",973,1193
"353",974,1151
"354",975,1097
"355",976,1144
"356",977,1097
"357",978,1094
"358",979,1153
"359",980,1108
"360",981,935
"361",982,1081
"362",983,1081
"363",984,1097
"364",985,1146
"365",986,1250
"366",987,1151
"367",988,1043
"368",989,1043
"369",990,1043
"370",991,1070
"371",992,1124
"372",993,1137
"373",994,1146
"374",995,1099
"375",996,1054
"376",997,1045
"377",998,1070
"378",999,1142
"379",1000,1074
"380",1001,1101
"381",1002,1220
"382",1003,1196
"383",1004,1097
"384",1005,1207
"385",1006,1119
"386",1007,1160
"387",1008,1151
"388",1009,1025
"389",1010,1097
"390",1011,1137
"391",1012,1007
"392",1013,1034
"393",1014,1043
"394",1015,1043
"395",1016,980
"396",1017,1079
"397",1018,1169
"398",1019,1250
"399",1020,1324
"400",1021,1209
"401",1022,1142
"402",1023,1061
"403",1024,1000
"404",1025,1088
"405",1026,1128
"406",1027,1142
"407",1028,1259
"408",1029,1142
"409",1030,1148
"410",1031,1088
"411",1032,1142
"412",1033,1119
"413",1034,1130
"414",1035,1088
"415",1036,1250
"416",1037,1137
"417",1038,1108
"418",1039,1110
"419",1040,1173
"420",1041,1173
"421",1042,1196
"422",1043,1189
"423",1044,1200
"424",1045,1351
"425",1046,1274
"426",1047,1227
"427",1048,1310
"428",1049,1148
"429",1050,1151
"430",1051,1151
"431",1052,1182
"432",1053,1182
"433",1054,1151
"434",1055,1133
"435",1056,1130
"436",1057,1151
"437",1058,1166
"438",1059,1070
"439",1060,1200
"440",1061,1074
"441",1062,1110
"442",1063,1292
"443",1064,1178
"444",1065,1128
"445",1066,1097
"446",1067,1304
"447",1068,1103
"448",1069,1259
"449",1070,1119
"450",1071,1119
"451",1072,1119
"452",1073,1081
"453",1074,1196
"454",1075,1085
"455",1076,1101
"456",1077,1103
"457",1078,1146
"458",1079,1211
"459",1080,1169
"460",1081,1144
"461",1082,1191
"462",1083,1189
"463",1084,1182
"464",1085,1243
"465",1086,1243
"466",1087,1227
"467",1088,1189
"468",1089,1191
"469",1090,1155
"470",1091,1209
"471",1092,1218
"472",1093,1211
"473",1094,1209
"474",1095,1164
"475",1096,1135
"476",1097,1121
"477",1098,1137
"478",1099,1254
"479",1100,1457
"480",1101,1299
"481",1102,1277
"482",1103,1277
"483",1104,1178
"484",1105,1270
"485",1106,1313
"486",1107,1333
"487",1108,1270
"488",1109,1245
"489",1110,1245
"490",1111,1211
"491",1112,1265
"492",1113,1346
"493",1114,1346
"494",1115,1290
"495",1116,1295
"496",1117,1286
"497",1118,1259
"498",1119,1254
"499",1120,1421
"500",1121,1268
"501",1122,1263
"502",1123,1335
"503",1124,1313
"504",1125,1265
"505",1126,1319
"506",1127,1351
"507",1128,1277
"508",1129,1317
"509",1130,1268
"510",1131,1263
"511",1132,1112
"512",1133,1207
"513",1134,1292
"514",1135,1205
"515",1136,1223
"516",1137,1205
"517",1138,1153
"518",1139,1182
"519",1140,1245
"520",1141,1205
"521",1142,1151
"522",1143,1079
"523",1144,1151
"524",1145,1081
"525",1146,1128
"526",1147,1209
"527",1148,1157
"528",1149,1277
"529",1150,1259
"530",1151,1209
"531",1152,1220
"532",1153,1184
"533",1154,1220
"534",1155,1193
"535",1156,1247
"536",1157,1252
"537",1158,1259
"538",1159,1299
"539",1160,1173
"540",1161,1182
"541",1162,1180
"542",1163,1180
"543",1164,1331
"544",1165,1207
"545",1166,1236
"546",1167,1151
"547",1168,1182
"548",1169,1142
"549",1170,1191
"550",1171,1259
"551",1172,1166
"552",1173,1196
"553",1174,1241
"554",1175,1252
"555",1176,1241
"556",1177,1252
"557",1178,1157
"558",1179,1126
"559",1180,1164
"560",1181,1088
"561",1182,1173
"562",1183,1252
"563",1184,1288
"564",1185,1301
"565",1186,1286
"566",1187,1223
"567",1188,1232
"568",1189,1184
"569",1190,1207
"570",1191,1250
"571",1192,1256
"572",1193,1211
"573",1194,1216
"574",1195,1209
"575",1196,1209
"576",1197,1207
"577",1198,1151
"578",1199,1097
"579",1200,1097
"580",1201,989
"581",1202,966
"582",1203,1047
"583",1204,1056
"584",1205,1110
"585",1206,1290
"586",1207,1151
"587",1208,1166
"588",1209,1196
"589",1210,1196
"590",1211,1110
"591",1212,1110
"592",1213,1119
"593",1214,1119
"594",1215,1074
"595",1216,1106
"596",1217,1128
"597",1218,1218
"598",1219,1098
"599",1220,1044
"600",1221,1056
"601",1222,1058
"602",1223,1098
"603",1224,1043
"604",1225,1038
"605",1226,1142
"606",1227,1142
"607",1228,1193
"608",1229,1103
"609",1230,989
"610",1231,936
"611",1232,1142
"612",1233,1142
"613",1234,1151
"614",1235,1151
"615",1236,1180
"616",1237,1259
"617",1238,1196
"618",1239,1142
"619",1240,1169
"620",1241,1196
"621",1242,1142
"622",1243,1128
"623",1244,1043
"624",1245,1097
"625",1246,1142
"626",1247,1205
"627",1248,1205
"628",1249,1164
"629",1250,1160
"630",1251,1196
"631",1252,1112
"632",1253,1169
"633",1254,1110
"634",1255,1178
"635",1256,1133
"636",1257,1153
"637",1258,1139
"638",1259,1155
"639",1260,1187
"640",1261,1196
"641",1262,1220
"642",1263,1166
"643",1264,1128
"644",1265,1101
"645",1266,1157
"646",1267,1175
"647",1268,1142
"648",1269,1187
"649",1270,1254
"650",1271,1198
"651",1272,1263
"652",1273,1283
"653",1274,1252
"654",1275,1160
"655",1276,1234
"656",1277,1234
"657",1278,1232
"658",1279,1306
"659",1280,1205
"660",1281,1054
"661",1282,1151
"662",1283,1108
"663",1284,1097
