"","time","japan"
"1",1955,10667.3
"2",1955.25,10685.2
"3",1955.5,11258.9
"4",1955.75,14463.6
"5",1956,11531.6
"6",1956.25,11769.6
"7",1956.5,12016.4
"8",1956.75,15285.1
"9",1957,11945
"10",1957.25,12507.1
"11",1957.5,12948.8
"12",1957.75,16496.7
"13",1958,12911.3
"14",1958.25,13486.8
"15",1958.5,13878.9
"16",1958.75,17578.9
"17",1959,13949.8
"18",1959.25,14584.9
"19",1959.5,15548.4
"20",1959.75,19158.9
"21",1960,16219.4
"22",1960.25,16307
"23",1960.5,17207.7
"24",1960.75,21949
"25",1961,18040.4
"26",1961.25,18433.1
"27",1961.5,19234.8
"28",1961.75,24471.5
"29",1962,19985.5
"30",1962.25,20139.1
"31",1962.5,20991.9
"32",1962.75,25956
"33",1963,21231.2
"34",1963.25,21745.4
"35",1963.5,23125.5
"36",1963.75,28621.9
"37",1964,24009.7
"38",1964.25,24553
"39",1964.5,25823.3
"40",1964.75,30933.5
"41",1965,25443.9
"42",1965.25,25837.3
"43",1965.5,27390.9
"44",1965.75,32622.2
"45",1966,27511.4
"46",1966.25,28552.8
"47",1966.5,30493.3
"48",1966.75,36142.7
"49",1967,30693.4
"50",1967.25,31695.3
"51",1967.5,34002.8
"52",1967.75,39908.7
"53",1968,34173.1
"54",1968.25,35430.8
"55",1968.5,37613.4
"56",1968.75,45314.9
"57",1969,38699.9
"58",1969.25,39846.7
"59",1969.5,42404.1
"60",1969.75,49813.8
"61",1970,43875.4
"62",1970.25,44163.2
"63",1970.5,47308.5
"64",1970.75,52976.1
"65",1971,46000.3
"66",1971.25,46150.9
"67",1971.5,49046.2
"68",1971.75,55391.5
"69",1972,49463.3
"70",1972.25,49504.3
"71",1972.5,53357.6
"72",1972.75,60803.7
"73",1973,54548.8
"74",1973.25,54104.2
"75",1973.5,57411.2
"76",1973.75,64184.6
"77",1974,53626.2
"78",1974.25,53637.6
"79",1974.5,57292.9
"80",1974.75,62871.1
"81",1975,54441
"82",1975.25,55459.3
"83",1975.5,59008
"84",1975.75,65550.4
"85",1976,57311.8
"86",1976.25,57764.1
"87",1976.5,61355.6
"88",1976.75,67347
"89",1977,59795.4
"90",1977.25,60510.6
"91",1977.5,63572.6
"92",1977.75,70602.6
"93",1978,62726
"94",1978.25,63386.7
"95",1978.5,67102.4
"96",1978.75,74682.4
"97",1979,66177.7
"98",1979.25,67455.1
"99",1979.5,70861.1
"100",1979.75,78094.9
"101",1980,68909.3
"102",1980.25,69349.2
"103",1980.5,72204.6
"104",1980.75,80087.9
"105",1981,71095.6
"106",1981.25,71534.8
"107",1981.5,74809.8
"108",1981.75,82322.3
"109",1982,72822.5
"110",1982.25,73926.7
"111",1982.5,77089.8
"112",1982.75,85088.2
"113",1983,74721
"114",1983.25,75223
"115",1983.5,79069.3
"116",1983.75,87087.4
"117",1984,77309.9
"118",1984.25,78648.7
"119",1984.5,82113.8
"120",1984.75,90411
"121",1985,80580.1
"122",1985.25,81774.1
"123",1985.5,85540.3
"124",1985.75,95055.7
"125",1986,83075.9
"126",1986.25,84002.9
"127",1986.5,88246.4
"128",1986.75,97554.8
"129",1987,86482.2
"130",1987.25,86454.9
"131",1987.5,91939.8
"132",1987.75,102678.8
"133",1988,92159.7
"134",1988.25,91754.5
"135",1988.5,98262.5
"136",1988.75,108148.6
"137",1989,97366.1
"138",1989.25,95564
"139",1989.5,102706.1
"140",1989.75,113547.3
"141",1990,101303
"142",1990.25,101312.9
"143",1990.5,108223.2
"144",1990.75,119146.4
"145",1991,107361.4
"146",1991.25,105266.7
"147",1991.5,111629
"148",1991.75,122058.1
"149",1992,109949
"150",1992.25,106347.7
"151",1992.5,112377.1
"152",1992.75,122250
"153",1993,109678.4
"154",1993.25,106612.2
"155",1993.5,113177.2
"156",1993.75,122813.7
"157",1994,110154.4
"158",1994.25,107088
"159",1994.5,114332
"160",1994.75,123623
"161",1995,110715.3
"162",1995.25,108356.5
"163",1995.5,115358.5
"164",1995.75,127025.8
"165",1996,116114.2
"166",1996.25,111584.5
"167",1996.5,119440.7
"168",1996.75,130697.7
"169",1997,119018.3
