"","company","destination","time"
"1","JoRo","Portland",29.7
"2","JoRo","Portland",32.54
"3","JoRo","Portland",33.1
"4","BmcB","Berlin",35.91
"5","MiPa","Basel",22.28
"6","MiPa","Basel",26.22
"7","BmcB","Portland",19.94
"8","BmcB","Berlin",46.6
"9","BmcB","Portland",25.61
"10","BmcB","Berlin",40.54
"11","BmcB","Berlin",44.31
"12","BmcB","Berlin",44.94
"13","BmcB","Berlin",40.59
"14","BmcB","Portland",23.88
"15","MiPa","Basel",22.56
"16","BmcB","Berlin",44.56
"17","JoRo","Portland",29.93
"18","BmcB","Berlin",44.94
"19","JoRo","Basel",21.27
"20","JoRo","Portland",32.64
"21","MiPa","Basel",17.96
"22","JoRo","Basel",20.12
"23","JoRo","Portland",32.38
"24","MiPa","Basel",24.98
"25","JoRo","Berlin",50.18
"26","BmcB","Basel",15.39
"27","MiPa","Basel",27.01
"28","MiPa","Basel",27.26
"29","BmcB","Portland",24.21
"30","MiPa","Basel",25.34
"31","JoRo","Basel",24.54
"32","MiPa","Basel",23.59
"33","JoRo","Berlin",47.87
"34","BmcB","Berlin",43.9
"35","BmcB","Portland",28.28
"36","MiPa","Portland",31.57
"37","JoRo","Portland",29.93
"38","MiPa","Berlin",55.28
"39","BmcB","Berlin",41.65
"40","MiPa","Basel",25.75
"41","MiPa","Basel",25.73
"42","MiPa","Basel",17.96
"43","JoRo","Portland",26.96
"44","JoRo","Portland",31.73
"45","MiPa","Basel",29.15
"46","MiPa","Basel",23.96
"47","MiPa","Berlin",55.34
"48","MiPa","Basel",16.78
"49","MiPa","Basel",25.96
"50","JoRo","Basel",16.63
"51","MiPa","Berlin",54.95
"52","MiPa","Berlin",48.93
"53","BmcB","Berlin",41.61
"54","MiPa","Basel",24.84
"55","MiPa","Basel",23.11
"56","MiPa","Berlin",53.83
"57","MiPa","Basel",22.71
"58","MiPa","Basel",25.92
"59","BmcB","Basel",15.65
"60","MiPa","Basel",15.97
"61","MiPa","Portland",32.52
"62","JoRo","Basel",19.45
"63","MiPa","Berlin",56.19
"64","BmcB","Berlin",42.37
"65","BmcB","Berlin",45.53
"66","MiPa","Berlin",52.36
"67","JoRo","Basel",23.86
"68","BmcB","Berlin",40.92
"69","JoRo","Basel",22.08
"70","MiPa","Basel",26.57
"71","BmcB","Berlin",39.04
"72","JoRo","Portland",29.3
"73","BmcB","Berlin",40.69
"74","BmcB","Berlin",45.67
"75","JoRo","Basel",12.94
"76","MiPa","Basel",21.8
"77","BmcB","Berlin",40.34
"78","MiPa","Berlin",48.41
"79","JoRo","Berlin",50.71
"80","BmcB","Berlin",35.02
"81","BmcB","Berlin",41.46
"82","BmcB","Berlin",42.06
"83","JoRo","Basel",17.18
"84","JoRo","Basel",25.72
"85","BmcB","Berlin",44.18
"86","MiPa","Basel",22.98
"87","JoRo","Portland",36.51
"88","BmcB","Berlin",44.42
"89","JoRo","Portland",33.69
"90","BmcB","Berlin",42.59
"91","JoRo","Portland",30.42
"92","JoRo","Berlin",46.39
"93","BmcB","Berlin",48.65
"94","BmcB","Berlin",37.34
"95","JoRo","Portland",31
"96","BmcB","Berlin",41.68
"97","JoRo","Portland",34.96
"98","JoRo","Basel",22.75
"99","MiPa","Basel",26.5
"100","MiPa","Basel",27.42
"101","JoRo","Berlin",50.02
"102","JoRo","Basel",21.73
"103","MiPa","Berlin",51.68
"104","BmcB","Berlin",47.05
"105","MiPa","Berlin",51.35
"106","JoRo","Berlin",52.12
"107","JoRo","Basel",20.99
"108","JoRo","Berlin",51.02
"109","BmcB","Portland",25.66
"110","BmcB","Portland",23.9
"111","MiPa","Basel",26.96
"112","JoRo","Berlin",48.43
"113","MiPa","Basel",22.5
"114","BmcB","Portland",24.7
"115","MiPa","Basel",25.72
"116","JoRo","Basel",22.79
"117","JoRo","Portland",28.93
"118","MiPa","Basel",23.9
"119","BmcB","Basel",18.29
"120","MiPa","Basel",27.92
"121","JoRo","Berlin",48.83
"122","BmcB","Berlin",44.71
"123","MiPa","Basel",28.55
"124","MiPa","Berlin",61.91
"125","BmcB","Basel",14.8
"126","JoRo","Berlin",46.01
"127","JoRo","Portland",26.74
"128","BmcB","Berlin",44.37
"129","BmcB","Berlin",44.88
