"","cannons","rooms","age","condition","color","style","jbb","price"
"1",18,20,140,5,"red","classic",3976,3502
"2",21,21,93,5,"red","modern",3463,2955
"3",20,18,48,2,"plum","classic",3175,3281
"4",24,20,81,5,"salmon","classic",4463,4400
"5",20,21,93,2,"red","modern",2858,2177
"6",21,19,60,6,"red","classic",4420,3792
"7",18,17,107,5,"black","classic",3369,3836
"8",23,20,83,5,"brown","modern",3671,3536
"9",17,14,67,7,"black","classic",3401,3635
"10",19,14,104,3,"salmon","modern",3082,3278
"11",20,12,139,4,"plum","modern",2889,3220
"12",20,11,70,2,"brown","modern",2626,2505
"13",19,18,58,3,"black","classic",3191,3029
"14",23,16,75,3,"red","classic",3447,3215
"15",20,12,85,6,"red","modern",3214,2749
"16",20,18,97,3,"red","classic",3438,3345
"17",18,15,64,7,"brown","modern",3202,3446
"18",22,13,111,4,"red","modern",2959,2459
"19",16,15,115,5,"plum","classic",3075,3083
"20",29,15,77,5,"black","modern",3707,3831
"21",18,16,72,6,"brown","classic",3450,3618
"22",23,16,49,5,"brown","classic",4011,4054
"23",21,18,132,7,"black","modern",3717,3938
"24",23,16,94,5,"red","classic",4122,3501
"25",17,14,93,8,"brown","modern",3443,3222
"26",18,17,98,4,"red","classic",3605,3153
"27",17,13,107,3,"black","classic",3140,3039
"28",21,15,81,8,"black","modern",3824,3668
"29",15,18,97,3,"brown","classic",2993,3119
"30",21,14,109,5,"black","modern",3183,3374
"31",20,21,85,4,"black","classic",3621,3832
"32",27,13,102,3,"black","modern",3242,3406
"33",19,17,80,7,"black","classic",3263,3635
"34",20,13,13,7,"brown","classic",3147,3022
"35",17,10,134,3,"black","classic",3004,2987
"36",19,14,115,3,"brown","classic",3414,3592
"37",21,20,106,3,"brown","classic",3534,3450
"38",22,15,68,5,"black","modern",3643,3963
"39",24,15,82,4,"brown","classic",3622,3487
"40",24,21,124,6,"black","classic",4615,4906
"41",20,19,79,4,"red","modern",3358,2559
"42",26,20,122,5,"red","classic",4578,4272
"43",13,19,70,6,"salmon","classic",2997,3484
"44",22,17,61,4,"brown","classic",3616,3462
"45",18,15,87,5,"red","classic",3312,3094
"46",25,18,112,7,"plum","modern",4091,4032
"47",19,11,84,2,"black","classic",2470,2047
"48",25,16,33,6,"salmon","modern",3684,3945
"49",20,18,84,6,"brown","classic",3425,3714
"50",12,18,144,2,"brown","classic",3012,3019
"51",18,16,105,6,"brown","modern",3032,2931
"52",13,10,155,3,"black","classic",2912,3672
"53",21,17,121,5,"plum","modern",3366,3177
"54",28,19,61,7,"red","modern",4348,3723
"55",11,21,111,5,"red","modern",2685,1734
"56",24,11,72,7,"salmon","classic",3877,3885
"57",14,16,124,4,"salmon","modern",2956,3131
"58",27,17,141,5,"black","modern",3678,4129
"59",26,19,62,6,"brown","modern",3823,4064
"60",17,16,95,5,"black","modern",3187,2927
"61",19,17,45,5,"brown","classic",3326,3356
"62",20,18,98,5,"brown","modern",3044,3016
"63",18,17,112,2,"black","classic",3165,3559
"64",30,4,40,4,"brown","classic",3991,3932
"65",21,16,79,6,"brown","classic",4019,4279
"66",17,17,111,5,"black","classic",3025,3136
"67",23,20,84,4,"brown","modern",3743,3566
"68",21,13,121,6,"brown","classic",3570,3423
"69",20,21,116,5,"black","modern",3526,3594
"70",20,12,86,6,"salmon","modern",2811,2836
"71",22,22,77,3,"black","modern",3597,3584
"72",16,15,138,6,"black","modern",2792,2712
"73",15,18,100,6,"brown","classic",3553,3518
"74",27,28,70,6,"red","modern",4638,4299
"75",12,16,115,4,"red","modern",2471,1822
"76",20,13,99,6,"brown","classic",3421,3291
"77",16,19,58,6,"brown","classic",3569,3450
"78",21,20,34,5,"black","modern",3716,3707
"79",24,26,107,4,"plum","classic",4262,4473
"80",12,22,57,5,"salmon","modern",2592,3216
"81",24,13,134,4,"black","modern",3453,3239
"82",20,17,114,4,"brown","modern",3074,3306
"83",15,18,117,6,"brown","modern",2844,2956
"84",12,16,100,7,"brown","modern",2973,2952
