"","name","rating","genre","creative.type","time","year","production.method","sequel","budget","revenue.all","revenue.dom","revenue.int","revenue.inf"
"1","Avatar","PG-13","Action","Science Fiction",162,2009,"Animation/Live Action",0,425,2783.918982,760.507625,2023.411357,826.19813
"2","Titanic","PG-13","Thriller/Suspense","Historical Fiction",194,1997,"Live Action",0,200,2207.615668,658.672302,1548.943366,1139.182838
"3","Jurassic World","PG-13","Action","Science Fiction",124,2015,"Live Action",1,215,1665.443635,651.443635,1014,651.443635
"4","The Avengers","PG-13","Adventure","Super Hero",143,2012,"Animation/Live Action",0,225,1519.479547,623.279547,896.2,655.383136
"5","Furious 7","PG-13","Action","Contemporary Fiction",137,2014,"Live Action",1,190,1516.246709,351.03291,1165.213799,351.03291
"6","The Avengers: Age of Ultron","PG-13","Action","Super Hero",141,2015,"Live Action",1,250,1404.705868,459.005868,945.7,459.005868
"7","Harry Potter and the Deathly Hallows: Part II","PG-13","Adventure","Fantasy",131,2011,"Animation/Live Action",1,125,1341.511219,381.011219,960.5,402.151808
"8","Frozen","PG","Adventure","Kids Fiction",102,2013,"Digital Animation",0,150,1274.23498,400.738009,873.496971,412.043457
"9","Iron Man 3","PG-13","Action","Super Hero",130,2012,"Animation/Live Action",1,200,1215.392272,408.992272,806.4,421.06584
"10","Minions","PG","Comedy","Kids Fiction",91,2014,"Digital Animation",0,74,1152.944425,334.544425,818.4,334.544425
"11","The Lord of the Rings: The Return of the King","PG-13","Adventure","Fantasy",201,2003,"Animation/Live Action",1,94,1141.408667,377.845905,763.562762,520.711377
"12","Transformers: Dark of the Moon","PG-13","Action","Science Fiction",154,2011,"Animation/Live Action",1,195,1123.790543,352.390543,771.4,371.943105
"13","Skyfall","PG-13","Action","Contemporary Fiction",143,2012,"Live Action",1,200,1110.526981,304.360277,806.166704,319.870983
"14","Transformers: Age of Extinction","PG-13","Action","Science Fiction",165,2014,"Animation/Live Action",1,210,1104.039076,245.439076,858.6,251.447372
"15","The Dark Knight Rises","PG-13","Action","Super Hero",164,2012,"Live Action",1,275,1084.439099,448.139099,636.3,471.221634
"16","Toy Story 3","G","Adventure","Kids Fiction",102,2010,"Digital Animation",1,200,1069.818229,415.00488,654.813349,440.252324
