"","ID","V","BV","Para","Uncert"
"1",2,4.61,1.04,0.0135,149
"2",3,8.45,1.05,0.0717,113
"3",4,9.01,1.44,0.0886,23
"4",6,8.6,0.94,0.0147,55
"5",7,5.96,0.67,0.0455,50
"6",7,6.43,0.64,0.0455,50
"7",8,5.7,0.52,0.0495,97
"8",8,5.69,0.52,0.0495,97
"9",9,6.13,0.75,0.0664,63
"10",9.01,13.74,1.99,0.213,36
"11",9.11,14.17,1.49,0.0535,25
"12",10,8.37,0.65,0.0075,119
"13",11,8.7,0.8,0.0392,150
"14",11.01,13.07,1.52,0.044,63
"15",12,2.06,-0.11,0.027,79
"16",13,6.19,0.48,0.0462,72
"17",16,2.27,0.34,0.0695,66
"18",16.1,11.8,1.48,0.0575,101
"19",17,7.01,0.92,0.0327,105
"20",17.02,13.73,1.39,0.0193,30
"21",18,5.42,0.42,0.0213,149
"22",18,6.12,0.44,0.0213,149
"23",19,3.88,1.03,0.0645,161
"24",22.01,10.87,1.45,0.0085,190
"25",23,7.96,0.75,0.0307,84
"26",24,4.89,0.49,0.0658,149
"27",25,9.91,1.06,0.0288,117
"28",26,8.35,0.62,0.0495,150
"29",27,5.25,0.44,0.0322,137
"30",27.01,14.36,0.42,0.0906,37
"31",29.01,13.27,1.52,0.0283,24
"32",30,7.95,0.95,0.0215,150
"33",32,13.06,1.6,0.0458,51
"34",32.1,9,1.36,0.0219,150
"35",34,5.72,0.31,0.0241,111
"36",34.01,15.34,0.21,0.0329,48
"37",36,8.37,0.63,0.0328,92
"38",36.01,15.9,0.58,0.0513,38
"39",37,5.12,1.62,0.0025,86
"40",38,4.8,1.57,0.0141,98
"41",39,4.44,1.66,0.0272,173
"42",40,6.6,-0.02,0.0096,106
"43",40.01,11.53,1.74,0.1821,68
"44",42,12.54,1.66,0.0866,134
"45",42.11,12.26,1.55,0.0661,16
"46",45,8.94,1.42,0.0681,39
"47",45.01,13.79,1.62,0.0569,37
"48",46,6.85,0.64,0.0674,150
"49",47,4.61,0.06,0.0191,98
"50",48,7.96,0.66,0.0328,84
"51",48.01,6.66,0.6,0.0016,133
"52",48.02,12.49,1.57,0.0465,120
"53",48.03,13.95,1.49,0.0284,35
"54",48.04,10.99,1.46,0.0365,120
"55",49,8.07,1.56,0.282,22
"56",50,6.5,0.59,0.0288,70
"57",51,4.52,0.05,0.0193,125
"58",51.01,10.88,1.52,0.0359,120
"59",52,6.46,0.68,0.0475,115
