"","Rank","Bib","FIS.Code","Name","Year","Nation","Speed","Sex","Event","no.of.runs"
"1",1,61,7039,"ORIGONE Simone",1979,"ITA",211.67,"Male","Speed One",4
"2",2,59,7078,"ORIGONE Ivan",1987,"ITA",209.7,"Male","Speed One",4
"3",3,66,190130,"MONTES Bastien",1985,"FRA",209.69,"Male","Speed One",4
"4",4,57,7178,"SCHROTTSHAMMER Klaus",1979,"AUT",209.67,"Male","Speed One",4
"5",5,69,510089,"MAY Philippe",1970,"SUI",209.19,"Male","Speed One",4
"6",6,75,7204,"BILLY Louis",1993,"FRA",208.33,"Male","Speed One",4
"7",7,67,7053,"PERSSON Daniel",1975,"SWE",208.03,"Male","Speed One",4
"8",8,58,7170,"BILLY Simon",1991,"FRA",207.59,"Male","Speed One",4
"9",9,62,7230,"CERMAK Radek",1980,"CZE",207.47,"Male","Speed One",4
"10",10,56,7055,"JANSSON Christian",1982,"SWE",206.8,"Male","Speed One",4
"11",11,81,7182,"DOBROWOLSKI Jedrzej",1981,"POL",205.33,"Male","Speed One",4
"12",12,80,7155,"PIMKIN Nikolay",1963,"RUS",205.15,"Male","Speed One",4
"13",13,93,7028,"HOLMGREN Johan",1963,"SWE",204.27,"Male","Speed One",4
"14",14,63,7109,"STERBA Petr",1969,"CZE",204.24,"Male","Speed One",4
"15",15,27,50015,"MUENZER Markus",1969,"AUT",192.86,"Male","Speed Downhill",4
"16",16,16,7210,"MEICHTRY Gregory",1977,"SUI",191.84,"Male","Speed Downhill",4
"17",17,28,7192,"BAR Stefano",1990,"ITA",191.28,"Male","Speed Downhill",4
"18",18,23,7249,"LINDBLOM Sebastian",1989,"SWE",191.03,"Male","Speed Downhill",4
"19",19,24,500059,"MAGNUSSON Jan",1965,"SWE",189.77,"Male","Speed Downhill",4
"20",20,19,7194,"EIGENMANN Reto",1970,"SUI",188.94,"Male","Speed Downhill",4
"21",21,25,7141,"FOIDL Guenther",1982,"AUT",188.38,"Male","Speed Downhill",4
"22",22,26,50026,"PEER Gerhard",1967,"AUT",188.29,"Male","Speed Downhill",4
"23",23,60,420039,"STAVIK Finn-Arne",1970,"NOR",194.69,"Male","Speed One",3
"24",24,73,7081,"ANDERSSON Daniel",1978,"SWE",191.8,"Male","Speed One",3
"25",25,64,7116,"DEVENES Ismael",1982,"SUI",191.29,"Male","Speed One",3
"26",26,90,7120,"BOHACEK Radek",1975,"CZE",191.14,"Male","Speed One",3
"27",27,55,510028,"STUMP Roger",1963,"SUI",190.84,"Male","Speed One",3
"28",28,65,7049,"ADARRAGA Ricardo",1965,"SPA",190.75,"Male","Speed One",3
