"","Year","Exports","Imports"
"1",1700,180,460
"2",1701,170,480
"3",1702,160,490
"4",1703,150,500
"5",1704,145,510
"6",1705,140,525
"7",1706,135,550
"8",1707,125,565
"9",1708,120,580
"10",1709,110,590
"11",1710,105,625
"12",1711,105,650
"13",1712,100,680
"14",1713,100,710
"15",1714,100,725
"16",1715,100,755
"17",1716,100,795
"18",1717,100,825
"19",1718,110,860
"20",1719,120,880
"21",1720,130,900
"22",1721,140,925
"23",1722,145,940
"24",1723,150,955
"25",1724,145,960
"26",1725,135,965
"27",1726,130,970
"28",1727,130,975
"29",1728,145,980
"30",1729,160,980
"31",1730,170,975
"32",1731,170,980
"33",1732,170,980
"34",1733,175,982
"35",1734,205,985
"36",1735,225,987
"37",1736,260,985
"38",1737,285,982
"39",1738,310,980
"40",1739,345,980
"41",1740,370,980
"42",1741,390,978
"43",1742,410,975
"44",1743,440,975
"45",1744,465,978
"46",1745,500,980
"47",1746,520,980
"48",1747,550,960
"49",1748,585,960
"50",1749,650,955
"51",1750,700,940
"52",1751,725,910
"53",1752,750,880
"54",1753,780,850
"55",1754,805,835
"56",1755,810,830
"57",1756,810,830
"58",1757,815,850
"59",1758,825,890
"60",1759,850,945
"61",1760,875,1000
"62",1761,910,1100
"63",1762,950,1300
"64",1763,1010,1400
"65",1764,1120,1470
"66",1765,1330,1500
"67",1766,1380,1510
"68",1767,1395,1515
"69",1768,1380,1520
"70",1769,1350,1525
"71",1770,1330,1530
"72",1771,1285,1530
"73",1772,1250,1535
"74",1773,1190,1535
"75",1774,1050,1535
"76",1775,925,1535
"77",1776,880,1540
"78",1777,860,1545
"79",1778,845,1545
"80",1779,840,1550
"81",1780,840,1550
