"","x1","x2","x3","x4","x5","x6"
"1",0,0,0,0,0,2.3094
"2",-1,-1,-1,-1,1,0.5774
"3",1,-1,-1,-1,-1,0.5774
"4",-1,1,-1,-1,-1,0.5774
"5",1,1,-1,-1,1,0.5774
"6",-1,-1,1,-1,-1,0.5774
"7",1,-1,1,-1,1,0.5774
"8",-1,1,1,-1,1,0.5774
"9",1,1,1,-1,-1,0.5774
"10",-1,-1,-1,1,-1,0.5774
"11",1,-1,-1,1,1,0.5774
"12",-1,1,-1,1,1,0.5774
"13",1,1,-1,1,-1,0.5774
"14",-1,-1,1,1,1,0.5774
"15",1,-1,1,1,-1,0.5774
"16",-1,1,1,1,-1,0.5774
"17",1,1,1,1,1,0.5774
"18",-2,0,0,0,0,-1.1547
"19",2,0,0,0,0,-1.1547
"20",0,-2,0,0,0,-1.1547
"21",0,2,0,0,0,-1.1547
"22",0,0,-2,0,0,-1.1547
"23",0,0,2,0,0,-1.1547
"24",0,0,0,-2,0,-1.1547
"25",0,0,0,2,0,-1.1547
"26",0,0,0,0,-2,-1.1547
"27",0,0,0,0,2,-1.1547
"28",0,0,0,0,0,0
