"","x1","x2","x3","x4","x5","x6"
"1",-1,-1,-1,-1,1,1
"2",1,-1,-1,-1,-1,1
"3",-1,1,-1,-1,-1,1
"4",1,1,-1,-1,1,1
"5",-1,-1,1,-1,1,-1
"6",1,-1,1,-1,-1,-1
"7",-1,1,1,-1,-1,-1
"8",1,1,1,-1,1,-1
"9",-1,-1,-1,1,1,-1
"10",1,-1,-1,1,-1,-1
"11",-1,1,-1,1,-1,-1
"12",1,1,-1,1,1,-1
"13",-1,-1,1,1,1,1
"14",1,-1,1,1,-1,1
"15",-1,1,1,1,-1,1
"16",1,1,1,1,1,1
"17",-2,0,0,0,0,0
"18",2,0,0,0,0,0
"19",0,-2,0,0,0,0
"20",0,2,0,0,0,0
"21",0,0,-2,0,0,0
"22",0,0,2,0,0,0
"23",0,0,0,-2,0,0
"24",0,0,0,2,0,0
"25",0,0,0,0,-2,0
"26",0,0,0,0,2,0
"27",0,0,0,0,0,-2
"28",0,0,0,0,0,2
"29",0,0,0,0,0,0
