"","Sample","GlobClus","K"
"1","MWG","47_Tuc",-11.79
"2","MWG","NGC_362",-10.694
"3","MWG","NGC_1261",-9.452
"4","MWG","Eridanus_4",-5.14
"5","MWG","Pal_2",-13.515
"6","MWG","NGC_1851",-10.591
"7","MWG","NGC_2298",-8.825
"8","MWG","NGC_2419",-11.687
"9","MWG","NGC_2808",-11.687
"10","MWG","NGC_4147",-7.633
"11","MWG","NGC_4833",-11.347
"12","MWG","M_53",-10.284
"13","MWG","NGC_5286",-11.046
"14","MWG","NGC_5694",-9.991
"15","MWG","IC_4499",-9.083
"16","MWG","NGC_5824",-11.339
"17","MWG","NGC_5927",-11.183
"18","MWG","NGC_5946",-10.845
"19","MWG","NGC_5986",-11.418
"20","MWG","M_80",-10.16
"21","MWG","M_4",-10.091
"22","MWG","NGC_6101",-8.662
"23","MWG","NGC_6144",-9.497
"24","MWG","NGC_6139",-12.647
"25","MWG","M_107",-10.019
"26","MWG","M_13",-10.206
"27","MWG","NGC_6229",-10.388
"28","MWG","NGC_6235",-8.359
"29","MWG","NGC_6256",-10.374
"30","MWG","M_62",-12.318
"31","MWG","M_19",-12.279
"32","MWG","NGC_6284",-10.775
"33","MWG","NGC_6287",-10.706
"34","MWG","NGC_6304",-11.042
"35","MWG","NGC_6316",-12.452
"36","MWG","NGC_6325",-10.481
"37","MWG","M_9",-10.611
"38","MWG","NGC_6342",-9.825
"39","MWG","NGC_6356",-11.74
"40","MWG","NGC_6355",-11.163
"41","MWG","NGC_6366",-8.558
"42","MWG","Ton_1",-12.693
"43","MWG","NGC_6388",-13.509
"44","MWG","NGC_6401",-10.578
"45","MWG","NGC_6440",-14.205
"46","MWG","NGC_6441",-13.294
"47","MWG","NGC_6453",-10.922
"48","MWG","NGC_6496",-9.227
"49","MWG","NGC_6517",-13.34
"50","MWG","NGC_6539",-12.565
"51","MWG","NGC_6544",-11.478
"52","MWG","NGC_6553",-12.36
"53","MWG","Pal_7",-10.584
"54","MWG","NGC_6569",-10.962
"55","MWG","M_28",-10.557
"56","MWG","M_69",-9.803
"57","MWG","Pal_8",-8.478
"58","MWG","M_54",-12.717
"59","MWG","NGC_6723",-10.229
"60","MWG","Be42_19",-6.7
"61","MWG","NGC_6760",-11.649
"62","MWG","M_55",-9.199
"63","MWG","M_75",-10.929
"64","MWG","NGC_7006",-9.696
"65","MWG","M_2",-10.682
"66","MWG","M_30",-8.759
"67","MWG","Pal_12",-6.97
"68","MWG","NGC_7492",-7.365
"69","MWG","2MASS_GC01",-10.21
"70","MWG","2MASS_GC02",-12.667
"71","MWG","NGC_288",-7.741
"72","MWG","M_79",-9.372
"73","MWG","omega_Cen",-11.747
"74","MWG","NGC_5466",-7.273
"75","MWG","NGC_5634",-9.088
"76","MWG","NGC_5897",-8
"77","MWG","NGC_6293",-9.253
"78","MWG","M_92",-7.19
"79","MWG","NGC_6642",-8.73
"80","MWG","NGC_6652",-8.079
"81","MWG","Pal_9",-7.509
"82","M31","303-026",17.537
"83","M31","DAO023",15.845
"84","M31","305-D02",15.449
"85","M31","306-029",12.71
"86","M31","DAO025",15.499
"87","M31","DAO027",16.45
"88","M31","435-D02",14.695
"89","M31","307-030",14.878
"90","M31","309-031",15.35
"91","M31","311-033",12.909
"92","M31","312-035",12.873
"93","M31","313-036",13.278
"94","M31","314-037",15.591
"95","M31","315-038",14.55
"96","M31","DAO030",16.078
"97","M31","316-040",15.438
"98","M31","317-041",14.741
"99","M31","318-042",15.495
"100","M31","002-043",15.719
"101","M31","003-045",15.462
"102","M31","321-046",14.998
"103","M31","442-D03",15.393
"104","M31","325-000",14.713
"105","M31","327-053",14.383
"106","M31","328-054",14.59
"107","M31","008-060",14.237
"108","M31","010-062",14.74
"109","M31","012-064",12.922
"110","M31","448-D03",16.181
"111","M31","014-B22",14.445
"112","M31","335-H13",14.449
"113","M31","449-H11",15.664
"114","M31","016-066",14.662
"115","M31","451-D03",15.324
"116","M31","452-069",15.557
"117","M31","017-070",12.811
"118","M31","018-071",14.964
"119","M31","DAO040",15.95
"120","M31","338-076",11.685
"121","M31","021-075",14.293
"122","M31","022-074",15.42
"123","M31","341-081",13.828
"124","M31","024-082",14.148
"125","M31","025-084",14.085
"126","M31","026-086",14.471
"127","M31","028-088",14.562
