"","Name","Gal.long","Gal.lat","R.sol","R.GC","Metal","Mv","r.core","r.tidal","Conc","log.t","log.rho","S0","V.esc","VHB","E.B.V","B.V","Ellipt","V.t","CSBt"
"1","NGC_104",305.9,-44.89,4.6,8.1,-0.8,-9.6,0.5,60.3,2.1,7.9,5,13.2,56.8,14.1,0,1,3.8,3,5.6
"2","NGC_288",151.15,-89.38,8.2,12.1,-1.4,-6.6,4,37,0.9,9,2,2.8,10,15.3,0,0.9,8.1,1,11
"3","NGC_362",301.53,-46.25,8.7,9.9,-1.4,-8.4,0.5,25.9,1.7,7.8,4.8,10.3,41.8,15.4,0,0.9,6.4,6,6.1
"4","NGC_1261",270.54,-52.13,16.1,18.3,-1.2,-7.8,1.9,37.1,1.3,8.6,3.2,5.5,20.7,16.6,0,0.9,8.2,8,8.7
"5","Pal_1",130.07,19.02,13.7,20.3,-1,-2.5,0.6,19.9,NA,7.1,2.4,0.7,2.9,16.8,0.2,1.1,13.6,2,12.4
"6","NGC_1466",286.7,-39.54,39.4,38.4,-2.2,-7.5,2.8,73.9,NA,8.8,2.5,3.7,14.3,18.8,0.1,0.7,10.6,6,10.2
"7","AM_1",258.36,-48.47,116.4,117.9,-1.7,-4.5,9.5,81.2,0.9,9.3,0,0.7,2.4,20.9,0,0.8,15.8,4,15
"8","Eri",218.11,-41.33,84.7,90.2,-1.2,-4.9,6.2,85.5,1.1,9,0.6,0.9,3.3,20.2,0,0.9,14.7,0,13.9
"9","Ret",268.66,-40.27,50.4,51.3,-2,-5.9,14.7,146.6,NA,9.7,-0.1,1,3.5,19.2,0,0.7,12.7,0,14.7
"10","Pal_2",170.53,-9.07,13.6,22.2,-1.7,-7.3,0.3,12.5,1.6,7.3,5.1,8.4,33.7,20.9,1.5,2.2,13,4,10.5
"11","NGC_1841",297.02,-30.15,40.9,38.3,-1.6,-7.4,7.9,94.4,1.1,9.5,1.3,2.5,9.3,18.9,0.1,0.9,10.9,0,12.1
"12","NGC_1851",244.51,-35.04,12,17.2,-1.3,-8.3,0.2,28.3,2.2,7.1,5.5,9.8,42.9,16.1,0,0.9,7.1,5,5.2
"13","NGC_1904",227.23,-29.35,13,19.5,-1.5,-7.8,0.7,40.5,1.9,7.8,4.2,6.1,25.3,16.2,0,0.8,7.8,1,7.4
"14","NGC_2298",245.63,-16.01,10.6,16.2,-2.1,-6.4,1.3,24.4,1.2,8.2,3.1,3.6,13.6,16.2,0.2,0.8,9.2,0,9.7
"15","NGC_2419",180.37,25.24,91.4,99.4,-2,-9.6,11.1,284.8,1.4,10.1,1.5,4.9,18.8,20.5,0,0.7,10.3,2,11
"16","AM_2",248.13,-5.88,57.7,61.5,NA,-6.5,26,98.7,NA,10.4,-0.1,1.4,4.6,21.1,0.5,NA,14,0,16
"17","NGC_2808",282.19,-11.25,9.5,11.6,-1.5,-9.5,0.7,39.2,1.8,8.1,4.8,14.1,57.9,16.2,0.2,1,6.1,3,6.3
"18","E_3",292.27,-19.02,8.3,9.7,-1,-4.2,4.5,25.2,NA,8.8,1,1,3.4,16.2,0.3,1.2,11.3,5,14.2
"19","UKS_2",276,-3.01,9,11.9,-0.4,-4.2,2,9.3,NA,8.3,2.2,1.6,5.2,17.8,0.7,1.8,13,0,13.8
"20","Pal_3",240.14,41.87,87.9,91.5,-1.7,-6,12,109.1,1,9.6,0.3,1.2,4.2,20.5,0.1,0.8,13.9,2,14.2
"21","NGC_3201",277.23,8.64,5,9.5,-1.6,-7.5,1.6,52.4,1.6,8.4,3.1,4.4,17.3,14.8,0.2,1,6.6,8,9.7
"22","ESO_093-SC?08",293.51,-4.04,59.5,56.6,NA,-6.9,1.1,75.5,NA,8,3.2,3.3,13.5,22,0.8,NA,14.5,0,11.8
"23","Pal_4",202.29,71.8,93.3,96.2,-1.3,-5.7,14.6,83.9,NA,9.8,0.1,1.1,3.7,20.5,0,0.9,14.2,0,14.4
