"","YEAR","MON","SSN","DEV"
"1",1749,1,58,24.1
"2",1749,2,62.6,25.1
"3",1749,3,70,26.6
"4",1749,4,55.7,23.6
"5",1749,5,85,29.4
"6",1749,6,83.5,29.2
"7",1749,7,94.8,31.1
"8",1749,8,66.3,25.9
"9",1749,9,75.9,27.7
"10",1749,10,75.5,27.7
"11",1749,11,158.6,40.6
"12",1749,12,85.2,29.5
"13",1750,1,73.3,27.3
"14",1750,2,75.9,27.7
"15",1750,3,89.2,30.2
"16",1750,4,88.3,30
"17",1750,5,90,30.3
"18",1750,6,100,32
"19",1750,7,85.4,29.5
"20",1750,8,103,32.5
"21",1750,9,91.2,30.5
"22",1750,10,65.7,25.7
"23",1750,11,63.3,25.3
"24",1750,12,75.4,27.7
"25",1751,1,70,26.6
"26",1751,2,43.5,20.8
"27",1751,3,45.3,21.2
"28",1751,4,56.4,23.8
"29",1751,5,60.7,24.7
"30",1751,6,50.7,22.5
"31",1751,7,66.3,25.9
"32",1751,8,59.8,24.5
"33",1751,9,23.5,15
"34",1751,10,23.2,14.9
"35",1751,11,28.5,16.6
"36",1751,12,44,20.9
"37",1752,1,35,18.5
"38",1752,2,50,22.3
"39",1752,3,71,26.8
"40",1752,4,59.3,24.4
"41",1752,5,59.7,24.5
"42",1752,6,39.6,19.8
"43",1752,7,78.4,28.2
"44",1752,8,29.3,16.9
"45",1752,9,27.1,16.2
"46",1752,10,46.6,21.5
"47",1752,11,37.6,19.2
"48",1752,12,40,19.9
"49",1753,1,44,20.9
"50",1753,2,32,17.7
"51",1753,3,45.7,21.3
"52",1753,4,38,19.3
"53",1753,5,36,18.8
"54",1753,6,31.7,17.6
"55",1753,7,22,14.5
"56",1753,8,39,19.6
"57",1753,9,28,16.5
"58",1753,10,25,15.5
"59",1753,11,20,13.8
"60",1753,12,6.7,7.5
"61",1754,1,0,1
"62",1754,2,3,4.7
"63",1754,3,1.7,3.3
"64",1754,4,13.7,11.2
"65",1754,5,20.7,14
"66",1754,6,26.7,16.1
"67",1754,7,18.8,13.3
"68",1754,8,12.3,10.6
"69",1754,9,8.2,8.4
"70",1754,10,24.1,15.2
"71",1754,11,13.2,11
"72",1754,12,4.2,5.8
"73",1755,1,10.2,9.5
"74",1755,2,11.2,10
"75",1755,3,6.8,7.6
"76",1755,4,6.5,7.4
"77",1755,5,0,1
"78",1755,6,0,1
"79",1755,7,8.6,8.7
