"","RA","Dec","HIP_Num","Vmag","Plx","pmRA","pmDE","e_Plx","B.V"
"1",0.004265,-19.49884,2,9.27,21.9,181.21,-0.93,3.1,0.999
"2",0.113126,-79.061983,38,8.65,23.84,162.3,-62.4,0.78,0.778
"3",0.134996,-56.835602,47,10.78,24.45,-44.21,-145.9,1.97,1.15
"4",0.152594,17.968908,54,10.57,20.97,367.14,-19.49,1.71,1.03
"5",0.222345,35.752624,74,9.93,24.22,157.73,-40.31,1.36,1.068
"6",0.243414,-4.932534,81,8.57,23.43,-184.7,-172.67,1.28,0.642
"7",0.348614,39.610717,110,8.61,20.42,-29.92,-41.34,1.91,0.787
"8",0.426796,-0.217777,135,8.64,20.1,20.73,-114.08,1.22,0.62
"9",0.455647,21.462503,143,10.35,20.05,177.97,150.19,1.64,1.033
"10",0.477848,26.004049,149,11.26,22.92,-309.64,-628.61,2.17,0.932
"11",0.612961,-46.028896,191,12.43,22.98,192.39,-22.43,4.38,1.49
"12",0.696563,2.130155,223,7.17,21.58,62.25,-91.23,1.65,0.617
"13",0.972308,-28.393812,305,7.66,20.44,88.62,-17.68,0.96,0.741
"14",1.099143,-57.322694,350,10.37,21.14,-36.89,74.23,1.62,1.1
"15",1.103669,-47.068048,351,9.8,22.52,293.22,33.72,1.48,0.855
"16",1.24465,-70.212445,407,8.13,22.09,52.32,-97.72,0.71,0.71
"17",1.28123,-52.151741,420,7.53,23.9,-110.55,-130.74,0.85,0.577
"18",1.37021,22.224492,460,9.13,22.2,169.54,-75.17,1.14,0.735
"19",1.423638,58.313259,475,8.22,21.03,65.98,-162.94,1.06,0.636
"20",1.468935,-41.753068,490,7.51,24.85,97.62,-76.4,0.92,0.595
"21",1.843932,-25.356649,606,7.06,20.63,210.67,-133.54,0.91,0.463
"22",1.967024,55.577041,641,7.82,21.83,203.33,8.74,0.84,0.61
"23",2.262071,27.651596,731,11.65,22.5,223.28,146.63,2.96,1.26
"24",2.315613,25.281961,754,7.78,22.07,174.95,-146.75,2.31,0.68
"25",2.352675,-45.747426,765,3.88,23.28,122.15,-180.13,0.98,1.013
"26",2.432714,-31.825505,787,9.53,23.86,404.05,-232.85,1.59,0.965
"27",2.769289,5.20883,898,11.55,24.32,240.97,61.14,3.25,1.395
"28",2.878424,-49.629299,924,8.97,20.86,-44.77,-36.75,2.16,0.807
"29",2.898224,7.12149,933,10.03,21.87,-25.4,-7.96,24.76,1.293
"30",2.906053,10.328334,943,8.61,20.55,-37.34,-50.44,1.21,0.643
"31",3.1263,14.563523,999,8.44,24.69,321.76,-71.31,1.2,0.739
"32",3.136718,-30.859837,1003,8.66,21.09,-13.63,-225.06,1.23,0.743
"33",3.288216,20.38243,1055,10.41,24.96,223.65,5.88,2.95,1.36
"34",3.470891,-74.688288,1113,8.76,22.86,84.14,-47.52,0.87,0.743
"35",3.500418,-10.953673,1119,9.42,24.14,173.49,12.28,1.58,0.962
