"","Source","Time","Ener"
"1","COUP.263",1333,5.86
"2","COUP.263",2055,3.32
"3","COUP.263",9267,2.76
"4","COUP.263",15270,5.59
"5","COUP.263",17842,4.64
"6","COUP.263",18938,9.43
"7","COUP.263",21040,5.92
"8","COUP.263",21784,3.43
"9","COUP.263",28575,3.49
"10","COUP.263",28917,4.72
"11","COUP.263",36522,3.71
"12","COUP.263",45511,3.96
"13","COUP.263",58722,4.63
"14","COUP.263",59699,4.72
"15","COUP.263",60974,3.51
"16","COUP.263",62680,2.72
"17","COUP.263",66760,2.68
"18","COUP.263",76481,3.16
"19","COUP.263",77298,3.84
"20","COUP.263",81363,3.7
"21","COUP.263",83024,5.36
"22","COUP.263",95836,6.51
"23","COUP.263",109124,3
"24","COUP.263",112196,4.54
"25","COUP.263",117275,5.1
"26","COUP.263",118452,1.79
"27","COUP.263",120102,3.57
"28","COUP.263",123588,3.51
"29","COUP.263",125890,2.52
"30","COUP.263",127087,7.28
"31","COUP.263",136959,4.86
"32","COUP.263",145431,3.01
"33","COUP.263",146564,3.5
"34","COUP.263",146700,4.26
"35","COUP.263",164886,4.38
"36","COUP.263",164933,1.88
"37","COUP.263",172327,5.42
"38","COUP.263",176555,3.11
"39","COUP.263",187052,1.62
"40","COUP.263",189791,5.45
"41","COUP.263",190159,2.92
"42","COUP.263",197333,5.47
"43","COUP.263",198002,1.1
"44","COUP.263",200043,4.19
"45","COUP.263",201714,4.72
"46","COUP.263",202195,4.34
"47","COUP.263",206338,4.33
"48","COUP.263",210399,4.78
"49","COUP.263",212994,4.66
"50","COUP.263",213013,3.47
"51","COUP.263",214165,4.45
"52","COUP.263",226029,2.32
"53","COUP.263",226051,4.9
"54","COUP.263",233165,3.56
"55","COUP.263",236994,6.55
"56","COUP.263",237321,2.7
"57","COUP.263",237858,3.75
"58","COUP.263",238904,6.38
"59","COUP.263",247931,4.53
"60","COUP.263",253063,5.59
"61","COUP.263",253808,4.5
"62","COUP.263",255262,3.72
"63","COUP.263",257989,6.3
"64","COUP.263",261013,6.39
"65","COUP.263",262138,2.15
"66","COUP.263",263774,3.83
"67","COUP.263",265584,5.89
"68","COUP.263",270145,5.16
"69","COUP.263",274423,3.28
"70","COUP.263",285542,3.4
"71","COUP.263",289983,3.77
"72","COUP.263",292735,5.07
"73","COUP.263",300160,1.03
"74","COUP.263",301548,4.34
"75","COUP.263",303263,1.55
"76","COUP.263",303549,5.17
"77","COUP.263",306637,4.25
"78","COUP.263",307086,1.9
"79","COUP.263",307601,3.5
"80","COUP.263",310865,5.92
"81","COUP.263",317370,3.39
"82","COUP.263",319166,6.08
"83","COUP.263",322832,2.29
"84","COUP.263",331294,6.4
"85","COUP.263",332085,3.95
"86","COUP.263",335393,4.02
"87","COUP.263",359930,5.85
"88","COUP.263",361642,1.76
"89","COUP.263",366385,4.46
"90","COUP.263",378547,4.1
"91","COUP.263",378858,4.75
"92","COUP.263",385677,9.11
"93","COUP.263",390470,3.09
"94","COUP.263",391592,4.86
"95","COUP.263",394871,6.02
"96","COUP.263",395207,6.48
"97","COUP.263",398706,3.65
"98","COUP.263",399093,4.13
"99","COUP.263",399202,4.51
"100","COUP.263",407055,4.72
"101","COUP.263",412354,2.59
"102","COUP.263",416048,4.67
"103","COUP.263",422449,3.66
"104","COUP.263",424877,5.02
"105","COUP.263",438880,1.73
"106","COUP.263",446214,3.97
"107","COUP.263",449628,1.66
"108","COUP.263",450567,1.1
"109","COUP.263",453234,4.23
"110","COUP.263",453388,3.46
"111","COUP.263",460506,5.2
"112","COUP.263",465296,3.47
"113","COUP.263",468273,3.29
"114","COUP.263",473070,9.02
"115","COUP.263",494435,3.51
"116","COUP.263",502972,3.49
"117","COUP.263",504436,5.48
"118","COUP.263",506638,2.4
"119","COUP.263",512618,3.96
"120","COUP.263",517166,4.09
"121","COUP.263",519871,3.61
"122","COUP.263",523078,9.44
"123","COUP.263",524224,6.43
"124","COUP.263",526256,3.42
"125","COUP.263",532406,2.4
"126","COUP.263",533851,4.76
"127","COUP.263",537944,4.58
"128","COUP.263",537988,4.9
"129","COUP.263",539706,2.51
"130","COUP.263",540978,2.89
"131","COUP.263",544735,3.18
"132","COUP.263",546604,3.73
"133","COUP.263",553461,3.55
"134","COUP.263",558549,2.75
"135","COUP.263",559039,5.1
"136","COUP.263",559224,2.32
"137","COUP.263",563870,4.65
"138","COUP.263",571968,1.63
"139","COUP.263",573482,6.79
"140","COUP.263",575278,6.35
"141","COUP.263",575605,4.48
"142","COUP.263",575665,5.83
"143","COUP.263",578253,6.44
"144","COUP.263",581397,5.08
"145","COUP.263",581554,3.97
"146","COUP.263",582170,4.3
"147","COUP.263",582499,4.91
"148","COUP.263",583212,6.1
"149","COUP.263",594988,4.92
"150","COUP.263",595258,2.91
"151","COUP.263",595751,7.7
"152","COUP.263",601977,4.68
"153","COUP.263",608629,3.65
"154","COUP.263",610724,4.93
"155","COUP.263",625852,3.25
"156","COUP.263",628314,4.32
"157","COUP.263",638268,4.29
"158","COUP.263",640885,2.24
"159","COUP.263",649676,3.34
"160","COUP.263",651762,3.9
"161","COUP.263",656005,7.22
"162","COUP.263",657686,7.53
"163","COUP.263",661471,2.95
"164","COUP.263",662891,5.35
"165","COUP.263",666380,2.32
"166","COUP.263",671161,3.18
"167","COUP.263",672373,3.17
"168","COUP.263",674578,4.04
"169","COUP.263",676441,1.69
"170","COUP.263",676978,4.51
"171","COUP.263",677126,2.65
"172","COUP.263",680314,4.1
"173","COUP.263",684827,4.4
"174","COUP.263",685054,7.3
"175","COUP.263",685650,3.97
"176","COUP.263",689680,4.61
"177","COUP.263",700309,5.25
"178","COUP.263",706001,4.06
"179","COUP.263",709459,3.67
"180","COUP.263",712550,1.78
"181","COUP.263",716555,1.9
"182","COUP.263",732140,5.03
"183","COUP.263",735624,3.82
"184","COUP.263",735727,4.81
"185","COUP.263",737753,6.41
"186","COUP.263",739157,6.18
"187","COUP.263",750157,3.72
"188","COUP.263",752114,3.47
"189","COUP.263",754203,3.56
"190","COUP.263",754765,2.53
"191","COUP.263",756254,3.64
"192","COUP.263",767144,3.61
"193","COUP.263",772681,3.52
"194","COUP.263",776485,3.54
"195","COUP.263",788349,4.29
"196","COUP.263",788638,0.92
"197","COUP.263",795024,2.94
