"","R.A.","Dec.","Mag","Vel","SigVel"
"1",193.02958,-32.84556,15.23,15056,81
"2",193.04042,-28.54083,17.22,16995,32
"3",193.04042,-28.22556,17.29,21211,81
"4",193.05417,-28.33889,18.2,29812,37
"5",193.05542,-29.84056,12.55,2930,38
"6",193.05625,-30.33056,17.62,16042,104
"7",193.06375,-30.11861,16.87,17264,36
"8",193.075,-27.88639,16,16975,57
"9",193.08208,-30.50556,17.9,31572,68
"10",193.13,-28.39028,17.71,14806,36
"11",193.13458,-28.94944,15.8,16559,118
"12",193.13792,-28.45417,17.9,17032,56
"13",193.14042,-30.4775,18.89,16618,15
"14",193.14417,-30.2475,17.58,27457,15
"15",193.14583,-31.26611,13.9,16404,157
"16",193.14667,-31.88722,15.18,3543,138
"17",193.14667,-31.24333,15.71,15580,40
"18",193.15208,-28.42389,18.69,29047,64
"19",193.15792,-28.91333,16.8,16052,50
"20",193.16667,-28.39389,18.78,14844,38
"21",193.18083,-30.40028,18.47,32472,67
"22",193.1875,-31.2575,17.8,15751,40
"23",193.18833,-30.59417,18.99,21475,15
"24",193.19375,-30.22667,17.08,20949,34
"25",193.19375,-28.60417,17.73,14886,45
"26",193.19417,-30.46833,18.18,32571,68
"27",193.19625,-30.54917,18.66,31832,49
"28",193.19917,-30.27778,18.03,31450,48
"29",193.20125,-30.11417,18.49,27398,15
"30",193.20625,-30.505,18.32,31372,54
"31",193.21375,-30.24972,18.8,31876,95
"32",193.21583,-30.45,18.76,31911,58
"33",193.22125,-30.28111,19.01,15650,15
"34",193.2325,-32.10833,14.09,8739,126
"35",193.23583,-29.80722,16.73,15057,45
"36",193.24667,-30.35972,17.73,15739,57
"37",193.25083,-30.15361,18.89,25956,44
"38",193.25375,-28.61444,18.11,16716,107
"39",193.27083,-28.12833,17.46,3042,15
"40",193.27792,-30.27583,18.77,31783,51
"41",193.28458,-30.02083,18.34,27931,94
"42",193.29375,-27.91778,15.4,17319,77
"43",193.29583,-29.18556,16.85,28037,9
"44",193.29833,-32.17361,16.3,9377,73
"45",193.30292,-28.48222,18.24,16469,30
"46",193.30625,-30.30833,17.62,17138,43
"47",193.30667,-28.42972,18.38,17269,81
"48",193.31375,-28.54472,18.68,15795,96
"49",193.31625,-29.31778,16.8,16403,50
"50",193.32333,-29.76944,17.48,15086,56
