"","Star","Type","Teff","Ind_Be","logN_Be","sig_Be","Ind_Li","logN_Li"
"1","BD-103166",1,5320,1,0.5,NA,1,NA
"2","HD_6434",1,5835,1,1.08,0.1,0,0.8
"3","HD_9826",1,6212,1,1.05,0.13,1,2.55
"4","HD_10647",1,6143,1,1.19,0.1,1,2.8
"5","HD_10697",1,5641,1,1.31,0.13,1,1.96
"6","HD_12661",1,5702,1,1.13,0.13,0,0.98
"7","HD_13445",1,5613,0,0.4,NA,0,-0.12
"8","HD_16141",1,5801,1,1.17,0.13,1,1.11
"9","HD_17051",1,6252,1,1.03,0.13,1,2.66
"10","HD_19994",1,6109,1,0.93,0.12,1,1.99
"11","HD_22049",1,5073,1,0.77,NA,0,0.25
"12","HD_27442",1,4825,0,0.3,NA,0,-0.47
"13","HD_38529",1,5674,0,-0.1,NA,0,0.61
"14","HD_46375",1,5268,0,0.8,NA,0,-0.02
"15","HD_52265",1,6103,1,1.25,0.11,1,2.88
"16","HD_75289",1,6143,1,1.36,NA,1,2.85
"17","HD_82943",1,6016,1,1.27,NA,1,2.51
"18","HD_92799",1,5821,1,1.19,0.11,1,1.34
"19","HD_95128",1,5924,1,1.23,0.11,1,1.83
"20","HD_108147",1,6248,1,0.99,0.1,1,2.33
"21","HD_114762",1,5884,1,0.82,0.11,1,2.2
"22","HD_117176",1,5560,1,0.86,0.13,1,1.88
"23","HD_120136",1,6339,0,0.25,NA,1,NA
"24","HD_121504",1,6075,1,1.33,0.11,1,2.65
"25","HD_130322",1,5392,1,0.95,0.13,0,0.13
"26","HD_134987",1,5776,1,1.22,0.11,0,0.74
"27","HD_143761",1,5853,1,1.11,0.12,1,1.46
"28","HD_145675",1,5311,0,0.65,NA,0,0.03
"29","HD_169830",1,6299,0,-0.4,NA,0,1.16
"30","HD_179949",1,6260,1,1.08,0.1,1,2.65
"31","HD_187123",1,5845,1,1.08,0.12,1,1.21
"32","HD_192263",1,4947,0,0.9,NA,0,-0.39
"33","HD_195019",1,5842,1,1.15,0.12,1,1.47
"34","HD_202206",1,5752,1,1.04,0.11,1,1.04
"35","HD_209458",1,6117,1,1.24,0.11,1,2.7
"36","HD_210277",1,5532,1,0.91,0.13,0,0.3
"37","HD_217014",1,5804,1,1.02,0.12,1,1.3
"38","HD_217107",1,5646,1,0.96,0.13,0,0.4
"39","HD_222582",1,5843,1,1.14,0.11,0,0.59
"40","HD_870",2,5447,1,0.8,0.15,0,0.2
"41","HD_1461",2,5768,1,1.14,0.13,0,0.51
"42","HD_1581",2,5956,1,1.15,0.11,1,2.37
"43","HD_3823",2,5948,1,1.02,0.12,1,2.41
"44","HD_4391",2,5878,1,0.75,0.11,0,1.09
"45","HD_7570",2,6140,1,1.17,0.1,1,2.91
"46","HD_10700",2,5344,1,0.83,0.11,0,0.41
"47","HD_14412",2,5368,1,0.8,0.11,0,0.44
"48","HD_20010",2,6275,1,1.01,0.1,1,2.13
"49","HD_20766",2,5733,0,-0.09,NA,0,0.97
"50","HD_20794",2,5444,1,0.91,0.11,0,0.52
"51","HD_20807",2,5843,1,0.36,0.11,0,1.07
"52","HD_23249",2,5074,0,0.15,NA,1,1.24
"53","HD_23484",2,5176,0,0.7,NA,0,0.4
"54","HD_26965A",2,5126,1,0.76,0.13,0,0.17
"55","HD_30495",2,5768,1,1.16,0.11,1,2.44
"56","HD_36435",2,5479,1,0.99,0.12,1,1.67
"57","HD_38858",2,5752,1,1.02,0.11,1,1.64
"58","HD_43162",2,5633,1,1.08,0.11,1,2.34
"59","HD_43834",2,5594,1,0.94,0.11,1,2.3
"60","HD_69830",2,5410,1,0.79,0.11,0,0.47
"61","HD_72673",2,5242,1,0.7,0.13,0,0.48
"62","HD_74576",2,5000,1,0.7,0.31,1,1.72
"63","HD_76151",2,5803,1,1.02,0.11,1,1.88
"64","HD_85117",2,6167,1,1.11,0.11,1,2.64
"65","HD_189567",2,5765,1,1.06,0.1,0,0.82
"66","HD_192310",2,5069,0,0.6,NA,0,0.2
"67","HD_211415",2,5890,1,1.12,0.1,1,1.92
"68","HD_222335",2,5260,1,0.66,0.22,0,0.31
