"","galaxy","radius","surf_mag"
"1","NGC.4472",3.526,16.917
"2","NGC.4472",4.015,17.032
"3","NGC.4472",4.557,17.15
"4","NGC.4472",4.966,17.239
"5","NGC.4472",5.491,17.339
"6","NGC.4472",6.039,17.439
"7","NGC.4472",6.572,17.531
"8","NGC.4472",7.244,17.639
"9","NGC.4472",7.822,17.723
"10","NGC.4472",8.655,17.836
"11","NGC.4472",9.441,17.939
"12","NGC.4472",10.322,18.043
"13","NGC.4472",11.169,18.139
"14","NGC.4472",12.405,18.27
"15","NGC.4472",13.868,18.407
"16","NGC.4472",14.983,18.505
"17","NGC.4472",16.615,18.638
"18","NGC.4472",18.058,18.742
"19","NGC.4472",19.543,18.848
"20","NGC.4472",21.755,18.989
"21","NGC.4472",23.977,19.132
"22","NGC.4472",26.303,19.271
"23","NGC.4472",28.595,19.403
"24","NGC.4472",31.581,19.571
"25","NGC.4472",34.647,19.729
"26","NGC.4472",38.15,19.901
"27","NGC.4472",41.364,20.041
"28","NGC.4472",45.429,20.179
"29","NGC.4472",49.659,20.328
"30","NGC.4472",54.859,20.476
"31","NGC.4472",60.284,20.627
"32","NGC.4472",66.323,20.76
"33","NGC.4472",72.41,20.894
"34","NGC.4472",79.433,21.04
"35","NGC.4472",87.147,21.194
"36","NGC.4472",95.236,21.334
"37","NGC.4472",105.828,21.545
"38","NGC.4472",115.239,21.69
"39","NGC.4472",125.893,21.888
"40","NGC.4472",136.836,22.035
"41","NGC.4472",151.356,22.278
"42","NGC.4472",165.806,22.414
"43","NGC.4472",184.332,22.618
"44","NGC.4472",201.837,22.788
"45","NGC.4472",221.055,22.917
"46","NGC.4472",235.099,23.068
"47","NGC.4472",262.623,23.256
"48","NGC.4472",286.748,23.47
"49","NGC.4472",317.2,23.648
"50","NGC.4472",347.336,23.871
"51","NGC.4472",383.119,24.053
"52","NGC.4472",418.312,24.318
"53","NGC.4472",457.439,24.52
"54","NGC.4472",498.884,24.777
"55","NGC.4472",542.001,24.976
"56","NGC.4472",631,25.282
"57","NGC.4472",722.77,25.69
"58","NGC.4472",877.001,26.177
"59","NGC.4406",1.384,16.323
"60","NGC.4406",1.501,16.401
"61","NGC.4406",1.656,16.494
"62","NGC.4406",1.793,16.578
"63","NGC.4406",2.03,16.715
"64","NGC.4406",2.178,16.796
"65","NGC.4406",2.421,16.917
"66","NGC.4406",2.63,17.014
"67","NGC.4406",2.877,17.119
"68","NGC.4406",3.162,17.231
"69","NGC.4406",3.424,17.32
"70","NGC.4406",3.811,17.449
"71","NGC.4406",4.15,17.544
"72","NGC.4406",4.491,17.643
"73","NGC.4406",4.983,17.766
"74","NGC.4406",5.508,17.885
"75","NGC.4406",6.067,18.001
"76","NGC.4406",6.74,18.123
"77","NGC.4406",7.368,18.225
"78","NGC.4406",8.105,18.336
"79","NGC.4406",8.846,18.442
"80","NGC.4406",9.572,18.534
"81","NGC.4406",10.334,18.627
"82","NGC.4406",11.345,18.747
"83","NGC.4406",12.393,18.859
"84","NGC.4406",13.715,18.99
"85","NGC.4406",15.072,19.118
"86","NGC.4406",16.642,19.246
"87","NGC.4406",18.06,19.361
"88","NGC.4406",19.891,19.489
"89","NGC.4406",21.899,19.625
"90","NGC.4406",24.066,19.747
"91","NGC.4406",26.086,19.853
"92","NGC.4406",28.543,19.967
"93","NGC.4406",31.664,20.099
"94","NGC.4406",35.021,20.236
"95","NGC.4406",38.089,20.352
"96","NGC.4406",41.673,20.48
"97","NGC.4406",45.709,20.616
"98","NGC.4406",50.273,20.767
"99","NGC.4406",54.954,20.906
"100","NGC.4406",60.173,21.038
"101","NGC.4406",66.476,21.199
"102","NGC.4406",72.946,21.347
"103","NGC.4406",80.538,21.509
"104","NGC.4406",86.963,21.628
"105","NGC.4406",94.733,21.737
"106","NGC.4406",103.872,21.883
"107","NGC.4406",112.98,22.03
"108","NGC.4406",125.507,22.216
"109","NGC.4406",137.932,22.366
"110","NGC.4406",153.285,22.502
"111","NGC.4551",2.78,18.428
"112","NGC.4551",3.208,18.566
"113","NGC.4551",3.443,18.643
"114","NGC.4551",3.801,18.733
"115","NGC.4551",4.276,18.881
"116","NGC.4551",4.595,18.954
"117","NGC.4551",5.309,19.118
"118","NGC.4551",5.943,19.257
"119","NGC.4551",6.378,19.346
"120","NGC.4551",7.345,19.526
"121","NGC.4551",7.709,19.606
"122","NGC.4551",8.511,19.732
"123","NGC.4551",9.446,19.881
"124","NGC.4551",10.641,20.069
"125","NGC.4551",11.42,20.184
"126","NGC.4551",12.609,20.349
"127","NGC.4551",13.625,20.491
"128","NGC.4551",15.057,20.673
"129","NGC.4551",16.74,20.88
"130","NGC.4551",18.211,21.051
"131","NGC.4551",20.091,21.257
"132","NGC.4551",22.465,21.504
"133","NGC.4551",24.341,21.704
"134","NGC.4551",26.197,21.879
"135","NGC.4551",29.007,22.146
"136","NGC.4551",31.769,22.424
"137","NGC.4551",34.634,22.701
"138","NGC.4551",37.932,23.007
"139","NGC.4551",41.559,23.312
"140","NGC.4551",45.446,23.638
"141","NGC.4551",49.317,23.926
"142","NGC.4551",54.475,24.297
"143","NGC.4551",60.302,24.702
"144","NGC.4551",66.374,25.028
"145","NGC.4551",71.903,25.363
"146","NGC.4551",78.283,25.775
"147","NGC.4551",84.463,26.145
"148","NGC.4551",94.915,26.655
"149","NGC.4551",104.592,27.063
"150","NGC.4551",109.648,27.317
