"","Galaxy","PN.mag"
"1","M31",20.402
"2","M31",20.427
"3","M31",20.514
"4","M31",20.587
"5","M31",20.608
"6","M31",20.647
"7","M31",20.653
"8","M31",20.704
"9","M31",20.705
"10","M31",20.709
"11","M31",20.785
"12","M31",20.786
"13","M31",20.852
"14","M31",20.882
"15","M31",20.928
"16","M31",20.942
"17","M31",20.967
"18","M31",20.98
"19","M31",21.008
"20","M31",21.021
"21","M31",21.038
"22","M31",21.066
"23","M31",21.093
"24","M31",21.097
"25","M31",21.113
"26","M31",21.118
"27","M31",21.134
"28","M31",21.169
"29","M31",21.2
"30","M31",21.278
"31","M31",21.282
"32","M31",21.342
"33","M31",21.344
"34","M31",21.35
"35","M31",21.372
"36","M31",21.404
"37","M31",21.431
"38","M31",21.479
"39","M31",21.488
"40","M31",21.489
"41","M31",21.513
"42","M31",21.6
"43","M31",21.617
"44","M31",21.631
"45","M31",21.638
"46","M31",21.71
"47","M31",21.732
"48","M31",21.759
"49","M31",21.761
"50","M31",21.826
"51","M31",21.829
"52","M31",21.844
"53","M31",21.88
"54","M31",21.91
"55","M31",21.933
"56","M31",21.936
"57","M31",21.962
"58","M31",21.965
"59","M31",21.971
"60","M31",21.991
"61","M31",21.999
"62","M31",22.045
"63","M31",22.072
"64","M31",22.079
"65","M31",22.087
"66","M31",22.098
"67","M31",22.115
"68","M31",22.115
"69","M31",22.124
"70","M31",22.125
"71","M31",22.145
"72","M31",22.223
"73","M31",22.237
"74","M31",22.258
"75","M31",22.266
"76","M31",22.282
"77","M31",22.289
"78","M31",22.289
"79","M31",22.292
"80","M31",22.297
"81","M31",22.328
"82","M31",22.391
"83","M31",22.441
"84","M31",22.457
"85","M31",22.48
"86","M31",22.517
"87","M31",22.526
"88","M31",22.527
"89","M31",22.531
"90","M31",22.573
"91","M31",22.614
"92","M31",22.616
"93","M31",22.616
"94","M31",22.633
"95","M31",22.652
"96","M31",22.659
"97","M31",22.666
"98","M31",22.672
"99","M31",22.719
"100","M31",22.721
"101","M31",22.722
"102","M31",22.747
"103","M31",22.75
"104","M31",22.755
"105","M31",22.763
"106","M31",22.815
"107","M31",22.826
"108","M31",22.851
"109","M31",22.865
"110","M31",22.869
"111","M31",22.89
"112","M31",22.913
"113","M31",22.922
"114","M31",22.945
"115","M31",22.974
"116","M31",22.985
"117","M31",23.013
"118","M31",23.027
"119","M31",23.027
"120","M31",23.029
"121","M31",23.044
"122","M31",23.044
"123","M31",23.05
"124","M31",23.056
"125","M31",23.058
"126","M31",23.059
"127","M31",23.06
"128","M31",23.061
"129","M31",23.07
"130","M31",23.071
"131","M31",23.083
"132","M31",23.088
"133","M31",23.09
"134","M31",23.096
"135","M31",23.102
"136","M31",23.107
"137","M31",23.138
"138","M31",23.152
"139","M31",23.16
"140","M31",23.161
"141","M31",23.17
"142","M31",23.18
"143","M31",23.189
"144","M31",23.207
"145","M31",23.219
"146","M31",23.223
"147","M31",23.228
"148","M31",23.23
"149","M31",23.232
"150","M31",23.233
"151","M31",23.249
"152","M31",23.26
"153","M31",23.262
"154","M31",23.266
"155","M31",23.29
"156","M31",23.291
"157","M31",23.291
"158","M31",23.31
"159","M31",23.315
"160","M31",23.32
"161","M31",23.323
"162","M31",23.331
"163","M31",23.335
"164","M31",23.337
"165","M31",23.342
"166","M31",23.343
"167","M31",23.349
"168","M31",23.35
"169","M31",23.353
"170","M31",23.369
"171","M31",23.372
"172","M31",23.373
"173","M31",23.378
"174","M31",23.381
"175","M31",23.387
"176","M31",23.389
"177","M31",23.401
"178","M31",23.409
"179","M31",23.409
"180","M31",23.418
"181","M31",23.421
"182","M31",23.429
"183","M31",23.442
"184","M31",23.451
"185","M31",23.472
"186","M31",23.509
"187","M31",23.51
"188","M31",23.514
"189","M31",23.535
"190","M31",23.54
"191","M31",23.546
"192","M31",23.547
"193","M31",23.564
"194","M31",23.568
"195","M31",23.575
"196","M31",23.597
"197","M31",23.598
"198","M31",23.598
"199","M31",23.602
"200","M31",23.646
"201","M31",23.653
"202","M31",23.682
"203","M31",23.685
"204","M31",23.706
"205","M31",23.709
"206","M31",23.734
"207","M31",23.744
"208","M31",23.748
"209","M31",23.75
"210","M31",23.753
"211","M31",23.77
"212","M31",23.77
"213","M31",23.785
"214","M31",23.786
"215","M31",23.791
"216","M31",23.794
"217","M31",23.795
"218","M31",23.795
"219","M31",23.797
"220","M31",23.809
"221","M31",23.811
"222","M31",23.823
"223","M31",23.825
"224","M31",23.836
"225","M31",23.849
"226","M31",23.903
"227","M31",23.921
"228","M31",23.926
"229","M31",23.931
"230","M31",23.936
"231","M31",23.942
"232","M31",23.952
"233","M31",23.957
"234","M31",23.963
"235","M31",23.965
"236","M31",23.967
"237","M31",23.968
"238","M31",23.985
"239","M81",23.644
"240","M81",23.65
"241","M81",23.711
"242","M81",23.784
"243","M81",23.784
"244","M81",23.859
"245","M81",23.866
"246","M81",23.877
"247","M81",23.886
"248","M81",23.904
"249","M81",23.911
"250","M81",24.003
"251","M81",24.004
"252","M81",24.009
"253","M81",24.028
"254","M81",24.042
"255","M81",24.044
"256","M81",24.044
"257","M81",24.053
"258","M81",24.061
"259","M81",24.064
"260","M81",24.073
"261","M81",24.083
"262","M81",24.095
"263","M81",24.119
"264","M81",24.13
"265","M81",24.153
"266","M81",24.155
"267","M81",24.165
"268","M81",24.165
"269","M81",24.177
"270","M81",24.179
"271","M81",24.187
"272","M81",24.208
"273","M81",24.22
"274","M81",24.221
"275","M81",24.222
"276","M81",24.23
"277","M81",24.232
"278","M81",24.257
"279","M81",24.303
"280","M81",24.307
"281","M81",24.344
"282","M81",24.352
"283","M81",24.371
"284","M81",24.372
"285","M81",24.384
"286","M81",24.39
"287","M81",24.391
"288","M81",24.408
"289","M81",24.41
"290","M81",24.42
"291","M81",24.421
"292","M81",24.422
"293","M81",24.422
"294","M81",24.424
"295","M81",24.455
"296","M81",24.456
"297","M81",24.47
"298","M81",24.474
"299","M81",24.479
"300","M81",24.482
"301","M81",24.503
"302","M81",24.503
"303","M81",24.509
"304","M81",24.516
"305","M81",24.523
"306","M81",24.528
"307","M81",24.54
"308","M81",24.56
"309","M81",24.562
"310","M81",24.564
"311","M81",24.565
"312","M81",24.596
"313","M81",24.604
"314","M81",24.612
"315","M81",24.613
"316","M81",24.618
"317","M81",24.629
"318","M81",24.635
"319","M81",24.635
"320","M81",24.639
"321","M81",24.649
"322","M81",24.649
"323","M81",24.651
"324","M81",24.657
"325","M81",24.659
"326","M81",24.686
"327","M81",24.695
"328","NGC3379",25.441
"329","NGC3379",25.651
"330","NGC3379",25.677
"331","NGC3379",25.765
"332","NGC3379",25.771
"333","NGC3379",25.782
"334","NGC3379",25.81
"335","NGC3379",25.81
"336","NGC3379",25.855
"337","NGC3379",25.906
"338","NGC3379",25.918
"339","NGC3379",25.951
"340","NGC3379",25.957
"341","NGC3379",25.962
"342","NGC3379",25.984
"343","NGC3379",25.999
"344","NGC3379",26.073
"345","NGC3379",26.132
"346","NGC3379",26.136
"347","NGC3379",26.145
"348","NGC3379",26.152
"349","NGC3379",26.181
"350","NGC3379",26.23
"351","NGC3379",26.247
"352","NGC3379",26.252
"353","NGC3379",26.261
"354","NGC3379",26.279
"355","NGC3379",26.281
"356","NGC3379",26.29
"357","NGC3379",26.296
"358","NGC3379",26.301
"359","NGC3379",26.326
"360","NGC3379",26.334
"361","NGC3379",26.352
"362","NGC3379",26.36
"363","NGC3379",26.37
"364","NGC3379",26.393
"365","NGC3379",26.4
"366","NGC3379",26.423
"367","NGC3379",26.437
"368","NGC3379",26.437
"369","NGC3379",26.477
"370","NGC3379",26.478
"371","NGC3379",26.479
"372","NGC3379",26.482
"373","NGC4494",26.146
"374","NGC4494",26.167
"375","NGC4494",26.173
"376","NGC4494",26.175
"377","NGC4494",26.188
"378","NGC4494",26.194
"379","NGC4494",26.211
"380","NGC4494",26.302
"381","NGC4494",26.35
"382","NGC4494",26.369
"383","NGC4494",26.374
"384","NGC4494",26.394
"385","NGC4494",26.405
"386","NGC4494",26.411
"387","NGC4494",26.419
"388","NGC4494",26.428
"389","NGC4494",26.43
"390","NGC4494",26.437
"391","NGC4494",26.439
"392","NGC4494",26.455
"393","NGC4494",26.464
"394","NGC4494",26.475
"395","NGC4494",26.479
"396","NGC4494",26.48
"397","NGC4494",26.493
"398","NGC4494",26.497
"399","NGC4494",26.5
"400","NGC4494",26.503
"401","NGC4494",26.512
"402","NGC4494",26.53
"403","NGC4494",26.534
"404","NGC4494",26.539
"405","NGC4494",26.55
"406","NGC4494",26.551
"407","NGC4494",26.551
"408","NGC4494",26.562
"409","NGC4494",26.566
"410","NGC4494",26.569
"411","NGC4494",26.593
"412","NGC4494",26.607
"413","NGC4494",26.614
"414","NGC4494",26.616
"415","NGC4494",26.621
"416","NGC4494",26.63
"417","NGC4494",26.63
"418","NGC4494",26.632
"419","NGC4494",26.641
"420","NGC4494",26.643
"421","NGC4494",26.643
"422","NGC4494",26.659
"423","NGC4494",26.659
"424","NGC4494",26.666
"425","NGC4494",26.673
"426","NGC4494",26.68
"427","NGC4494",26.692
"428","NGC4494",26.697
"429","NGC4494",26.706
"430","NGC4494",26.721
"431","NGC4494",26.723
"432","NGC4494",26.723
"433","NGC4494",26.734
"434","NGC4494",26.741
"435","NGC4494",26.746
"436","NGC4494",26.75
"437","NGC4494",26.751
"438","NGC4494",26.762
"439","NGC4494",26.765
"440","NGC4494",26.777
"441","NGC4494",26.784
"442","NGC4494",26.784
"443","NGC4494",26.79
"444","NGC4494",26.796
"445","NGC4494",26.798
"446","NGC4494",26.81
"447","NGC4494",26.826
"448","NGC4494",26.828
"449","NGC4494",26.833
"450","NGC4494",26.833
"451","NGC4494",26.845
"452","NGC4494",26.848
"453","NGC4494",26.861
"454","NGC4494",26.881
"455","NGC4494",26.885
"456","NGC4494",26.908
"457","NGC4494",26.921
"458","NGC4494",26.932
"459","NGC4494",26.934
"460","NGC4494",26.94
"461","NGC4494",26.948
"462","NGC4494",26.953
"463","NGC4494",26.954
"464","NGC4494",26.97
"465","NGC4494",26.971
"466","NGC4494",26.976
"467","NGC4494",26.979
"468","NGC4494",26.98
"469","NGC4494",26.98
"470","NGC4494",26.982
"471","NGC4494",26.982
"472","NGC4494",26.982
"473","NGC4494",26.997
"474","NGC4382",26.215
"475","NGC4382",26.506
"476","NGC4382",26.542
"477","NGC4382",26.551
"478","NGC4382",26.553
"479","NGC4382",26.607
"480","NGC4382",26.612
"481","NGC4382",26.674
"482","NGC4382",26.687
"483","NGC4382",26.699
"484","NGC4382",26.703
"485","NGC4382",26.727
"486","NGC4382",26.74
"487","NGC4382",26.747
"488","NGC4382",26.765
"489","NGC4382",26.779
"490","NGC4382",26.79
"491","NGC4382",26.8
"492","NGC4382",26.807
"493","NGC4382",26.849
"494","NGC4382",26.882
"495","NGC4382",26.907
"496","NGC4382",26.922
"497","NGC4382",26.927
"498","NGC4382",26.931
"499","NGC4382",26.931
"500","NGC4382",26.936
"501","NGC4382",26.943
"502","NGC4382",26.961
"503","NGC4382",26.974
"504","NGC4382",26.974
"505","NGC4382",26.978
"506","NGC4382",26.988
"507","NGC4382",26.989
"508","NGC4382",26.998
"509","NGC4382",27.008
"510","NGC4382",27.01
"511","NGC4382",27.011
"512","NGC4382",27.012
"513","NGC4382",27.02
"514","NGC4382",27.024
"515","NGC4382",27.024
"516","NGC4382",27.027
"517","NGC4382",27.036
"518","NGC4382",27.042
"519","NGC4382",27.059
"520","NGC4382",27.069
"521","NGC4382",27.074
"522","NGC4382",27.077
"523","NGC4382",27.079
"524","NGC4382",27.102
"525","NGC4382",27.111
"526","NGC4382",27.112
"527","NGC4382",27.118
"528","NGC4382",27.121
"529","NGC4382",27.157
"530","NGC4382",27.161
"531","NGC4382",27.169
"532","NGC4382",27.179
