"","u_g","g_r","r_i","i_z","Class"
"1",-0.079,0.136,0.233,0.046,1
"2",0.033,0.255,0.454,0.3,1
"3",0.11,0.425,0.221,-0.158,1
"4",0.325,0.448,0.114,0.221,1
"5",0.22,0.049,0.189,0.04,1
"6",0.171,0.104,0.169,0.188,1
"7",0.266,-0.054,0.069,0.045,1
"8",-0.078,0.249,0.105,-0.233,1
"9",0.238,0.166,-0.04,0.084,1
"10",0.329,0.15,0.46,0.125,1
"11",0.118,0.044,0.165,-0.043,1
"12",0.162,0.064,0.334,0.079,1
"13",0.653,0.222,0.119,0.09,1
"14",0.429,0.459,-0.013,0.016,1
"15",0.272,0.053,0.217,0.032,1
"16",0.23,0.195,-0.091,-0.054,1
"17",0.347,0.076,-0.088,0.172,1
"18",0.764,0.521,0.033,0.038,1
"19",0.164,0.105,0.307,0.118,1
"20",0.466,0.451,0.053,0.028,1
"21",0.139,0.067,0.156,-0.126,1
"22",-0.051,0.41,0.039,-0.175,1
"23",0.366,-0.187,0.531,0.291,1
"24",0.128,0.19,-0.008,0.1,1
"25",0.195,0.034,0.22,0.166,1
"26",-0.22,0.313,0.111,-0.225,1
"27",0.203,0.209,0.042,0.097,1
"28",0.736,0.504,0.219,0.631,1
"29",0.331,0.148,0.206,0.219,1
"30",0.215,0.159,-0.008,0.065,1
"31",4.662,1.382,0.26,0.325,1
"32",0.631,0.598,0.139,0.574,1
"33",1.032,0.03,0.083,0.372,1
"34",3.966,1.792,0.312,0.414,1
"35",0.265,0.087,-0.014,-0.057,1
"36",1.044,0.053,-0.095,0.176,1
"37",0.311,0.391,0.213,-0.006,1
"38",0.369,0.271,0.114,0.024,1
"39",0.233,0.324,0.218,-0.014,1
"40",0.316,0.554,0.353,0.437,1
"41",0.564,0.114,0.018,0.214,1
"42",0.136,0.261,0.086,0.088,1
"43",-0.062,-0.015,0.33,0.112,1
"44",0.377,0.492,0.461,0.08,1
"45",0.294,0.364,0.086,0.58,1
"46",0.204,0.105,0.263,0.19,1
"47",0.482,-0.083,0.205,0.189,1
"48",0.315,0.315,0.281,0.225,1
"49",0.108,0.29,0.149,-0.083,1
"50",0.235,0.187,0.096,0.242,1
"51",0.34,0.016,0.154,-0.031,1
"52",0.536,0.126,0.295,0.074,1
"53",-0.159,0.305,0.122,0.054,1
"54",0.325,-0.022,0.148,0.4,1
"55",0.011,0.144,0.297,0.122,1
"56",0.224,0.144,0.049,-0.022,1
"57",0.48,0.152,0.252,0.297,1
"58",0.338,0.123,0.232,0.1,1
"59",0.106,0.254,0.285,0.19,1
"60",-0.246,0.304,0.062,-0.014,1
"61",0.089,0.212,-0.067,0.076,1
"62",0.295,0.045,0.26,0.105,1
"63",0.146,0.161,0.25,0.188,1
"64",0.102,0.275,0.111,-0.038,1
"65",0.271,-0.052,0.193,0.028,1
"66",0.026,-0.052,0.211,0.645,1
"67",3.228,0.965,0.112,-0.058,1
"68",0.138,0.282,0.366,-0.089,1
"69",-0.001,0.07,0.369,-0.157,1
"70",0.051,-0.067,0.241,0.013,1
"71",0.258,0.166,-0.078,0.053,1
"72",0.017,0.299,0.025,-0.041,1
"73",0.61,0.205,0.081,0.09,1
"74",0.198,0.281,-0.058,0.068,1
"75",0.045,0.113,0.06,0.552,1
"76",0.134,0.198,0.009,-0.055,1
"77",0.512,0.048,0.108,0.263,1
"78",0.162,0.255,0.018,-0.063,1
"79",0.24,0.291,0.11,-0.085,1
"80",0.387,0.261,0.081,0.222,1
"81",0.207,0.107,-0.101,0.14,1
"82",0.263,0.096,0.13,-0.03,1
"83",-0.068,-0.03,0.283,0.211,1
"84",-0.065,-0.003,0.059,0.18,1
"85",0.535,0.191,0.045,0.111,1
"86",0.209,0.15,0.085,-0.159,1
"87",0.093,0.466,0.044,-0.097,1
"88",0.663,0.185,0.334,0.07,1
"89",0.834,0.522,0.691,-0.059,1
"90",0.578,0.243,0.429,0.298,1
"91",0.193,0.25,-0.124,0.023,1
"92",1.147,0.261,0.123,-0.104,1
"93",0.118,0.042,0.292,0.115,1
"94",0.582,0.147,0.062,0.236,1
"95",0.256,0.031,0.234,-0.018,1
"96",0.392,0.56,0.16,-0.025,1
"97",-0.003,0.427,0.011,-0.08,1
"98",0.451,0.102,-0.025,0.273,1
"99",4.157,1.545,0.203,0.191,1
"100",0.44,0.117,-0.242,0.504,1
"101",0.224,0.083,0.036,0.607,1
"102",0.616,0.213,0.289,0.126,1
"103",0.065,0.417,0.079,-0.222,1
"104",3.204,1.083,0.121,0.097,1
"105",0.418,0.175,0.18,0.184,1
"106",0.309,0.077,-0.021,0.219,1
"107",0.59,0.204,0.281,0.238,1
"108",3.22,1.176,0.095,0.264,1
"109",0.164,0.283,0.351,-1.085,1
"110",5.331,1.178,0.061,0.251,1
"111",0.08,0.135,0.004,0.096,1
"112",0.239,0.387,0.087,0.12,1
"113",0.143,0.166,0.239,0.011,1
"114",0.005,0.229,0.205,-0.064,1
"115",0.578,0.37,0.407,0.047,1
"116",1.357,0.197,-0.022,0.092,1
"117",0.116,0.001,0.214,0.063,1
"118",0.31,0.133,0.128,-0.012,1
"119",0.087,0.105,0.283,-0.17,1
"120",0.792,0.137,-0.005,0.113,1
"121",0.9,0.291,0.295,0.384,1
"122",0.391,0.184,-0.038,0.191,1
"123",3.255,0.944,0.171,0.078,1
"124",0.074,0.001,0.065,0.312,1
"125",0.461,0.154,0.447,-0.186,1
"126",0.221,0.029,0.2,0.153,1
"127",0.272,0.139,0.245,0.095,1
"128",0.19,0.348,0.262,-0.071,1
"129",0.269,-0.055,0.447,0.446,1
"130",0.252,0.201,-0.068,0.293,1
"131",0.103,0.249,0.009,-0.173,1
"132",0.216,0.183,-0.037,0.32,1
"133",0.13,0.093,0.105,0.306,1
"134",0.255,0.596,0.164,0.485,1
"135",0.35,0.218,0.05,0.177,1
"136",0.071,0.151,0.002,-0.073,1
"137",0.187,0.264,0.147,0.102,1
"138",0.34,0.253,0.052,0.129,1
"139",0.62,0.081,0.064,0.224,1
"140",0.077,-0.06,0.208,0.139,1
"141",0.468,0.393,0.404,0.235,1
"142",0.08,0.173,-0.153,-0.145,1
"143",0.178,0.115,0.149,-0.056,1
"144",0.607,0.334,0.031,0.388,1
"145",0.032,-0.038,0.244,0.155,1
