"","RT","ID","shape","color"
"1",49,"1","round","monochromatic"
"2",47,"2","round","monochromatic"
"3",46,"3","round","monochromatic"
"4",47,"4","round","monochromatic"
"5",48,"5","round","monochromatic"
"6",47,"6","round","monochromatic"
"7",41,"7","round","monochromatic"
"8",46,"8","round","monochromatic"
"9",43,"9","round","monochromatic"
"10",47,"10","round","monochromatic"
"11",46,"11","round","monochromatic"
"12",45,"12","round","monochromatic"
"13",48,"1","square","monochromatic"
"14",46,"2","square","monochromatic"
"15",47,"3","square","monochromatic"
"16",45,"4","square","monochromatic"
"17",49,"5","square","monochromatic"
"18",44,"6","square","monochromatic"
"19",44,"7","square","monochromatic"
"20",45,"8","square","monochromatic"
"21",42,"9","square","monochromatic"
"22",45,"10","square","monochromatic"
"23",45,"11","square","monochromatic"
"24",40,"12","square","monochromatic"
"25",49,"1","round","color"
"26",46,"2","round","color"
"27",47,"3","round","color"
"28",45,"4","round","color"
"29",49,"5","round","color"
"30",45,"6","round","color"
"31",41,"7","round","color"
"32",43,"8","round","color"
"33",44,"9","round","color"
"34",46,"10","round","color"
"35",45,"11","round","color"
"36",40,"12","round","color"
"37",45,"1","square","color"
"38",43,"2","square","color"
"39",44,"3","square","color"
"40",45,"4","square","color"
"41",48,"5","square","color"
"42",46,"6","square","color"
"43",40,"7","square","color"
"44",45,"8","square","color"
"45",40,"9","square","color"
"46",45,"10","square","color"
"47",47,"11","square","color"
"48",40,"12","square","color"
