"","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","y"
"1",1069.5,672.192017,1.591,1.532,1593.875,879.125,446,183.375,94.625,46,16.375,2.125,0.036,0.077,0.141,0.239,0.329,0.447,0.669,0.902,2.371,1.308,0.664,0.273,0.141,0.068,0.024,0.003,6.505,6.358,6.33,1.118,10.062,10.223,383.375,209.5,111.5,67.5,37.875,29.875,21.375,15.125,19.025999,28.011999,33.463001,43.785,54.459,58.296001,67.874001,83.379997,0.849,0.681,18.711,2.885,1285.125,487.625,128.25,51,24,9.875,2.125,0,308.75,391.5,317.75,132.375,70.625,36.125,14.25,2.125,57.200001,511.645996,-1
"2",1131.75,723.656006,1.564,1.617,1768.75,1070.5,585.5,251.875,132.25,68.5,26.5,7.125,0.037,0.066,0.093,0.122,0.136,0.14,0.196,0.467,2.444,1.479,0.809,0.348,0.183,0.095,0.037,0.01,7.9,7.8,7.508,0.707,0.707,0.707,408.125,237.5,132,83.375,55.75,42.875,31.75,22.875,12.252,25.431,56.290001,87.075996,114.688004,115.348999,114.612,115.656998,1.002,0.822,22.158001,1.723,1415.125,614.5,197.25,65.875,29.5,13.75,2.5,0,353.625,456,388.25,186,102.75,54.75,24,7.125,60.345001,534.664001,-1
"3",1129.625,710.463989,1.59,1.576,1819.625,1150.375,613.25,223.75,104.375,50.125,24,7.25,0.046,0.076,0.123,0.195,0.224,0.316,0.341,0.497,2.561,1.619,0.863,0.315,0.147,0.071,0.034,0.01,8.021,7.261,6.431,0.866,7.399,7.681,344.125,186.625,102,59.875,35.25,27.375,18.125,14.125,13.688,13.39,11.42,18.249001,28.895,32.483002,22.541,23.396999,1.023,0.837,19.433001,7.191,1453.125,635.5,198.875,63.25,30,12.75,3.25,0,366.5,514.875,414.375,160.5,74.375,37.375,20.75,7.25,60.401001,559.690979,-1
"4",1139.125,719.90802,1.582,1.594,1802.875,1110.125,601.625,228,104.5,50.625,24.375,7.25,0.045,0.078,0.119,0.182,0.221,0.312,0.342,0.454,2.504,1.542,0.836,0.317,0.145,0.07,0.034,0.01,8.214,7.34,6.546,0.866,1.581,1.118,349.875,194.125,98,59.875,35,27.375,19.25,14.75,13.38,11.856,10.918,19.165001,29.131001,29.940001,25.822001,29.101999,1.066,0.846,19.716999,7.374,1451,630.375,196.875,63,29,12.125,3.125,0,351.875,479.75,404.75,165,75.5,38.5,21.25,7.25,60.401001,559.690979,-1
"5",1102,715.36499,1.54,1.633,1808.375,1089,589.125,231.375,103.125,50.375,21.375,7.875,0.048,0.089,0.139,0.169,0.174,0.241,0.297,0.377,2.528,1.522,0.824,0.323,0.144,0.07,0.03,0.011,8.096,7.835,7.796,0.707,1.225,0.707,358,207.125,108.5,68.625,40.375,33.125,22.375,18.25,27.009001,31.856001,29.761,28.936001,27.601999,36.311001,67.650002,74.433998,0.95,0.734,19.395,3.175,1459.375,641.625,213.125,70,31.375,11.625,2.875,0,349,447.375,376,161.375,71.75,38.75,18.5,7.875,57.508999,525.609009,-1
"6",1017.5,637.03302,1.597,1.486,1460.25,769.375,355.75,145.5,74.375,35,13.875,2.125,0.021,0.047,0.106,0.199,0.297,0.439,0.657,0.879,2.292,1.208,0.558,0.228,0.117,0.055,0.022,0.003,6.53,6.497,6.436,1.118,5.895,6.519,385.375,211.125,111.375,64.375,36.375,29.375,22.5,17.75,17.105,28.002001,37.632999,49.660999,59.452999,63.236,74.217003,93.192001,0.668,0.544,18.023001,3.002,1180.125,435.25,107,41.25,19.75,8.75,2,0,280.125,334.125,248.75,104.25,54.625,26.25,11.875,2.125,54.216,465.596985,-1
"7",1157.875,734.028992,1.577,1.615,1910.375,1243.75,669.5,263.75,121.25,56.75,24.5,7.625,0.035,0.057,0.087,0.094,0.121,0.238,0.313,0.504,2.603,1.694,0.912,0.359,0.165,0.077,0.033,0.01,8.002,7.337,7.22,1.118,0.866,0.707,330.125,190.375,105,62.25,39.375,31.125,19.75,15,15.74,16.834,12.813,12.902,18.523001,20.767,17.077,16.976,1.155,0.912,19.728001,6.106,1576.75,792.75,284.5,90.875,38.25,14.375,3.375,0,333.625,451,385,172.875,83,42.375,21.125,7.625,61.816002,569.661987,-1
"8",1132.625,728.65802,1.554,1.633,1756,981.375,517.625,235.375,126.125,64.375,26,6.25,0.047,0.094,0.164,0.252,0.322,0.367,0.374,0.266,2.41,1.347,0.71,0.323,0.173,0.088,0.036,0.009,7.883,7.249,6.384,0.866,7.263,7.141,436.625,253.5,126.75,76.25,42.5,37,26,22.375,17.823999,22.833,28.378,39.755001,37.347,35.625,40.921001,51.145,0.995,0.844,18.700001,3.353,1479.5,672.125,243.625,90,40.25,14,2.375,0,276.5,309.25,274,145.375,85.875,50.375,23.625,6.25,58.615002,521.617004,-1
"9",1059.75,700.776001,1.512,1.646,1741.125,1096.875,615.375,249.875,127.25,64.625,26.25,5.5,0.036,0.063,0.1,0.205,0.305,0.351,0.346,0.295,2.485,1.565,0.878,0.357,0.182,0.092,0.037,0.008,7.813,7.505,6.832,0.707,7.762,7.5,341.5,202,97,57.5,35.125,29.5,19.625,16.125,14.251,17.524,15.658,14.621,17.527,26.983,39.462002,51.998001,1.312,1.124,18.605,4.768,1423.125,670.25,256.125,91.75,42.125,15,2.625,0,318,426.625,359.25,158.125,85.125,49.625,23.625,5.5,54.361,506.002014,-1
"10",1090.25,711.504028,1.532,1.637,1843.875,1221.5,702.25,272,126.625,63.625,25.75,6.25,0.033,0.057,0.086,0.178,0.329,0.372,0.367,0.27,2.592,1.717,0.987,0.382,0.178,0.089,0.036,0.009,7.892,7.248,6.378,0.866,7.263,7.141,319.25,189.375,97.375,56.625,36.25,31.375,22.625,18.125,20.855,26.047001,20.996,21.486,20.052999,24.813,28.576,34.853001,1.3,1.124,17.427,3.591,1507.5,724.875,272.125,95.25,43.5,15.75,2.75,0,336.375,496.625,430.125,176.75,83.125,47.875,23,6.25,56.289001,540.447021,-1
"11",1070.375,706.866028,1.514,1.651,1632.25,921.125,505,232,126.375,64.375,26.5,5.875,0.048,0.094,0.152,0.228,0.287,0.327,0.317,0.302,2.309,1.303,0.714,0.328,0.179,0.091,0.037,0.008,7.827,7.519,6.846,0.707,7.762,7.5,390.125,213.25,105.75,63.125,36,30.625,19.375,16.125,11.408,12.495,8.345,14.611,11.98,12.961,34.612,42.355999,1.195,1.02,19.163,9.606,1369.375,630.375,244,90,40,14.25,2.375,0,262.875,290.75,261,142,86.375,50.125,24.125,5.875,54.268002,485.584015,-1
"12",1103.75,720.911987,1.531,1.649,1670.375,928.375,509.75,233.25,125.75,64.625,26.375,6.25,0.051,0.101,0.162,0.244,0.31,0.353,0.353,0.277,2.317,1.288,0.707,0.324,0.174,0.09,0.037,0.009,7.897,7.259,6.392,0.866,7.263,7.141,404.625,205.875,110.375,65.625,37.375,33.25,23,18.375,10.116,13.544,9.717,16.787001,14.523,13.252,21.268999,22.082001,1.139,0.985,18.083,8.6,1405.5,642.25,246.25,90.625,40.875,14.375,2.375,0,264.875,286.125,263.5,142.625,84.875,50.25,24,6.25,56.103001,499.610992,-1
"13",1119.5,732.049988,1.529,1.664,1875.625,1201,686.5,290.375,141.125,64.375,25.625,6.5,0.032,0.055,0.087,0.149,0.258,0.397,0.388,0.229,2.562,1.641,0.938,0.397,0.193,0.088,0.035,0.009,7.979,7.848,6.506,0.866,3.5,3.536,332.125,195,98.875,63.75,38.25,32.375,22.25,17.375,20.233,26.413,20.663,15.171,14.069,19.563999,41.098,52.637001,1.427,1.01,18.436001,3.485,1536,738.25,270.5,92.875,41.25,15,3.125,0.125,339.625,462.75,416,197.5,99.875,49.375,22.5,6.375,56.244999,530.580994,-1
"14",1132.5,736.411011,1.538,1.659,1706.75,950.375,514.5,231.625,126.25,63.75,26.375,6.375,0.05,0.1,0.164,0.253,0.319,0.358,0.328,0.29,2.318,1.291,0.699,0.315,0.171,0.087,0.036,0.009,7.785,7.522,7.235,0.866,7.583,7.697,426.875,222.875,118.375,69.375,41.875,36.5,27.25,20.375,12.643,12.985,20.611,30.018999,33.817001,37.665001,35.174999,26.222,1.067,0.919,21.02,4.382,1440.125,654.375,251.125,89.5,40,13.5,3.125,0,266.625,296,263.375,142.125,86.25,50.25,23.25,6.375,57.580002,514.625977,-1
"15",1153.125,727.723999,1.585,1.601,1767.75,1004,497.25,222.375,121.375,63.875,28.25,9,0.048,0.096,0.173,0.279,0.368,0.462,0.548,0.434,2.429,1.38,0.683,0.306,0.167,0.088,0.039,0.012,7.763,7.676,7.568,0.707,4.743,4.301,433,257.125,139.5,83.875,47.125,38.5,24.625,17.875,20.778,26.476999,27.437,33.429001,41.153,44.346001,57.448002,68.052002,0.87,0.762,20.659,3.706,1472.5,663,221.5,77.75,34.625,13.25,3,0,295.25,341,275.75,144.625,86.75,50.625,25.25,9,59.25,534.616028,-1
"16",1142.625,746.90802,1.53,1.68,1845.5,1097.625,580.375,242.625,126.25,64.625,26.625,6.25,0.051,0.096,0.16,0.241,0.303,0.346,0.329,0.272,2.471,1.47,0.777,0.325,0.169,0.087,0.036,0.008,7.84,7.53,6.854,0.707,7.762,7.5,396.125,238.125,122,75.75,46.625,38,26.375,21.375,27.537001,33.530998,37.265999,42.005001,40.571999,48.388,44.542999,51.727001,1.035,0.853,20.794001,2.542,1525.625,703,255.125,91.375,41.625,15,2.875,0,319.875,394.625,325.25,151.25,84.625,49.625,23.75,6.25,58.523998,539.606995,-1
"17",1067.25,711.275024,1.5,1.671,1617.375,839.875,405,182,94.375,43.375,19.625,5.625,0.017,0.035,0.067,0.1,0.127,0.136,0.156,0.14,2.274,1.181,0.569,0.256,0.133,0.061,0.028,0.008,7.657,6.734,6.727,1.118,7.036,7.665,449.875,254.875,130,75,41.375,35.125,25,20.625,3.122,1.945,14.575,26.514999,29.881001,28.632999,23.226,28.923,0.726,0.578,20.052999,8.243,1306,496.5,135.625,46.5,21.25,8.625,2.5,0,311.375,343.375,269.375,135.5,73.125,34.75,17.125,5.625,52.938999,481.552002,-1
"18",983.625,642.658997,1.531,1.557,1472.25,724.75,321.125,122.125,60,30.875,13.75,3.125,0.005,0.007,0.025,0.101,0.197,0.358,0.476,0.761,2.291,1.128,0.5,0.19,0.093,0.048,0.021,0.005,7.215,6.814,6.513,0.707,3.742,3.536,434.75,239.625,119.625,74.125,44.125,35.5,25.125,20.75,5.739,11.363,16.315001,24.360001,32.321999,31.454,38.616001,39.403,0.502,0.417,18.171,9.199,1204.25,470.125,156.125,50.875,20.25,6.625,2,0,268,254.625,165,71.25,39.75,24.25,11.75,3.125,50.546001,437.542999,-1
"19",1038.375,651.882996,1.593,1.507,1414.5,705.875,322.5,143,79.375,44.375,18.875,3.375,0.018,0.043,0.086,0.14,0.195,0.267,0.365,0.631,2.17,1.083,0.495,0.219,0.122,0.068,0.029,0.005,7.123,7.043,6.265,1,6.819,6.285,370.5,205,104.5,59.375,33.125,26.125,18.5,14.25,15.525,23.871,29.622,42.139,58.582001,59.598,71.287003,79.833,0.76,0.747,18.726,3.334,1156.5,428.375,107.625,44.375,21.5,8.75,2.625,0,258,277.5,214.875,98.625,57.875,35.625,16.25,3.375,54.853001,481.596008,-1
"20",1121.25,720.846008,1.555,1.623,1766.5,1147.625,666.125,305,163,84.75,36,8.875,0.036,0.06,0.086,0.125,0.152,0.18,0.218,0.335,2.451,1.592,0.924,0.423,0.226,0.118,0.05,0.012,8.048,7.352,6.546,0.866,1.581,1.118,323.5,174.5,99.25,58.875,37.625,30.375,21.5,16.625,11.25,15.179,19.927999,26.926001,42.341,38.699001,30.365,29.68,1.642,1.439,20.653999,3.175,1410.625,675.5,262.375,95.75,44.25,18.5,4.5,0,355.875,472.125,403.75,209.25,118.75,66.25,31.5,8.875,59.957001,540.66803,-1
"21",1060.5,655.262024,1.618,1.487,1427.125,697.625,307.875,130.25,71.625,38.375,16.375,2.375,0.018,0.043,0.084,0.137,0.187,0.272,0.402,0.759,2.178,1.065,0.47,0.199,0.109,0.059,0.025,0.004,6.703,6.16,6.007,2.449,1.5,2.291,417.75,218.5,113.125,58.625,34.5,27.25,19,14.5,11.62,22.128,27.966,43.103001,55.106998,59.152,69.654999,81.674004,0.633,0.655,17.882999,3.962,1188.5,437.75,108.5,44.75,20.625,8.625,2,0,238.625,259.875,199.375,85.5,51,29.75,14.375,2.375,57.402,494.639008,-1
"22",1124.25,712.66803,1.578,1.591,1828.125,1162.25,671.75,272.875,125.125,58.875,26.375,7.25,0.028,0.047,0.058,0.082,0.171,0.313,0.341,0.508,2.565,1.631,0.943,0.383,0.176,0.083,0.037,0.01,8.059,7.665,6.468,1.225,7.483,7.583,325.75,183.875,98.5,62.125,38.5,30.875,22.25,17.625,10.265,10.522,14.581,22.351999,28.969,29.639,42.058998,45.444,1.27,0.948,20.434999,5.231,1460.25,645.625,206.5,67.5,31.75,13.125,3,0,367.875,516.625,465.25,205.375,93.375,45.75,23.375,7.25,59.761002,555.638977,-1
"23",1015.25,648.349976,1.566,1.529,1670.25,1019.75,578.375,228.75,104.75,50.25,22.75,7.125,0.048,0.087,0.117,0.142,0.185,0.32,0.363,0.542,2.576,1.573,0.892,0.353,0.162,0.078,0.035,0.011,7.96,7.958,7.775,0.866,1.5,0.707,305.125,157.5,80.875,51.375,29.5,23.625,17,12.375,11.19,9.529,18.343,34.318001,58.276001,59.631001,62.332001,71.691002,1.295,0.978,20.063999,3.67,1331.375,591.875,206.375,69.5,31,13.5,2.875,0,338.875,427.875,372,159.25,73.75,36.75,19.875,7.125,51.519001,477.565002,-1
"24",1195.5,768.169983,1.556,1.675,1895.5,1269,738.5,289,135.875,69.75,28.75,8.625,0.022,0.036,0.043,0.063,0.152,0.17,0.261,0.417,2.468,1.652,0.961,0.376,0.177,0.091,0.037,0.011,7.992,7.25,6.43,0.866,7.583,7.762,295.25,165.125,89.25,54.125,34.625,28,20,15.125,20.909,28.278,30.575001,39.897999,48.880001,49.476002,49.359001,48.626999,1.522,1.289,21.243999,2.128,1492.875,638.5,210.625,68.25,32.375,13.875,3.75,0,402.625,630.5,527.875,220.75,103.5,55.875,25,8.625,64.820999,608.570007,-1
"25",1163.375,749.697021,1.552,1.659,1817.5,1181.75,672.5,264.25,132.375,67.375,27,7.375,0.015,0.026,0.032,0.092,0.154,0.179,0.289,0.539,2.424,1.576,0.897,0.352,0.177,0.09,0.036,0.01,7.99,7.25,6.319,0.866,7.399,7.681,304,168.125,89.125,52.75,32.625,26.5,18.625,14.375,18.249001,25.993999,30.318001,39.624001,46.300999,45.924,42.817001,45.416,1.485,1.277,21.200001,2.145,1421.875,603.875,194.75,65.5,31,13.375,3.375,0,395.625,577.875,477.75,198.75,101.375,54,23.625,7.375,62.893002,574.125,-1
"26",1120.875,712.379028,1.573,1.595,1876.375,1255.5,763.125,322.375,154.5,72.375,30.875,8.125,0.022,0.036,0.058,0.132,0.26,0.395,0.39,0.472,2.634,1.762,1.071,0.453,0.217,0.102,0.043,0.011,8.047,7.653,6.651,1.225,1.581,1.225,293.625,159.5,90.625,62.125,41.25,33,25,20.875,10.881,12.763,9.817,18.524,33.123001,38.060001,65.509003,79.343002,1.705,1.165,20.541,6.755,2360.75,937.625,297.375,81.25,37.75,15.75,4.5,0.375,-484.375,317.875,465.75,241.125,116.75,56.625,26.375,7.75,NA,559.630981,-1
"27",981,643.234985,1.525,1.564,1865.625,1421.5,829.5,279.125,108.875,51.25,18.75,4.625,0.037,0.052,0.092,0.315,0.695,0.897,1.158,0.769,2.9,2.21,1.29,0.434,0.169,0.08,0.029,0.007,10.428,8.4,5.789,0.866,6.964,6.576,152.25,91.5,61.25,43.75,32,24.375,18.625,14.625,22.346001,32.813999,41.042999,47.949001,57.063999,65.736,67.833,70.023003,1.778,1.171,16.120001,1.425,1294.5,572.5,194,57.375,22.25,8.375,2.25,0,571.125,849,635.5,221.75,86.625,42.875,16.5,4.625,44.402,534.432007,-1
"28",1147.625,728.796997,1.575,1.612,1921.5,1290.25,725.5,291.875,136.375,63.375,28.125,7.5,0.028,0.045,0.057,0.034,0.086,0.2,0.239,0.513,2.637,1.77,0.995,0.4,0.187,0.087,0.039,0.01,8.004,7.257,6.364,0.866,7.399,7.681,300,175.875,96.25,59.25,37.25,30,19.25,15.125,14.195,14.815,11.081,20.849001,22.034,24.25,19.288,17.601,1.417,1.07,20.111,6.147,1590.25,797.875,290.375,93.75,40.125,15.375,3.5,0,331.25,492.375,435.125,198.125,96.25,48,24.625,7.5,61.106998,570.650024,-1
