"","V1","V2","V3","V4"
"1",247.32,221.14,186.45,168.02
"2",245.19,211.93,183.44,168.66
"3",236.81,206.79,180.65,166.3
"4",229.46,202.55,177.83,165.05
"5",224.41,198.46,175.68,163.56
"6",219.52,195.27,173.68,162.36
"7",215.44,192.37,171.98,161.23
"8",211.87,189.88,170.45,160.24
"9",208.69,187.66,169.09,159.33
"10",205.87,185.68,167.87,158.5
"11",203.33,183.9,166.76,157.75
"12",201.04,182.28,165.75,157.06
"13",198.96,180.81,164.83,156.43
"14",197.05,179.46,163.98,155.84
"15",195.29,178.22,163.2,155.29
"16",193.67,177.08,162.47,154.78
"17",192.17,176.01,161.79,154.31
"18",190.78,175.02,161.16,153.86
"19",189.47,174.1,160.56,153.44
"20",188.25,173.23,160.01,153.05
"21",187.11,172.41,159.48,152.68
"22",186.03,171.64,158.99,152.32
"23",185.01,170.92,158.52,151.99
"24",184.05,170.23,158.07,151.67
"25",183.14,169.58,157.65,151.37
"26",182.28,168.96,157.25,151.08
"27",181.45,168.38,156.87,150.8
"28",177.88,165.81,155.19,149.59
"29",174.99,163.73,153.82,148.6
"30",172.58,162,152.68,147.76
"31",170.54,160.53,151.7,147.05
"32",163.6,155.49,148.34,144.56
"33",159.45,152.46,146.29,143.03
"34",154.51,148.84,143.83,141.18
"35",151.56,146.67,142.35,140.06
"36",148.06,144.09,140.57,138.71
"37",145.96,142.54,139.5,137.89
"38",144.54,141.48,138.77,137.33
"39",143.48,140.7,138.23,136.91
"40",142.66,140.09,137.8,136.59
"41",142,139.6,137.46,136.33
"42",141.45,139.19,137.18,136.11
"43",140.99,138.84,136.94,135.92
