"","year","sqrt.mayflies"
"1",1989,0
"2",1989,3
"3",1989,1
"4",1989,3.16227766016838
"5",1989,6
"6",1990,5.09901951359278
"7",1990,2
"8",1990,1.73205080756888
"9",1990,4.58257569495584
"10",1990,3.60555127546399
"11",1991,6.40312423743285
"12",1991,2.82842712474619
"13",1991,6.70820393249937
"14",1991,4.58257569495584
"15",1991,5.19615242270663
"16",1992,7.21110255092798
"17",1992,6.40312423743285
"18",1992,4.24264068711928
"19",1992,5.8309518948453
"20",1992,4.35889894354067
"21",1993,3.46410161513775
"22",1993,6.92820323027551
"23",1993,7
"24",1993,8.18535277187245
"25",1993,7.41619848709566
"26",1994,8.54400374531753
"27",1994,6.08276253029822
"28",1994,11.3137084989848
"29",1994,11.4891252930761
"30",1994,8.66025403784439
"31",1995,12.7279220613579
"32",1995,12.4498995979887
"33",1995,10.4403065089106
"34",1995,7.48331477354788
"35",1995,9.8488578017961
"36",1996,12
"37",1996,8.30662386291807
"38",1996,8.54400374531753
"39",1996,7.93725393319377
"40",1996,10.770329614269
"41",1997,12.2882057274445
"42",1997,13.228756555323
"43",1997,14.456832294801
"44",1997,12.2065556157337
"45",1997,10.5830052442584
"46",1998,8.60232526704263
"47",1998,11.4455231422596
"48",1998,8.48528137423857
"49",1998,9.48683298050514
"50",1998,12.8062484748657
"51",1999,12.2882057274445
"52",1999,14.9331845230681
"53",1999,9.32737905308882
"54",1999,15.0996688705415
"55",1999,11.0453610171873
"56",2000,9.4339811320566
"57",2000,12.6885775404495
"58",2000,8.71779788708135
"59",2000,6.32455532033676
"60",2000,7.41619848709566
"61",2001,11.8743420870379
"62",2001,9.38083151964686
"63",2001,13.076696830622
"64",2001,14.9666295470958
"65",2001,13.7113092008021
"66",2002,8.60232526704263
"67",2002,12.2065556157337
"68",2002,14.8996644257513
"69",2002,9.21954445729289
"70",2002,9.38083151964686
"71",2003,7.41619848709566
"72",2003,6.70820393249937
"73",2003,10.1488915650922
"74",2003,7.6811457478686
"75",2003,6.32455532033676
"76",2004,7.87400787401181
"77",2004,11.2694276695846
"78",2004,10.1980390271856
"79",2004,8.24621125123532
"80",2004,9.32737905308882
"81",2005,8.48528137423857
"82",2005,12
"83",2005,10.5830052442584
"84",2005,9.53939201416946
"85",2005,12.9614813968157
"86",2006,11.6619037896906
"87",2006,10.5356537528527
"88",2006,12.9614813968157
"89",2006,11.6189500386223
"90",2006,10.3440804327886
