"","pos","treat","nitrogen","potash","yield"
"1","1","A","0","0",317.5
"2","1","B","0","1",363
"3","1","C","0","2",368
"4","1","D","0","4",381.5
"5","1","E","1","0",314
"6","1","F","1","1",383
"7","1","G","1","2",434.5
"8","1","H","1","4",447.5
"9","1","J","2","0",302.5
"10","1","K","2","1",444.5
"11","1","L","2","2",471.5
"12","1","M","2","4",449
"13","1","N","4","0",332
"14","1","O","4","1",450
"15","1","P","4","2",527
"16","1","Q","4","4",568
"17","2","A","0","0",404.5
"18","2","B","0","1",308
"19","2","C","0","2",356
"20","2","D","0","4",439
"21","2","E","1","0",318
"22","2","F","1","1",434
"23","2","G","1","2",402
"24","2","H","1","4",422
"25","2","J","2","0",456
"26","2","K","2","1",544.5
"27","2","L","2","2",483.5
"28","2","M","2","4",504
"29","2","N","4","0",468
"30","2","O","4","1",533.5
"31","2","P","4","2",500
"32","2","Q","4","4",561.5
"33","3","A","0","0",351.5
"34","3","B","0","1",367.5
"35","3","C","0","2",383.5
"36","3","D","0","4",316
"37","3","E","1","0",357.5
"38","3","F","1","1",381.5
"39","3","G","1","2",455.5
"40","3","H","1","4",354
"41","3","J","2","0",443
"42","3","K","2","1",472.5
"43","3","L","2","2",495.5
"44","3","M","2","4",474.5
"45","3","N","4","0",385.5
"46","3","O","4","1",502.5
"47","3","P","4","2",496.5
"48","3","Q","4","4",531
"49","4","A","0","0",325
"50","4","B","0","1",359
"51","4","C","0","2",328.5
"52","4","D","0","4",259
"53","4","E","1","0",395.5
"54","4","F","1","1",410.5
"55","4","G","1","2",351.5
"56","4","H","1","4",390.5
"57","4","J","2","0",483
"58","4","K","2","1",430
"59","4","L","2","2",394.5
"60","4","M","2","4",444
"61","4","N","4","0",522
"62","4","O","4","1",512
"63","4","P","4","2",559
"64","4","Q","4","4",550
