"","name","country.etc","pop","lat","long","capital"
"1","Abilene TX","TX",113888,32.45,-99.74,0
"2","Akron OH","OH",206634,41.08,-81.52,0
"3","Alameda CA","CA",70069,37.77,-122.26,0
"4","Albany GA","GA",75510,31.58,-84.18,0
"5","Albany NY","NY",93576,42.67,-73.8,2
"6","Albany OR","OR",45535,44.62,-123.09,0
"7","Albuquerque NM","NM",494962,35.12,-106.62,0
"8","Alexandria LA","LA",44933,31.29,-92.46,0
"9","Alexandria VA","VA",127159,38.82,-77.09,0
"10","Alhambra CA","CA",88857,34.08,-118.13,0
"11","Aliso Viejo CA","CA",41975,33.57,-117.73,0
"12","Allen TX","TX",84467,33.11,-96.67,0
"13","Allentown PA","PA",105224,40.6,-75.48,0
"14","Aloha OR","OR",45531,45.49,-122.87,0
"15","Altadena CA","CA",43280,34.19,-118.13,0
"16","Altamonte Springs FL","FL",40712,28.66,-81.4,0
"17","Altoona PA","PA",46442,40.51,-78.4,0
"18","Amarillo TX","TX",183295,35.2,-101.82,0
"19","Ames IA","IA",57683,42.02,-93.63,0
"20","Anaheim CA","CA",334909,33.84,-117.87,0
"21","Anchorage AK","AK",279428,61.18,-149.19,0
"22","Anderson IN","IN",57036,40.09,-85.69,0
"23","Andover MA","MA",67715,42.65,-71.14,0
"24","Ann Arbor MI","MI",113716,42.28,-83.73,0
"25","Annandale VA","VA",57942,38.83,-77.21,0
"26","Annapolis MD","MD",36300,38.98,-76.49,2
"27","Antioch CA","CA",109485,37.99,-121.8,0
"28","Apple Valley CA","CA",66361,34.53,-117.21,0
"29","Apple Valley MN","MN",51609,44.75,-93.2,0
"30","Appleton WI","WI",70090,44.27,-88.4,0
"31","Arcadia CA","CA",57429,34.13,-118.04,0
"32","Arden-Arcade CA","CA",99968,38.6,-121.38,0
"33","Arlington Heights IL","IL",74763,42.09,-87.98,0
"34","Arlington MA","MA",41246,42.42,-71.16,0
"35","Arlington TX","TX",374729,32.69,-97.13,0
"36","Arlington VA","VA",184603,38.88,-77.1,0
"37","Arvada CO","CO",101633,39.82,-105.11,0
"38","Asheville NC","NC",68654,35.57,-82.55,0
"39","Aspen Hill MD","MD",54029,39.09,-77.08,0
"40","Athens-Clarke GA","GA",103618,33.95,-83.39,0
"41","Atlanta GA","GA",424096,33.76,-84.42,2
"42","Atlantic City NJ","NJ",40529,39.38,-74.45,0
"43","Attleboro MA","MA",44690,41.93,-71.3,0
"44","Auburn AL","AL",51236,32.59,-85.48,0
"45","Auburn WA","WA",46108,47.3,-122.21,0
"46","Augusta ME","ME",18626,44.32,-69.77,2
"47","Augusta-Richmond GA","GA",192376,33.46,-81.99,0
"48","Aurora CO","CO",304641,39.71,-104.73,0
"49","Aurora IL","IL",181120,41.77,-88.29,0
"50","Austin TX","TX",683404,30.31,-97.75,2
"51","Avondale AZ","AZ",79125,33.42,-112.32,0
"52","Azusa CA","CA",48992,34.14,-117.91,0
"53","Bakersfield CA","CA",301775,35.36,-119,0
"54","Baldwin Park CA","CA",81467,34.08,-117.97,0
"55","Baltimore MD","MD",602658,39.3,-76.61,0
"56","Barnstable Town MA","MA",49598,41.7,-70.3,0
"57","Bartlett TN","TN",43852,35.22,-89.84,0
"58","Baton Rouge LA","LA",222217,30.45,-91.13,2
"59","Battle Creek MI","MI",54179,42.3,-85.23,0
"60","Bayonne NJ","NJ",59482,40.66,-74.11,0
"61","Baytown TX","TX",67487,29.75,-94.97,0
"62","Beaumont TX","TX",110949,30.09,-94.14,0
"63","Beavercreek OH","OH",41297,39.73,-84.06,0
"64","Beaverton OR","OR",83920,45.48,-122.82,0
"65","Bedford TX","TX",49572,32.85,-97.13,0
"66","Bel Air South MD","MD",50874,39.5,-76.32,0
"67","Bell Gardens CA","CA",46504,33.97,-118.15,0
"68","Belleville IL","IL",40745,38.53,-90,0
"69","Bellevue NE","NE",48894,41.16,-95.92,0
"70","Bellevue WA","WA",111896,47.6,-122.16,0
"71","Bellflower CA","CA",76437,33.89,-118.13,0
"72","Bellingham WA","WA",74770,48.74,-122.47,0
"73","Bend OR","OR",68945,44.07,-121.31,0
"74","Berkeley CA","CA",99653,37.87,-122.27,0
"75","Berwyn IL","IL",50904,41.84,-87.79,0
"76","Bethesda MD","MD",52217,38.99,-77.12,0
"77","Bethlehem PA","PA",74087,40.63,-75.37,0
"78","Beverly MA","MA",40441,42.56,-70.84,0
"79","Billerica MA","MA",40063,42.56,-71.26,0
"80","Billings MT","MT",101249,45.79,-108.54,0
"81","Biloxi MS","MS",47110,30.41,-88.93,0
"82","Binghamton NY","NY",45070,42.1,-75.91,0
"83","Birmingham AL","AL",229300,33.53,-86.8,0
"84","Bismarck ND","ND",56927,46.81,-100.77,2
"85","Blacksburg VA","VA",40303,37.23,-80.43,0
"86","Blaine MN","MN",56140,45.17,-93.21,0
"87","Bloomfield NJ","NJ",49358,40.81,-74.19,0
"88","Bloomfield Township MI","MI",43032,42.58,-83.27,0
"89","Bloomington IL","IL",71804,40.48,-88.97,0
"90","Bloomington IN","IN",71260,39.17,-86.52,0
"91","Bloomington MN","MN",80627,44.83,-93.32,0
"92","Blue Springs MO","MO",50116,39.02,-94.27,0
"93","Boca Raton FL","FL",81868,26.37,-80.11,0
"94","Boise ID","ID",193628,43.61,-116.23,2
"95","Bolingbrook IL","IL",76994,41.7,-88.08,0
"96","Bonita Springs FL","FL",43842,26.34,-81.79,0
"97","Bossier City LA","LA",60142,32.52,-93.66,0
"98","Boston MA","MA",567759,42.34,-71.02,2
"99","Boulder CO","CO",90957,40.03,-105.25,0
"100","Bountiful UT","UT",41622,40.88,-111.87,0
"101","Bourne MA","MA",48580,41.74,-70.61,0
"102","Bowie MD","MD",56949,38.96,-76.74,0
"103","Bowling Green KY","KY",51999,36.97,-86.44,0
"104","Boynton Beach FL","FL",67720,26.53,-80.08,0
"105","Bradenton FL","FL",55606,27.49,-82.58,0
"106","Brandon FL","FL",92728,27.93,-82.29,0
"107","Brea CA","CA",40349,33.92,-117.87,0
"108","Bremerton WA","WA",45306,47.55,-122.7,0
"109","Brentwood CA","CA",52747,37.93,-121.71,0
"110","Brentwood NY","NY",58954,40.78,-73.25,0
"111","Brewster MA","MA",52153,41.77,-70.08,0
"112","Brick NJ","NJ",82400,40.06,-74.11,0
"113","Bridgeport CT","CT",138901,41.19,-73.2,0
"114","Bridgewater MA","MA",50237,41.99,-70.97,0
"115","Bristol CT","CT",61166,41.68,-72.94,0
"116","Brockton MA","MA",94945,42.08,-71.03,0
"117","Broken Arrow OK","OK",86817,36.04,-95.79,0
"118","Brookfield WI","WI",40323,43.06,-88.12,0
"119","Brookline MA","MA",55862,42.32,-71.14,0
"120","Brooklyn Park MN","MN",67660,45.11,-93.35,0
"121","Broomfield CO","CO",45869,39.94,-105.06,0
"122","Brownsville TX","TX",174135,25.93,-97.48,0
"123","Bryan TX","TX",70386,30.67,-96.37,0
"124","Buena Park CA","CA",79388,33.86,-118,0
"125","Buffalo Grove IL","IL",43355,42.17,-87.96,0
"126","Buffalo NY","NY",276762,42.89,-78.86,0
"127","Burbank CA","CA",105515,34.19,-118.33,0
"128","Burke VA","VA",58270,38.78,-77.27,0
"129","Burlington NC","NC",47290,36.08,-79.45,0
"130","Burnsville MN","MN",59357,44.76,-93.28,0
"131","Camarillo CA","CA",63560,34.22,-119.03,0
"132","Cambridge MA","MA",101342,42.38,-71.12,0
"133","Camden NJ","NJ",80393,39.94,-75.11,0
"134","Canton MI","MI",89064,42.31,-83.48,0
"135","Canton OH","OH",77575,40.81,-81.37,0
"136","Cape Coral FL","FL",137134,26.64,-82,0
"137","Carlsbad CA","CA",93848,33.12,-117.29,0
"138","Carmel IN","IN",49188,39.97,-86.11,0
"139","Carmichael CA","CA",51165,38.63,-121.32,0
"140","Carol City FL","FL",63659,25.94,-80.27,0
"141","Carol Stream IL","IL",39749,41.92,-88.13,0
"142","Carrollton TX","TX",123154,32.99,-96.9,0
"143","Carson CA","CA",96933,33.84,-118.26,0
"144","Carson City NV","NV",58350,39.15,-119.74,2
"145","Cary NC","NC",106117,35.78,-78.8,0
"146","Casas Adobes AZ","AZ",84988,32.32,-110.99,0
"147","Casper WY","WY",51808,42.83,-106.33,0
"148","Castle Rock CO","CO",43905,39.38,-104.85,0
"149","Castro Valley CA","CA",63908,37.71,-122.06,0
"150","Catalina Foothills AZ","AZ",84369,32.3,-110.92,0
"151","Cathedral City CA","CA",55253,33.83,-116.46,0
"152","Catonsville MD","MD",43406,39.26,-76.74,0
"153","Cedar Hill TX","TX",46869,32.58,-96.96,0
"154","Cedar Park TX","TX",58499,30.51,-97.83,0
"155","Cedar Rapids IA","IA",123243,41.97,-91.67,0
"156","Centennial CO","CO",95961,39.6,-104.85,0
"157","Centreville VA","VA",69167,38.85,-77.44,0
"158","Ceres CA","CA",41223,37.6,-120.96,0
"159","Cerritos CA","CA",53616,33.87,-118.07,0
"160","Champaign IL","IL",76999,40.11,-88.26,0
"161","Chandler AZ","AZ",247915,33.3,-111.87,0
"162","Chantilly VA","VA",50103,38.88,-77.41,0
"163","Chapel Hill NC","NC",47613,35.93,-79.04,0
"164","Charleston SC","SC",106372,32.79,-79.99,0
"165","Charleston WV","WV",49804,38.35,-81.63,2
"166","Charlotte NC","NC",607111,35.2,-80.83,0
"167","Chattanooga TN","TN",153617,35.07,-85.26,0
"168","Cheektowaga NY","NY",76785,42.91,-78.75,0
"169","Cherry Hill PA","PA",70489,39.9,-75,0
"170","Chesapeake VA","VA",223222,36.68,-76.31,0
"171","Chesterfield MO","MO",47202,38.65,-90.58,0
"172","Cheyenne WY","WY",55833,41.15,-104.79,2
"173","Chicago IL","IL",2830144,41.84,-87.68,0
"174","Chico CA","CA",71997,39.75,-121.81,0
"175","Chicopee MA","MA",55222,42.18,-72.57,0
"176","Chino CA","CA",77147,34.01,-117.69,0
"177","Chino Hills CA","CA",80817,33.97,-117.75,0
"178","Chula Vista CA","CA",221736,32.63,-117.04,0
"179","Cicero IL","IL",80414,41.84,-87.76,0
"180","Cincinnati OH","OH",301561,39.14,-84.51,0
"181","Citrus Heights CA","CA",90277,38.69,-121.29,0
"182","Clarksville TN","TN",113379,36.56,-87.35,0
"183","Clearwater FL","FL",107866,27.98,-82.77,0
"184","Cleveland Heights OH","OH",47123,41.51,-81.56,0
"185","Cleveland OH","OH",443949,41.48,-81.68,0
"186","Clifton NJ","NJ",80446,40.86,-74.16,0
"187","Clinton MI","MI",100517,42.59,-82.92,0
"188","Clovis CA","CA",90115,36.82,-119.7,0
"189","Coconut Creek FL","FL",51848,26.28,-80.18,0
"190","Coeur d'Alene ID","ID",40270,47.7,-116.78,0
"191","College Station TX","TX",80627,30.6,-96.31,0
"192","Colorado Springs CO","CO",375744,38.86,-104.76,0
"193","Colton CA","CA",53281,34.06,-117.32,0
"194","Columbia MD","MD",97772,39.2,-76.86,0
"195","Columbia MO","MO",92756,38.95,-92.33,0
"196","Columbia SC","SC",118020,34.04,-80.89,2
"197","Columbus GA","GA",184900,32.51,-84.87,0
"198","Columbus IN","IN",39453,39.21,-85.91,0
"199","Columbus OH","OH",741677,39.99,-82.99,2
"200","Compton CA","CA",97338,33.89,-118.23,0
"201","Concord CA","CA",126360,37.97,-122,0
"202","Concord NC","NC",61640,35.41,-80.59,0
"203","Concord NH","NH",42967,43.23,-71.56,2
"204","Conroe TX","TX",42545,30.32,-95.47,0
"205","Conway AR","AR",53297,35.09,-92.45,0
"206","Coon Rapids MN","MN",62711,45.17,-93.31,0
"207","Coppell TX","TX",40487,32.96,-96.99,0
"208","Coral Gables FL","FL",42495,25.7,-80.26,0
"209","Coral Springs FL","FL",134773,26.27,-80.26,0
"210","Corona CA","CA",159198,33.87,-117.57,0
"211","Corpus Christi TX","TX",280808,27.71,-97.29,0
"212","Corvallis OR","OR",50932,44.57,-123.28,0
