"","fips","pop","unemp"
"1",1001,23288,9.7
"2",1003,81706,9.1
"3",1005,9703,13.4
"4",1007,8475,12.1
"5",1009,25306,9.9
"6",1011,3527,16.4
"7",1013,8884,16.7
"8",1015,52055,10.8
"9",1017,13726,18.6
"10",1019,11583,11.8
"11",1021,18697,9.9
"12",1023,4925,12.7
"13",1025,10300,17
"14",1027,5474,15.9
"15",1029,6284,10.4
"16",1031,19913,8.5
"17",1033,24202,11.4
"18",1035,4835,19.5
"19",1037,4510,14
"20",1039,16310,10.1
"21",1041,6280,9.7
"22",1043,37658,9.6
"23",1045,19281,9.3
"24",1047,15477,21.1
"25",1049,29727,14.3
"26",1051,33928,9
"27",1053,14439,12.9
"28",1055,44279,10.7
"29",1057,6744,12.8
"30",1059,12754,12.3
"31",1061,10930,10
"32",1063,3250,14.7
"33",1065,6821,12.7
"34",1067,6993,9.9
"35",1069,44214,8.9
"36",1071,25222,11.8
"37",1073,299680,10.7
"38",1075,5478,14.8
"39",1077,40952,10.5
"40",1079,15496,13.6
"41",1081,61392,8.6
"42",1083,35769,9.3
"43",1085,4814,18.5
"44",1087,8883,11.4
"45",1089,160077,7.5
"46",1091,7805,14.8
"47",1093,12146,15.2
"48",1095,40020,9.2
"49",1097,181879,11.1
"50",1099,8419,18.7
"51",1101,101133,10.2
"52",1103,53923,10.4
"53",1105,3616,19.8
"54",1107,7723,13
"55",1109,15346,8.7
"56",1111,8827,15.1
"57",1113,20860,12.6
"58",1115,34452,10.7
"59",1117,92888,7.6
"60",1119,4562,13.9
"61",1121,37033,13.6
"62",1123,17664,13.7
"63",1125,85253,9
"64",1127,27883,11.9
"65",1129,6626,15.1
"66",1131,3547,25.6
"67",1133,9094,17.5
"68",2013,1148,10.1
"69",2016,2903,8.4
"70",2020,153264,7
"71",2050,7061,14.8
"72",2060,1159,3.6
"73",2068,2300,3.4
"74",2070,2634,8.4
"75",2090,45632,6.9
"76",2100,1588,6.2
"77",2110,18615,5.7
"78",2122,26463,9.7
"79",2130,8781,6.1
"80",2150,6423,6.6
"81",2164,1372,5.9
"82",2170,40287,8.8
"83",2180,3877,12.1
"84",2185,5119,5.7
"85",2188,2805,13.2
"86",2201,2507,13.6
"87",2220,4707,5.9
"88",2232,2278,7.3
"89",2240,3673,8.1
"90",2261,5789,6.4
"91",2270,2807,20.4
"92",2280,2836,9.8
"93",2282,350,6.3
"94",2290,2790,13.6
"95",4001,22797,14.8
"96",4003,62754,7.4
"97",4005,74896,7.7
"98",4007,22859,10.9
"99",4009,14430,14.4
"100",4011,4450,21.5
"101",4012,7812,8.9
"102",4013,2001233,8.5
"103",4015,92909,10.2
"104",4017,40715,14.2
"105",4019,489560,8.4
"106",4021,117530,11.8
"107",4023,18760,17.2
"108",4025,99997,9.5
"109",4027,89436,24.2
"110",5001,12228,14.3
"111",5003,9221,9.1
"112",5005,17471,8.2
"113",5007,105604,5.3
"114",5009,16932,6.4
"115",5011,4974,7.8
"116",5013,2520,6.2
"117",5015,14278,4.3
"118",5017,4642,9.6
"119",5019,11000,6.3
"120",5021,6369,10.4
"121",5023,11863,5.9
"122",5025,4079,6
"123",5027,10694,8.1
"124",5029,10357,6.5
"125",5031,46944,5.9
"126",5033,28913,6.6
"127",5035,22459,9.9
"128",5037,8307,7.1
"129",5039,3867,7.6
"130",5041,5620,9.9
"131",5043,8176,9.1
"132",5045,55883,6
"133",5047,8677,5.9
"134",5049,5301,6.1
"135",5051,43280,6.6
"136",5053,8608,5.7
"137",5055,19581,8.2
"138",5057,10481,8.6
"139",5059,15025,7.3
"140",5061,6323,7.2
"141",5063,16501,7.8
"142",5065,5528,7.7
"143",5067,7785,9.2
"144",5069,35266,9.2
"145",5071,11837,6.1
"146",5073,2978,8.6
"147",5075,7222,7.9
"148",5077,3394,8.2
"149",5079,4923,8.2
"150",5081,6862,5.6
"151",5083,10189,7.7
"152",5085,31829,5.2
"153",5087,7797,5.3
"154",5089,6935,11.2
"155",5091,19924,4.5
"156",5093,21913,11.3
"157",5095,3542,7.4
"158",5097,4017,5.8
"159",5099,4177,8.7
"160",5101,3504,6.2
"161",5103,11570,7.1
"162",5105,4851,5.6
"163",5107,8582,8.8
"164",5109,5132,6.3
"165",5111,11075,7.5
"166",5113,8985,6.4
"167",5115,29690,6.2
"168",5117,4218,6.7
"169",5119,192660,6
"170",5121,7535,7.3
"171",5123,10130,9.4
"172",5125,49630,5.8
"173",5127,4818,6.3
"174",5129,3657,5.9
"175",5131,62696,6.2
"176",5133,7400,5.1
"177",5135,6346,7.8
"178",5137,4725,6.6
"179",5139,18635,9.5
"180",5141,6983,9.1
"181",5143,104999,5
"182",5145,34577,6.7
"183",5147,3434,9.1
"184",5149,10512,6.4
"185",6001,768686,11.3
"186",6003,415,15.2
"187",6005,17958,12.1
"188",6007,105395,12.2
"189",6009,20999,14.3
"190",6011,11158,14.5
"191",6013,529871,11.2
"192",6015,11871,11.9
"193",6017,91244,11.2
"194",6019,452170,14.1
"195",6021,12591,13.8
"196",6023,59992,10.3
"197",6025,76893,30.1
"198",6027,8980,9.5
"199",6029,377391,13.9
"200",6031,59713,13.9
"201",6033,25886,14.7
"202",6035,13512,11.8
"203",6037,4923821,12.7
"204",6039,70354,12.3
"205",6041,134608,8
"206",6043,9975,8.8
