"","x","y","median"
"1",-74.0262,40.2217,59
"2",-74.5992,40.5597,58
"3",-74.7138,40.7832,90
"4",-74.1408,40.6628,80
"5",-74.2554,40.6514,50
"6",-74.1694,40.7001,47
"7",-73.9116,40.7087,81
"8",-73.8543,40.9379,56
"9",-73.5678,40.7373,55
"10",-73.1668,40.7373,72
"11",-73.7397,40.9665,62
"12",-73.6251,41.0811,100
"13",-73.5678,41.1384,97
"14",-73.5105,41.0639,91
"15",-73.1668,41.19,80
"16",-73.4533,41.3905,81
"17",-72.9376,41.316,76
"18",-73.0522,41.5624,75
"19",-73.2241,41.677,85
"20",-72.4219,41.3905,94
"21",-72.6511,41.5624,80
"22",-72.7657,41.6712,82
"23",-72.0782,41.3619,74
"24",-72.7084,41.7687,68
"25",-72.6511,41.8603,60
"26",-72.0782,41.9004,85
"27",-72.5938,42.1124,34
"28",-71.7917,42.2499,66
"29",-71.7917,42.588,65
"30",-71.1041,41.7114,73
"31",-71.3333,42.6453,63
"32",-71.0468,42.2499,62
"33",-71.1041,42.3244,36
"34",-71.1041,42.376,54
"35",-71.2187,42.3817,42
"36",-71.0468,42.4218,52
"37",-74.0262,41.9176,64
"38",-73.2241,42.4505,65
"39",-73.7397,42.6281,60
"40",-73.9116,42.8,56
"41",-73.6251,43.3214,64
