"","fips","ssa","region","division","abb","polyname"
"1",1,1,3,6,"AL","alabama"
"2",4,3,4,8,"AZ","arizona"
"3",5,4,3,7,"AR","arkansas"
"4",6,5,4,9,"CA","california"
"5",8,6,4,8,"CO","colorado"
"6",9,7,1,1,"CT","connecticut"
"7",10,8,3,5,"DE","delaware"
"8",11,9,3,5,"DC","district of columbia"
"9",12,10,3,5,"FL","florida"
"10",13,11,3,5,"GA","georgia"
"11",16,13,4,8,"ID","idaho"
"12",17,14,2,3,"IL","illinois"
"13",18,15,2,3,"IN","indiana"
"14",19,16,2,4,"IA","iowa"
"15",20,17,2,4,"KS","kansas"
"16",21,18,3,6,"KY","kentucky"
"17",22,19,3,7,"LA","louisiana"
"18",23,20,1,1,"ME","maine"
"19",24,21,3,5,"MD","maryland"
"20",25,22,1,1,"MA","massachusetts:martha's vineyard"
"21",25,22,1,1,"MA","massachusetts:main"
"22",25,22,1,1,"MA","massachusetts:nantucket"
"23",26,23,2,3,"MI","michigan:north"
"24",26,23,2,3,"MI","michigan:south"
"25",27,24,2,4,"MN","minnesota"
"26",28,25,3,6,"MS","mississippi"
"27",29,26,2,4,"MO","missouri"
"28",30,27,4,8,"MT","montana"
"29",31,28,2,4,"NE","nebraska"
"30",32,29,4,8,"NV","nevada"
"31",33,30,1,1,"NH","new hampshire"
"32",34,31,1,2,"NJ","new jersey"
"33",35,32,4,8,"NM","new mexico"
"34",36,33,1,2,"NY","new york:manhattan"
"35",36,33,1,2,"NY","new york:main"
"36",36,33,1,2,"NY","new york:staten island"
"37",36,33,1,2,"NY","new york:long island"
"38",37,34,3,5,"NC","north carolina:knotts"
"39",37,34,3,5,"NC","north carolina:main"
"40",37,34,3,5,"NC","north carolina:spit"
"41",38,35,2,4,"ND","north dakota"
"42",39,36,2,3,"OH","ohio"
"43",40,37,3,7,"OK","oklahoma"
"44",41,38,4,9,"OR","oregon"
"45",42,39,1,2,"PA","pennsylvania"
"46",44,41,1,1,"RI","rhode island"
"47",45,42,3,5,"SC","south carolina"
"48",46,43,2,4,"SD","south dakota"
"49",47,44,3,6,"TN","tennessee"
"50",48,45,3,7,"TX","texas"
"51",49,46,4,8,"UT","utah"
"52",50,47,1,1,"VT","vermont"
"53",51,49,3,5,"VA","virginia:chesapeake"
"54",51,49,3,5,"VA","virginia:chincoteague"
"55",51,49,3,5,"VA","virginia:main"
"56",53,50,4,9,"WA","washington:san juan island"
"57",53,50,4,9,"WA","washington:lopez island"
"58",53,50,4,9,"WA","washington:orcas island"
"59",53,50,4,9,"WA","washington:whidbey island"
"60",53,50,4,9,"WA","washington:main"
"61",54,51,3,5,"WV","west virginia"
"62",55,52,2,3,"WI","wisconsin"
"63",56,53,4,8,"WY","wyoming"
