"","plot","tree","dbh.in","stump.ht.ft","height.ft","height.m","dbh.cm","vol.m3"
"1","1  A ","    1",12.7,1.4,89.5,27.279599958535,32.258,1.00137443206213
"2","1  A ","    2",14.4,1.1,94.4,28.7731199562649,36.576,1.33184079964189
"3","1  A ","    3",7.8,0.5,62.6,19.0804799709977,19.812,0.281439014548771
"4","1  A ","    4",17,1.4,80.9,24.6583199625194,43.18,1.58062781750347
"5","1  B ","    5",11.8,1.2,97.6,29.7484799547823,29.972,0.786686649930097
"6","1  B ","    6",10,1,81,24.688799962473,25.4,0.702964878923062
"7","1  C ","    7",7.3,0.8,63.6,19.3852799705344,18.542,0.222338716579963
"8","2  D ","    8",9.7,1.1,79,24.0791999633996,24.638,0.478716464660504
"9","2  D ","    9",7.4,1.1,73.3,22.3418399660404,18.796,0.308908600606042
"10","2  E ","   10",26.7,2.3,107.4,32.735519950242,67.818,4.89907424402332
"11","2  E ","   11",13.6,1,83.7,25.5117599612221,34.544,0.998127408033843
"12","2  D ","   12",18,1.3,104.7,31.9125599514929,45.72,2.38856025825432
"13","2  F ","   13",25.2,2.5,105,32.0039999513539,64.008,5.06366894338779
"14","2  F ","   14",15.9,1.5,96,29.2607999555236,40.386,1.53483692905213
"15","3  G ","   15",7,0.6,68.1,20.7568799684495,17.78,0.267507282194267
"16","3  G ","   16",6.1,0.6,62.8,19.141439970905,15.494,0.164456210371061
"17","3  G ","   17",23.1,2.4,104,31.6991999518172,58.674,3.52368698628636
"18","3  H ","   18",5.8,0.7,59,17.9831999726655,14.732,0.167240907154914
"19","3  H ","   19",12.7,1.4,92,28.0415999573768,32.258,0.989736746766362
"20","3  H ","   20",18.9,1.5,98.7,30.0837599542727,48.006,2.76373473092001
"21","3  I ","   21",15,1.1,96,29.2607999555236,38.1,1.45300264247736
"22","4  J ","   22",26.6,2.3,104.8,31.9430399514466,67.564,4.43262755955191
"23","4  J ","   23",20.8,1.9,96,29.2607999555236,52.832,2.55669912065158
"24","4  J ","   24",16.8,1.8,92.2,28.1025599572841,42.672,1.49065194638138
"25","4  L ","   25",29.4,1.5,107.2,32.6745599503347,74.676,5.27501845462584
"26","4  K ","   26",29.7,1.2,106,32.3087999508906,75.438,5.92970482682826
"27","4  K ","   27",23.8,1.3,95,28.9559999559869,60.452,3.40625571736519
"28","5  M ","   28",19.6,1.3,99,30.1751999541337,49.784,2.58627073751806
"29","5  M ","   29",8.9,0.5,68.6,20.9092799682179,22.606,0.317479400529099
"30","5  O ","   30",15.5,0.7,91.8,27.9806399574694,39.37,1.50105475444992
"31","5  O ","   31",12.3,0.8,75,22.8599999652528,31.242,0.892205893012515
"32","5  O ","   32",15.2,1.2,86,26.2127999601565,38.608,1.48158242574171
"33","5  O ","   33",11.1,0.7,85,25.9079999606198,28.194,0.697198996298148
"34","5  O ","   34",9,0.8,80.8,24.6278399625657,22.86,0.524108196236218
"35","6  Q ","   35",8.5,0.9,72.5,22.097999966411,21.59,0.389022407806825
"36","6  Q ","   36",10.8,0.7,86.6,26.3956799598786,27.432,0.663986210836293
"37","6  Q ","   37",17.6,1.1,92.3,28.1330399572378,44.704,1.76139626328047
"38","2  E ","   38",24.9,1.3,98.2,29.9313599545043,63.246,3.93223276319497
"39","2  E ","   39",26.7,1.4,103,31.3943999522805,67.818,5.31300487149977
