"","stand","period","age","vol"
"1",1,1,30,3.2
"2",1,2,40,6.1
"3",1,3,50,8.3
"4",1,4,60,10.1
"5",1,5,70,11.6
"6",1,6,80,12.9
"7",2,1,40,6.1
"8",2,2,50,8.3
"9",2,3,60,10.1
"10",2,4,70,11.6
"11",2,5,80,12.9
"12",2,6,90,14.1
"13",3,1,50,8.3
"14",3,2,60,10.1
"15",3,3,70,11.6
"16",3,4,80,12.9
"17",3,5,90,14.1
"18",3,6,100,15.1
"19",4,1,60,10.1
"20",4,2,70,11.6
"21",4,3,80,12.6
"22",4,4,90,14.1
"23",4,5,100,15.1
"24",4,6,110,16
"25",5,1,70,11.6
"26",5,2,80,12.6
"27",5,3,90,14.1
"28",5,4,100,15.1
"29",5,5,110,16
"30",5,6,120,16.9
"31",6,1,80,12.9
"32",6,2,90,14.1
"33",6,3,100,15.1
"34",6,4,110,16
"35",6,5,120,16.9
"36",6,6,130,17.7
"37",7,1,90,14.1
"38",7,2,100,15.1
"39",7,3,110,16
"40",7,4,120,16.9
"41",7,5,130,17.7
"42",7,6,140,18.4
"43",8,1,100,15.1
"44",8,2,110,16
"45",8,3,120,16.9
"46",8,4,130,17.7
"47",8,5,140,18.4
"48",8,6,150,19.1
