"","plot","tree","species","dbh.cm","height.m"
"1",2,1,"DF",39,20.5
"2",2,2,"WL",48,33
"3",3,2,"GF",52,30
"4",3,5,"WC",36,20.7
"5",3,8,"WC",38,22.5
"6",4,1,"WC",46,18
"7",4,2,"DF",25,17
"8",5,2,"DF",54.9,29.3
"9",5,4,"GF",51.8,29
"10",6,1,"DF",40.9,26
"11",6,2,"WC",29,22
"12",6,3,"WC",29.4,32
"13",6,4,"WC",68.5,26
"14",6,6,"WC",63,33
"15",7,2,"WC",46.6,27.5
"16",7,4,"WC",55.3,30
"17",8,1,"GF",46.2,31.3
"18",9,1,"WC",27.1,27
"19",9,2,"GF",40,27
"20",9,3,"GF",36.3,28
"21",10,1,"DF",42,33
"22",10,4,"WC",37.5,29.8
"23",11,3,"GF",38.3,27.1
"24",11,4,"GF",22.3,21.5
"25",11,5,"DF",22.5,22.6
"26",12,1,"WL",21.8,18
"27",12,2,"WC",15.1,15.5
"28",13,1,"WC",23,20
"29",13,2,"WC",32,22.5
"30",13,3,"WC",52.5,29
"31",16,1,"GF",10.5,5
"32",16,2,"WC",75,32
"33",16,3,"WC",89.5,35
"34",16,4,"GF",30,25
"35",16,5,"GF",32,31
"36",16,6,"GF",29.5,27
"37",16,7,"WC",42.5,22.5
"38",16,10,"WC",83,35
"39",17,1,"WC",39,24
"40",18,1,"WL",25,28
"41",18,5,"WL",22.5,26
"42",19,1,"WL",21,22.5
"43",19,5,"WL",12.5,14
"44",20,1,"GF",24,19
"45",20,2,"GF",27.5,23
"46",20,3,"DF",32.5,26.5
"47",20,4,"GF",11.5,8
"48",21,1,"GF",36.5,31.5
"49",21,4,"DF",28.2,25
"50",21,5,"GF",19.8,16
"51",21,6,"WC",21.5,17.5
"52",22,1,"WC",38.9,30
"53",22,2,"WL",44.3,37.5
"54",22,3,"GF",26.3,28
"55",22,5,"DF",34.3,23.5
"56",22,7,"WC",26.2,21
"57",22,8,"DF",40.5,22
"58",22,9,"WC",19.9,17
"59",23,2,"WC",14.6,11
"60",23,5,"GF",39.8,36.5
"61",24,6,"WL",40.1,37.5
"62",25,1,"GF",23,13
"63",26,1,"GF",37.1,21
"64",27,1,"DF",21.5,19
"65",27,2,"GF",14.8,15
"66",27,6,"WC",68.6,28
"67",27,7,"WC",13.9,12.5
"68",28,1,"GF",18.5,19
"69",28,2,"GF",14.2,16
"70",28,3,"WC",48.7,25
"71",29,1,"GF",52.7,30
"72",29,2,"GF",32.2,26
"73",30,1,"WC",64,27
"74",30,2,"GF",58.5,34
"75",30,3,"WC",24.3,13
"76",31,1,"GF",29.6,32
"77",31,2,"WC",43,29
"78",31,3,"DF",52.2,31
"79",32,1,"WC",27.2,23
"80",32,2,"WC",34,23
"81",32,3,"WC",40.4,26
"82",33,1,"WC",11.1,9.5
"83",33,3,"GF",20.7,25
"84",33,6,"DF",28.3,31
"85",34,1,"WL",49.6,23
"86",34,2,"WC",44.9,25
"87",34,5,"GF",42.5,30
"88",35,1,"GF",71.9,32
"89",35,2,"WC",56.5,27.5
"90",35,3,"WC",31.1,25
"91",36,1,"WC",42.5,27
"92",36,2,"GF",35.2,27
"93",36,3,"GF",42.1,30
"94",37,3,"DF",14,20
"95",38,2,"WC",17.7,19
"96",39,1,"WC",33.5,20
"97",39,4,"WC",40.5,22
"98",40,1,"WL",29.5,28
"99",40,2,"WC",69,30
"100",40,5,"WC",46.5,26
"101",41,1,"WL",42.5,29
"102",41,2,"WC",30.5,21
"103",41,6,"WC",30.5,25
"104",41,7,"WC",37.8,28
"105",42,1,"WC",49.7,30
"106",42,2,"WC",37.7,28
"107",42,3,"DF",32.5,25
"108",42,4,"WC",26.2,23
"109",43,1,"WC",31,26
"110",43,2,"WC",38.5,27
"111",43,3,"WC",94,36
"112",43,4,"WC",101.5,39
"113",43,6,"DF",35,34
"114",44,1,"WC",31.5,24.5
"115",44,2,"GF",59,31.2
"116",43,6,"DF",35,34
"117",44,1,"WC",31.5,24.5
"118",44,2,"GF",59,31.2
"119",44,4,"WC",60.2,32
"120",45,1,"GF",18,22
"121",45,2,"WC",47.1,30
"122",45,3,"WC",63.7,28.5
"123",45,4,"DF",63.8,34
"124",46,2,"WC",12.5,10
"125",46,3,"WC",15.5,11.5
"126",47,1,"GF",45.5,31.5
"127",47,2,"WC",60,33
"128",48,1,"WC",20,17.5
"129",48,2,"WL",32,30
"130",48,3,"DF",42,30.5
"131",48,4,"GF",25.5,22.5
"132",49,1,"WL",27.9,15
"133",51,3,"WC",52.8,31.5
"134",52,1,"WC",23.4,18
"135",52,2,"GF",47.7,31
"136",52,3,"GF",61.3,25
"137",53,1,"WC",37.7,24.2
"138",53,2,"DF",16.5,17.2
"139",54,1,"GF",39.7,25.3
"140",54,2,"WC",80.4,32
"141",55,2,"DF",99.8,42
"142",55,6,"WC",45.6,32.5
"143",56,1,"WC",38.7,27
"144",56,3,"DF",50.2,37
"145",56,4,"GF",68.3,39
"146",57,1,"GF",42.2,32.8
"147",57,2,"WC",34.4,25.7
"148",57,3,"GF",18.5,20.2
"149",58,1,"WC",54.3,30.5
"150",59,1,"GF",86.1,40.2
"151",59,3,"WC",51.9,32.5
"152",60,1,"WC",25.8,22.8
"153",60,2,"WC",40,21.1
"154",60,3,"WC",37.4,20
"155",61,2,"GF",10.4,16.5
"156",61,4,"GF",24.8,19
"157",62,2,"GF",33.5,27.5
"158",63,2,"GF",25,23.5
"159",64,4,"WC",14.1,14
"160",64,6,"WC",15.7,17.5
"161",64,7,"WC",25,19
"162",65,1,"GF",19.7,16.5
"163",65,3,"GF",37.2,27
"164",65,4,"GF",30,28
"165",66,1,"WL",47,30
"166",67,1,"GF",19.1,14.5
"167",67,5,"GF",46.3,30
"168",67,6,"WL",57.5,3.4
"169",68,1,"GF",78,42
"170",68,2,"WC",58,33.5
"171",68,3,"WC",28.9,20.5
"172",69,1,"WC",49.6,27
"173",69,2,"WC",52.8,28.5
"174",69,3,"WC",44.5,27
"175",70,1,"WC",15.8,17
"176",70,2,"GF",35.7,34.5
"177",70,5,"DF",25.3,27.5
"178",71,1,"WC",14.8,14.5
"179",71,2,"GF",30.5,23.5
"180",71,3,"WC",12.2,14
"181",72,1,"WC",38.2,23.5
"182",72,2,"GF",27.5,23.5
"183",72,3,"GF",14.6,23.5
"184",73,1,"WC",54.5,26.5
"185",73,4,"WL",18.2,19
"186",74,1,"GF",32.2,23
"187",74,2,"GF",35,23
"188",75,1,"DF",50.2,30
"189",75,2,"WC",10.8,10
"190",76,1,"WC",14.4,10
"191",76,2,"WC",22.6,14
"192",77,1,"WC",40.5,18
"193",78,1,"WC",43.7,27
"194",78,2,"GF",64.4,42
"195",79,1,"DF",29,23
"196",79,2,"DF",52.5,27
"197",80,1,"GF",24.8,24
"198",80,3,"WC",46.6,25
"199",80,5,"DF",28.3,21.5
"200",81,1,"WC",15.3,13
"201",81,2,"GF",58.8,25
"202",81,3,"WC",59.5,23
"203",82,1,"GF",65.6,35
"204",82,2,"GF",10.5,9.5
"205",82,3,"GF",19.6,18.5
"206",83,1,"GF",44.1,30
"207",83,2,"GF",24.5,22
"208",83,3,"GF",24.8,21
"209",84,1,"GF",50.6,32
"210",84,2,"GF",45.3,30
"211",84,3,"GF",17.1,12
"212",85,1,"WC",69,40
"213",85,2,"DF",71.6,35
"214",85,7,"GF",41.5,28
"215",86,1,"WC",45.5,33.5
"216",86,2,"WC",72.5,35.5
"217",87,1,"WC",44.3,20.5
"218",87,2,"GF",15.5,14.5
"219",87,3,"GF",14,9
"220",88,1,"WC",47.3,30
"221",88,2,"WC",43.3,29.5
"222",88,3,"WL",70.8,42.5
"223",89,1,"GF",79.8,31
"224",89,2,"GF",22,18
"225",90,1,"DF",44,32
"226",90,2,"DF",55.8,26
"227",90,3,"DF",60.7,26
"228",91,1,"GF",12.1,10.5
"229",91,2,"GF",30,17
"230",91,3,"DF",47.6,25.5
"231",92,1,"WC",30.9,17
"232",92,3,"GF",33,29
"233",92,5,"DF",51.5,29.5
"234",93,1,"WC",50.8,28.5
"235",94,1,"WC",53,23
"236",96,1,"DF",43,18.5
"237",97,1,"GF",46,28
"238",97,2,"WC",59.4,33.3
"239",97,3,"GF",33.8,24.1
"240",98,1,"WC",20.1,16.1
"241",98,6,"DF",26.2,14.5
"242",98,7,"GF",10.8,14.8
"243",99,1,"WC",51.2,27
"244",99,2,"GF",43.5,26.4
"245",99,3,"WC",37.1,28.8
"246",100,1,"GF",42.1,32.4
"247",100,2,"DF",78.5,37
"248",100,3,"WC",10.1,9
"249",101,1,"DF",49.4,23.6
"250",101,2,"GF",60.7,30
"251",101,3,"DF",46.3,30
"252",102,4,"DF",55.1,18
"253",103,1,"WC",65.4,35.5
"254",103,2,"GF",23.9,23.2
"255",104,1,"WC",28.4,19.3
"256",104,4,"DF",19.7,11
"257",105,1,"WC",28.2,20.5
"258",105,2,"WC",22.2,18.7
"259",105,3,"WC",11.9,11.5
"260",106,1,"GF",24.5,23.8
"261",106,2,"GF",31.4,27
"262",106,3,"WC",12,12.8
"263",107,1,"WC",15.9,12.5
"264",107,2,"WC",27,17
"265",107,3,"WC",27.7,20.5
"266",108,1,"DF",43.8,17.9
"267",108,2,"GF",39.7,19.5
"268",109,1,"GF",47.5,27
"269",109,2,"GF",49.8,24.5
"270",110,2,"WC",42.3,30.5
"271",110,3,"WC",48.8,24.5
"272",110,4,"GF",81.2,47
"273",111,1,"WC",45,28
"274",111,2,"GF",56.5,30
"275",111,3,"WC",53,23.5
"276",112,1,"GF",52.2,35
"277",112,4,"DF",34.3,25.5
"278",112,6,"WC",34.1,24.5
"279",113,1,"DF",23.9,21
"280",113,4,"DF",41.3,26
"281",114,1,"WL",19.7,18
"282",114,2,"DF",15,16.5
"283",114,3,"DF",43.2,24
"284",116,1,"WL",26.8,22
"285",118,1,"WL",28.6,29.5
"286",118,2,"WL",30.2,29.5
"287",119,2,"WC",31.4,28
"288",119,3,"WC",26.6,19
"289",120,1,"WC",34.1,25
"290",121,1,"GF",33,17
"291",121,3,"DF",26.7,15
"292",121,4,"GF",23.4,20
"293",122,1,"GF",31.2,19
"294",122,2,"GF",35.2,24.5
"295",122,3,"GF",25.7,18
"296",122,4,"GF",16.3,9
"297",123,1,"GF",40.1,19.5
"298",123,2,"WC",17.6,16.5
"299",124,1,"GF",42.5,28
"300",124,2,"GF",31.4,23
"301",124,3,"DF",27.1,21
"302",125,1,"DF",40,21
"303",125,3,"DF",51.3,31
"304",126,1,"GF",28.4,23
"305",126,2,"GF",39.3,25
"306",126,3,"WC",33.7,17
"307",128,1,"WC",21.3,15.5
"308",128,4,"DF",20.1,16
"309",129,1,"GF",45.4,25
"310",129,2,"WC",29.7,20
"311",131,1,"WC",22.8,12
"312",131,2,"GF",29.2,23
"313",131,3,"GF",38.3,24
"314",132,1,"WC",17.4,12
"315",132,2,"GF",23.9,17.5
"316",135,1,"GF",18.9,16
"317",135,2,"GF",20.5,13
"318",135,3,"GF",21,18.5
"319",136,1,"WC",55.5,27.5
"320",136,2,"GF",16.4,13
"321",136,3,"DF",56.5,37
"322",137,1,"WC",37.3,20.5
"323",138,1,"WC",20.7,14
"324",139,1,"WC",44.6,28.5
"325",139,3,"WC",36.7,25
"326",139,7,"GF",44.5,27
