"","treat","rep","tree","date","isalive","height","dia","dbh"
"1","CONTROL","A",1,"10/7/1996 0:00:00",1,31,6.5,0
"2","CONTROL","A",1,"11/11/1997 0:00:00",1,59,9,0
"3","CONTROL","A",1,"8/18/1999 0:00:00",1,137.16,11,0
"4","CONTROL","A",1,"2/7/2001 0:00:00",1,154.22,20,19
"5","CONTROL","A",1,"5/31/2002 0:00:00",1,211.83,30,19
"6","CONTROL","A",1,"11/26/2002 0:00:00",1,277.36,30,24
"7","CONTROL","A",1,"4/26/2004 0:00:00",1,338.32,40,28
"8","CONTROL","A",1,"8/23/2005 0:00:00",1,426.72,43.18,35.56
"9","CONTROL","A",2,"10/7/1996 0:00:00",1,130,23,0
"10","CONTROL","A",2,"11/11/1997 0:00:00",1,179,41,0
"11","CONTROL","A",2,"8/18/1999 0:00:00",1,360.88,60,0
"12","CONTROL","A",2,"2/7/2001 0:00:00",1,480.66,62,74
"13","CONTROL","A",2,"5/31/2002 0:00:00",1,478.53,99,74
"14","CONTROL","A",2,"11/26/2002 0:00:00",1,548.64,112,89
"15","CONTROL","A",2,"4/26/2004 0:00:00",1,667.51,135,95
"16","CONTROL","A",2,"8/23/2005 0:00:00",1,883.92,182.88,134.62
"17","CONTROL","A",3,"10/7/1996 0:00:00",1,109,22.6,0
"18","CONTROL","A",3,"11/11/1997 0:00:00",1,172,31,0
"19","CONTROL","A",3,"8/18/1999 0:00:00",1,390.75,52,0
"20","CONTROL","A",3,"2/7/2001 0:00:00",1,490.72,71,72
"21","CONTROL","A",3,"5/31/2002 0:00:00",1,601.37,106,72
"22","CONTROL","A",3,"11/26/2002 0:00:00",1,731.52,119,82
"23","CONTROL","A",3,"4/26/2004 0:00:00",1,807.72,142,102
"24","CONTROL","A",3,"8/23/2005 0:00:00",1,914.4,167.64,127
"25","CONTROL","A",4,"10/7/1996 0:00:00",1,116,25.1,0
"26","CONTROL","A",4,"11/11/1997 0:00:00",1,159,36,0
"27","CONTROL","A",4,"8/18/1999 0:00:00",1,341.37,53,0
"28","CONTROL","A",4,"2/7/2001 0:00:00",1,418.79,72,75
"29","CONTROL","A",4,"5/31/2002 0:00:00",1,524.25,102,75
"30","CONTROL","A",4,"11/26/2002 0:00:00",1,646.17,102,73
"31","CONTROL","A",4,"4/26/2004 0:00:00",1,701.04,111,98
"32","CONTROL","A",4,"8/23/2005 0:00:00",1,975.36,154.94,121.92
"33","CONTROL","A",5,"10/7/1996 0:00:00",1,91,21.2,0
"34","CONTROL","A",5,"11/11/1997 0:00:00",1,149,27,0
"35","CONTROL","A",5,"8/18/1999 0:00:00",1,323.08,50,0
"36","CONTROL","A",5,"2/7/2001 0:00:00",1,421.84,52,58
"37","CONTROL","A",5,"5/31/2002 0:00:00",1,530.35,92,58
"38","CONTROL","A",5,"11/26/2002 0:00:00",1,670.56,93,62
"39","CONTROL","A",5,"4/26/2004 0:00:00",1,765.04,112,80
"40","CONTROL","A",5,"8/23/2005 0:00:00",1,914.4,134.62,106.68
"41","CONTROL","A",6,"10/7/1996 0:00:00",1,114,24.4,0
"42","CONTROL","A",6,"11/11/1997 0:00:00",1,200,35,0
"43","CONTROL","A",6,"8/18/1999 0:00:00",1,381.91,74,0
"44","CONTROL","A",6,"2/7/2001 0:00:00",1,489.2,102,100
"45","CONTROL","A",6,"5/31/2002 0:00:00",1,595.88,126,100
"46","CONTROL","A",6,"11/26/2002 0:00:00",1,746.76,142,99
"47","CONTROL","A",6,"4/26/2004 0:00:00",1,819.91,192,127
"48","CONTROL","A",6,"8/23/2005 0:00:00",1,975.36,220.98,170.18
"49","CONTROL","A",7,"10/7/1996 0:00:00",1,97,14.9,0
"50","CONTROL","A",7,"11/11/1997 0:00:00",1,139,22,0
"51","CONTROL","A",7,"8/18/1999 0:00:00",1,226.46,42,0
"52","CONTROL","A",7,"2/7/2001 0:00:00",1,311.2,54,59
"53","CONTROL","A",7,"5/31/2002 0:00:00",1,440.43,81,59
"54","CONTROL","A",7,"11/26/2002 0:00:00",1,573.02,92,68
"55","CONTROL","A",7,"4/26/2004 0:00:00",1,685.8,111,88
"56","CONTROL","A",7,"8/23/2005 0:00:00",1,853.44,132.08,106.68
"57","CONTROL","A",8,"10/7/1996 0:00:00",1,88,26.3,0
"58","CONTROL","A",8,"11/11/1997 0:00:00",1,190,32,0
"59","CONTROL","A",8,"8/18/1999 0:00:00",1,367.28,70,0
"60","CONTROL","A",8,"2/7/2001 0:00:00",1,441.04,80,77
"61","CONTROL","A",8,"5/31/2002 0:00:00",1,548.64,117,77
"62","CONTROL","A",8,"11/26/2002 0:00:00",1,652.27,189,82
"63","CONTROL","A",8,"4/26/2004 0:00:00",1,768.09,165,115
"64","CONTROL","A",8,"8/23/2005 0:00:00",1,1005.84,213.36,154.94
"65","CONTROL","A",9,"10/7/1996 0:00:00",1,99,24.5,0
"66","CONTROL","A",9,"11/11/1997 0:00:00",1,147,35.5,0
"67","CONTROL","A",9,"8/18/1999 0:00:00",1,238.35,68,0
"68","CONTROL","A",9,"2/7/2001 0:00:00",1,362.4,75,67
"69","CONTROL","A",9,"5/31/2002 0:00:00",1,432.81,95,67
"70","CONTROL","A",9,"11/26/2002 0:00:00",1,563.88,105,77
