"","site","location","tree","age.base","height","dbh.cm","volume","age.bh","tree.ID"
"2","1","1",1,20,4.2,4.6,5,9.67,"1.1"
"3","1","1",1,30,9.3,10.2,38,19.67,"1.1"
"4","1","1",1,40,14.9,14.9,123,29.67,"1.1"
"5","1","1",1,50,19.7,18.3,263,39.67,"1.1"
"6","1","1",1,60,23,20.7,400,49.67,"1.1"
"7","1","1",1,70,25.8,22.6,555,59.67,"1.1"
"8","1","1",1,80,27.4,24.1,688,69.67,"1.1"
"9","1","1",1,90,28.8,25.5,820,79.67,"1.1"
"10","1","1",1,100,30,26.5,928,89.67,"1.1"
"11","1","1",1,110,30.9,27.3,1023,99.67,"1.1"
"12","1","1",1,120,31.8,28.1,1104,109.67,"1.1"
"13","1","1",1,130,32.4,28.6,1156,119.67,"1.1"
"14","1","1",1,140,33.1,29,1219,129.67,"1.1"
"16","1","1",2,20,4.8,5.4,6,9.21,"1.2"
"17","1","1",2,30,10.3,12.3,53,19.21,"1.2"
"18","1","1",2,40,15.3,17.2,152,29.21,"1.2"
"19","1","1",2,50,19.9,20.5,286,39.21,"1.2"
"20","1","1",2,60,23.7,23.6,465,49.21,"1.2"
"21","1","1",2,70,27.1,26.3,679,59.21,"1.2"
"22","1","1",2,80,29.4,28.4,890,69.21,"1.2"
"23","1","1",2,90,31.5,30.3,1092,79.21,"1.2"
"24","1","1",2,100,33.1,32.3,1316,89.21,"1.2"
"25","1","1",2,110,34.3,34.1,1513,99.21,"1.2"
"26","1","1",2,120,35.5,36.3,1772,109.21,"1.2"
"27","1","1",2,130,36.7,38.8,2045,119.21,"1.2"
"28","1","1",2,140,37.8,40.8,2296,129.21,"1.2"
"29","1","1",3,10,1.6,0.7,0.6,0.7,"1.3"
"30","1","1",3,20,5.9,7.3,13,10.7,"1.3"
"31","1","1",3,30,10.2,13.8,71,20.7,"1.3"
"32","1","1",3,40,14,19,186,30.7,"1.3"
"33","1","1",3,50,18.3,23.6,370,40.7,"1.3"
"34","1","1",3,60,22.6,27.1,595,50.7,"1.3"
"35","1","1",3,70,26.7,29.6,847,60.7,"1.3"
"36","1","1",3,80,29.6,31.4,1068,70.7,"1.3"
"37","1","1",3,90,32,33,1284,80.7,"1.3"
"38","1","1",3,100,34,34.4,1473,90.7,"1.3"
"39","1","1",3,110,35.5,35.9,1678,100.7,"1.3"
"40","1","1",3,120,36.8,37.6,1922,110.7,"1.3"
"41","1","1",3,130,38.2,39.4,2155,120.7,"1.3"
"42","1","1",3,140,39.5,40.9,2380,130.7,"1.3"
"44","1","1",4,20,6.9,9.2,23,9.82,"1.4"
"45","1","1",4,30,12.7,18.3,142,19.82,"1.4"
"46","1","1",4,40,18.2,27.2,434,29.82,"1.4"
"47","1","1",4,50,23.2,33.1,813,39.82,"1.4"
"48","1","1",4,60,27.2,36.2,1158,49.82,"1.4"
"49","1","1",4,70,30.1,38.8,1505,59.82,"1.4"
"50","1","1",4,80,32.7,41.1,1796,69.82,"1.4"
"51","1","1",4,90,35,43.3,2091,79.82,"1.4"
"52","1","1",4,100,37,45.3,2379,89.82,"1.4"
"53","1","1",4,110,38.9,47.7,2717,99.82,"1.4"
"54","1","1",4,120,40.6,50.1,3063,109.82,"1.4"
"55","1","1",4,130,42.1,52.8,3484,119.82,"1.4"
"56","1","1",4,140,43.5,55.4,3919,129.82,"1.4"
"57","1","1",6,10,2,1.4,1.3,1.21,"1.6"
"58","1","1",6,20,7.8,12.2,40,11.21,"1.6"
"59","1","1",6,30,12.9,17.5,134,21.21,"1.6"
"60","1","1",6,40,17.7,22.3,281,31.21,"1.6"
"61","1","1",6,50,22.2,26.2,498,41.21,"1.6"
"62","1","1",6,60,24.8,28.4,688,51.21,"1.6"
"63","1","1",6,70,27.2,30.6,902,61.21,"1.6"
"64","1","1",6,80,29.3,32.6,1103,71.21,"1.6"
"65","1","1",6,90,31.4,34.5,1320,81.21,"1.6"
"66","1","1",6,100,32.8,35.7,1481,91.21,"1.6"
"67","1","1",6,110,33.9,36.7,1616,101.21,"1.6"
"68","1","1",6,120,34.7,37.6,1738,111.21,"1.6"
"69","1","1",6,130,35.6,38.6,1874,121.21,"1.6"
"70","1","1",6,140,36.5,39.4,1988,131.21,"1.6"
"71","1","1",6,150,37.4,40.1,2093,141.21,"1.6"
"72","1","1",7,10,1.9,1.5,0.9,1.2,"1.7"
"73","1","1",7,20,6.9,10.8,29,11.2,"1.7"
"74","1","1",7,30,12.2,16.9,121,21.2,"1.7"
"75","1","1",7,40,16.6,23.2,314,31.2,"1.7"
"76","1","1",7,50,20.7,28,580,41.2,"1.7"
"77","1","1",7,60,24.1,31.2,868,51.2,"1.7"
"78","1","1",7,70,27.3,34,1181,61.2,"1.7"
"79","1","1",7,80,30.2,36.8,1552,71.2,"1.7"
"80","1","1",7,90,32.5,39,1913,81.2,"1.7"
"81","1","1",7,100,34.1,40.7,2233,91.2,"1.7"
"82","1","1",7,110,35.3,42.1,2513,101.2,"1.7"
"83","1","1",7,120,36.5,43.3,2771,111.2,"1.7"
"84","1","1",7,130,37.6,44.6,3052,121.2,"1.7"
"85","1","1",7,140,38.8,46.1,3368,131.2,"1.7"
"86","1","1",7,150,39.9,47.6,3678,141.2,"1.7"
"88","1","2",1,20,4.8,6.6,11,9.21,"2.1"
"89","1","2",1,30,9.5,15.6,80,19.21,"2.1"
"90","1","2",1,40,14.2,22.3,240,29.21,"2.1"
"91","1","2",1,50,18.8,28.3,505,39.21,"2.1"
"92","1","2",1,60,23.1,32.2,805,49.21,"2.1"
"93","1","2",1,70,26.2,34.6,1079,59.21,"2.1"
"94","1","2",1,80,28.2,36.5,1335,69.21,"2.1"
"95","1","2",1,90,30.2,37.8,1538,79.21,"2.1"
"96","1","2",1,100,32.2,39.4,1761,89.21,"2.1"
"97","1","2",1,110,33.5,41,1988,99.21,"2.1"
"98","1","2",1,120,34.7,42.2,2176,109.21,"2.1"
"99","1","2",1,130,35.5,43.3,2338,119.21,"2.1"
"100","1","2",1,140,36.3,44.6,2550,129.21,"2.1"
"101","1","2",1,150,37.1,46.3,2794,139.21,"2.1"
"103","1","2",2,20,4,5.3,6,8.71,"2.2"
"104","1","2",2,30,9.1,15.1,71,18.71,"2.2"
"105","1","2",2,40,14.2,21.7,215,28.71,"2.2"
"106","1","2",2,50,18.4,26.5,452,38.71,"2.2"
"107","1","2",2,60,22.5,29.9,714,48.71,"2.2"
"108","1","2",2,70,26,32.7,967,58.71,"2.2"
"109","1","2",2,80,28.8,35,1261,68.71,"2.2"
"110","1","2",2,90,30.6,36.8,1476,78.71,"2.2"
"111","1","2",2,100,32.2,38.6,1695,88.71,"2.2"
"112","1","2",2,110,33.7,40.2,1915,98.71,"2.2"
"113","1","2",2,120,35,41.6,2107,108.71,"2.2"
"114","1","2",2,130,36.2,43.2,2321,118.71,"2.2"
"115","1","2",2,140,37.2,44.5,2508,128.71,"2.2"
"116","1","2",2,150,38.1,46,2694,138.71,"2.2"
"118","1","3",1,20,5,5.8,8,9.74,"3.1"
"119","1","3",1,30,10,13.3,66,19.74,"3.1"
"120","1","3",1,40,15.4,20.1,201,29.74,"3.1"
"121","1","3",1,50,20.8,24.9,437,39.74,"3.1"
"122","1","3",1,60,25.1,28.4,709,49.74,"3.1"
"124","1","3",2,20,4.9,6.8,10,10,"3.2"
"125","1","3",2,30,10.4,15,82,20,"3.2"
"126","1","3",2,40,16,21.5,259,30,"3.2"
"127","1","3",2,50,21.3,25.6,503,40,"3.2"
"128","1","3",2,60,25.1,28.3,752,50,"3.2"
"129","1","3",5,10,2,1.4,0.8,1.89,"3.5"
"130","1","3",5,20,5.7,7,11,11.89,"3.5"
"131","1","3",5,30,10.5,11.5,52,21.89,"3.5"
"132","1","3",5,40,15.9,16.1,166,31.89,"3.5"
"133","1","3",5,50,20.6,19.8,341,41.89,"3.5"
"134","1","3",5,60,23.6,23.8,581,51.89,"3.5"
"135","1","3",5,70,26.4,27.1,848,61.89,"3.5"
"136","1","3",5,80,29.2,30.4,1145,71.89,"3.5"
"137","1","3",5,90,30.9,33.3,1445,81.89,"3.5"
"138","1","3",5,100,32.2,35.8,1713,91.89,"3.5"
"139","1","3",6,10,2.2,2,1.4,1.91,"3.6"
"140","1","3",6,20,6.9,9.7,24,11.91,"3.6"
"141","1","3",6,30,12.7,16.1,117,21.91,"3.6"
"142","1","3",6,40,17.1,20.8,227,31.91,"3.6"
"143","1","3",6,50,21.7,24.3,511,41.91,"3.6"
"144","1","3",6,60,25.7,27.1,747,51.91,"3.6"
"145","1","3",6,70,28.9,29.6,1002,61.91,"3.6"
"146","1","3",6,80,31.6,32,1278,71.91,"3.6"
"147","1","3",6,90,33.9,34.2,1553,81.91,"3.6"
"148","1","3",6,100,35.6,36.3,1836,91.91,"3.6"
"150","1","3",10,20,5.8,6.4,10,10,"3.10"
"151","1","3",10,30,10.7,11.7,56,20,"3.10"
"152","1","3",10,40,15.2,16.3,152,30,"3.10"
"153","1","3",10,50,19.1,20.4,303,40,"3.10"
"154","1","3",10,60,22.7,24.2,510,50,"3.10"
"155","1","3",10,70,26.1,27.5,758,60,"3.10"
"156","1","3",10,80,28,30.4,1016,70,"3.10"
"157","1","3",10,90,29.2,32.7,1252,80,"3.10"
"158","1","3",10,100,30.8,35.2,1507,90,"3.10"
"159","1","3",10,110,33.6,37.2,1745,100,"3.10"
"160","1","3",10,120,35.7,38.9,1973,110,"3.10"
"161","1","3",11,10,2.3,2.4,2.2,2.44,"3.11"
"162","1","3",11,20,6.4,8.3,20,12.44,"3.11"
"163","1","3",11,30,11.9,14.4,93,22.44,"3.11"
"164","1","3",11,40,16.9,20.1,262,32.44,"3.11"
"165","1","3",11,50,21.3,24.2,476,42.44,"3.11"
"166","1","3",11,60,25.4,27.2,705,52.44,"3.11"
"167","1","3",11,70,28.8,30,967,62.44,"3.11"
"168","1","3",11,80,31.1,32.3,1203,72.44,"3.11"
"169","1","3",11,90,32.5,34.2,1409,82.44,"3.11"
"170","1","3",11,100,34,36.5,1659,92.44,"3.11"
"171","1","3",11,110,35.6,38.5,1898,102.44,"3.11"
"172","1","3",11,120,36.9,40.1,2106,112.44,"3.11"
"173","1","3",12,10,2,1.2,0.8,2.06,"3.12"
"174","1","3",12,20,5.4,6.6,9,12.06,"3.12"
"175","1","3",12,30,10.7,14.8,84,22.06,"3.12"
"176","1","3",12,40,16.1,22.8,305,32.06,"3.12"
"177","1","3",12,50,21,29,633,42.06,"3.12"
"178","1","3",12,60,25.8,33.7,1034,52.06,"3.12"
"179","1","3",12,70,29.2,36.8,1408,62.06,"3.12"
"180","1","3",12,80,31.6,39.4,1746,72.06,"3.12"
"181","1","3",12,90,33.1,41.8,2085,82.06,"3.12"
"182","1","3",12,100,34.3,44,2411,92.06,"3.12"
"183","1","3",12,110,35.9,46.4,2790,102.06,"3.12"
"184","1","3",12,120,37.4,48.2,3111,112.06,"3.12"
"185","1","4",1,10,2.1,1.6,0.9,1.78,"4.1"
"186","1","4",1,20,6.6,8.3,17,11.78,"4.1"
"187","1","4",1,30,11.4,13.5,77,21.78,"4.1"
"188","1","4",1,40,15.9,17.8,194,31.78,"4.1"
"189","1","4",1,50,19.8,20.7,339,41.78,"4.1"
"190","1","4",1,60,23.2,23.3,503,51.78,"4.1"
"191","1","4",1,70,24.9,25.5,665,61.78,"4.1"
"192","1","4",2,10,2.2,1.5,0.1,2.05,"4.2"
"193","1","4",2,20,6.6,8.2,6,12.05,"4.2"
"194","1","4",2,30,11.1,13.2,46,22.05,"4.2"
"195","1","4",2,40,15.5,17.7,146,32.05,"4.2"
"196","1","4",2,50,19.2,21,316,42.05,"4.2"
"197","1","4",2,60,22.4,23.4,525,52.05,"4.2"
"198","1","4",2,70,25.1,25.7,765,62.05,"4.2"
"200","1","4",6,20,4.7,5,17,9.44,"4.6"
"201","1","4",6,30,10.1,11.3,72,19.44,"4.6"
"202","1","4",6,40,14.8,16.6,188,29.44,"4.6"
"203","1","4",6,50,18.9,21.3,335,39.44,"4.6"
"204","1","4",6,60,22.3,25.1,483,49.44,"4.6"
"205","1","4",6,70,25.5,28,644,59.44,"4.6"
"206","1","4",6,80,27.7,30.4,999,69.44,"4.6"
"207","1","4",6,90,30.3,33,1280,79.44,"4.6"
"208","1","4",6,100,32.6,35.6,1576,89.44,"4.6"
"209","1","4",6,110,34.6,37.8,1850,99.44,"4.6"
"211","1","5",4,20,5.5,7.9,16,9.77,"5.4"
"212","1","5",4,30,10.5,15.3,92,19.77,"5.4"
"213","1","5",4,40,16,22.5,287,29.77,"5.4"
"214","1","5",4,50,19.4,26.3,488,39.77,"5.4"
"215","1","5",4,60,22.6,28.5,679,49.77,"5.4"
"216","1","5",4,70,24.8,30.5,874,59.77,"5.4"
"217","1","5",4,80,27.5,32.4,1080,69.77,"5.4"
"218","1","5",4,90,29.4,33.9,1265,79.77,"5.4"
"220","1","5",13,20,3.4,4.6,4,9.55,"5.13"
"221","1","5",13,30,7.5,10.1,28,19.55,"5.13"
"222","1","5",13,40,12.1,16.1,109,29.55,"5.13"
"223","1","5",13,50,16.5,21.7,285,39.55,"5.13"
"224","1","5",13,60,20.9,25.7,470,49.55,"5.13"
"225","1","5",13,70,24.8,28.9,699,59.55,"5.13"
"226","1","5",13,80,27.9,31.7,932,69.55,"5.13"
"227","1","5",13,90,30.4,34.1,1161,79.55,"5.13"
"228","1","5",25,10,1.5,0.5,0.4,0.43,"5.25"
"229","1","5",25,20,6.2,8,16,10.43,"5.25"
"230","1","5",25,30,11.1,14.8,84,20.43,"5.25"
"231","1","5",25,40,15.3,19.5,206,30.43,"5.25"
"232","1","5",25,50,18.9,23.1,260,40.43,"5.25"
"233","1","5",25,60,21.9,26.5,563,50.43,"5.25"
"234","1","5",25,70,24.8,29.7,793,60.43,"5.25"
"235","1","5",25,80,27.7,33.1,1072,70.43,"5.25"
"236","1","5",25,90,29.7,35.5,1305,80.43,"5.25"
"237","1","5",25,100,31.5,38.5,1560,90.43,"5.25"
"238","1","5",25,110,33.1,40.9,1808,100.43,"5.25"
"239","1","5",25,120,34.8,43.6,2099,110.43,"5.25"
"240","1","5",25,130,36.4,46.4,2418,120.43,"5.25"
"241","1","5",25,140,38,49.3,2771,130.43,"5.25"
"242","1","5",25,150,39.3,51.8,3124,140.43,"5.25"
"244","2","1",8,20,4.3,4.9,5,10,"1.8"
"245","2","1",8,30,8.2,8.6,23,20,"1.8"
"246","2","1",8,40,10.9,12.1,65,30,"1.8"
"247","2","1",8,50,15.5,14.9,126,40,"1.8"
"248","2","1",8,60,18.9,17.1,206,50,"1.8"
"249","2","1",8,70,21.9,19.2,304,60,"1.8"
"250","2","1",8,80,23.7,20.9,400,70,"1.8"
"251","2","1",8,90,25.2,22.6,512,80,"1.8"
"252","2","1",8,100,26.4,23.8,607,90,"1.8"
"253","2","1",8,110,27.5,25,697,100,"1.8"
"254","2","1",8,120,28.6,25.7,759,110,"1.8"
"255","2","1",8,130,29.5,26.3,815,120,"1.8"
"256","2","1",8,140,30.4,26.9,880,130,"1.8"
"257","2","1",8,150,31.4,27.4,943,140,"1.8"
"259","2","1",9,20,2.5,2.4,1,7.5,"1.9"
"260","2","1",9,30,4.8,5.9,7,17.5,"1.9"
"261","2","1",9,40,8,9.3,27,27.5,"1.9"
"262","2","1",9,50,12.2,12.7,75,37.5,"1.9"
"263","2","1",9,60,16.2,16.5,170,47.5,"1.9"
"264","2","1",9,70,19.7,19.5,283,57.5,"1.9"
"265","2","1",9,80,22.7,22.1,425,67.5,"1.9"
"266","2","1",9,90,25.1,24.4,591,77.5,"1.9"
"267","2","1",9,100,27.3,26.5,764,87.5,"1.9"
"268","2","1",9,110,28.9,28.5,950,97.5,"1.9"
"269","2","1",9,120,30.2,30.3,1128,107.5,"1.9"
"270","2","1",9,130,31.7,32.6,1361,117.5,"1.9"
"271","2","1",9,140,33.4,35,1626,127.5,"1.9"
"272","2","1",9,150,34.9,37.4,1890,137.5,"1.9"
"274","2","1",10,20,5,5.4,7,10,"1.10"
"275","2","1",10,30,10.3,11.4,51,20,"1.10"
"276","2","1",10,40,15.4,16,153,30,"1.10"
"277","2","1",10,50,19.4,19.3,289,40,"1.10"
"278","2","1",10,60,22.5,22.2,453,50,"1.10"
"279","2","1",10,70,24.9,24.5,604,60,"1.10"
"280","2","1",10,80,27.5,27,812,70,"1.10"
"281","2","1",10,90,29.4,28.8,997,80,"1.10"
"282","2","1",10,100,30.8,30.6,1184,90,"1.10"
"283","2","1",10,110,32,32.2,1368,100,"1.10"
"284","2","1",10,120,32.9,33.6,1539,110,"1.10"
"285","2","1",10,130,34.6,35.3,1754,120,"1.10"
"286","2","1",10,140,36.5,37.1,1995,130,"1.10"
"287","2","1",10,150,37.9,38.9,2257,140,"1.10"
"289","2","1",11,20,5.5,6.3,9,10,"1.11"
"290","2","1",11,30,8.1,10,30,20,"1.11"
"291","2","1",11,40,10.9,13.3,68,30,"1.11"
"292","2","1",11,50,13.8,15.1,120,40,"1.11"
"293","2","1",11,60,17,19.5,252,50,"1.11"
"294","2","1",11,70,20.1,23.6,428,60,"1.11"
"295","2","1",11,80,22.8,27.5,651,70,"1.11"
"296","2","1",11,90,25.1,30.4,876,80,"1.11"
"297","2","1",11,100,27.1,33.2,1118,90,"1.11"
"298","2","1",11,110,28.8,35.5,1342,100,"1.11"
"299","2","1",11,120,30.5,38,1600,110,"1.11"
"300","2","1",11,130,31.9,40.8,1883,120,"1.11"
"301","2","1",11,140,32.9,43.1,2137,130,"1.11"
"302","2","1",11,150,34.1,45.3,2385,140,"1.11"
"304","2","3",3,20,3.3,4,4,10,"3.3"
"305","2","3",3,30,6.6,9.5,24,20,"3.3"
"306","2","3",3,40,10.4,14.6,77,30,"3.3"
"307","2","3",3,50,15,19.1,188,40,"3.3"
"308","2","3",3,60,19.6,23.3,358,50,"3.3"
"309","2","3",3,70,22.6,26.3,558,60,"3.3"
"310","2","3",3,80,25.1,29,762,70,"3.3"
"311","2","3",4,10,1.5,0.2,0.4,0.63,"3.4"
