"","Minute","X5","X7","X8","X10","X14","X15","X18","X23"
"1",1,80.3,2.6,60.6,0,35.2,275.4,0,7.2
"2",2,180.2,0,57.2,0,96.4,184,0,51.6
"3",3,118.2,7.8,7.6,0,176.2,125.6,0,0
"4",4,195.5,0,45.2,0,74.33150651,74,0,0
"5",5,25.6,0,110.4,0,20,19.2,0,0
"6",6,0,10.2,50.2,87.75,7.6,14.4,0,76.8
"7",7,7.5,0,7.6,44.5,0,9.6,0,31.4
"8",8,48.9,0,12.6,111,20,24.2,0,57
"9",9,52.2,0,47.8,0,7.6,63.2,0,87
"10",10,64.8,0,25,0,12.6,7.2,0,29
"11",11,53.9,0,2.6,44.5,102.4,38.6,0,2.4
"12",12,0,15.4,63.2,28.25,2.6,38.6,0,45.8
"13",13,0,12.8,134,67.25,12.6,31.4,0,155
"14",14,56.2,0,97.4,44.5,15,31.2,0,12
"15",15,54.5,0,2.6,9.5,17.6,9.6,0,29
"16",16,99.8,0,7.6,0,98.4,12,55.33333333,0
"17",17,79,0,125.4,48.25,56.73150651,28.8,0,75.8
"18",18,62.2,0,72.8,294.25,17.6,33.8,0,106.6
"19",19,41,35.8,15,273,7.6,14.4,34,81.2
"20",20,22.1,7.6,129.6,85.5,12.6,36.2,0,4.8
"21",21,129.9,0,161.2,0,2.6,9.6,81,19.4
"22",22,18,0,327.2,226,0,37.2,243.3333333,17
"23",23,25.1,0,15.65696313,48.25,0,16.8,406.3333333,7.2
"24",24,0,0,147.6,12.5,56.8,14.4,42.66666667,46.2
"25",25,0,5.2,38.6,283.5,89.4,9.6,51.33333333,179.8
"26",26,0,0,0,37.75,99.8,9.6,34,0
"27",27,0,0,0,126.75,0,7.2,153.6666667,7.2
"28",28,0,5.2,2.6,34.5,10.2,0,0,26.6
"29",29,0,0,0,22,12.6,0,0,66.6
"30",30,0,0,0,15.75,7.6,21.8,0,51.6
"31",31,0,0,35.2,71,0,2.4,0,120.8
"32",32,65.2,0,22.6,0,12.6,7.2,0,9.6
"33",33,17,0,0,15.75,30.2,2.4,8.666666667,12
"34",34,0,0,0,12.5,0,9.6,0,14.4
"35",35,49.9,0,0,55.75,0,31.4,21.33333333,184
"36",36,87.1,0,0,131.75,0,4.8,117.6666667,14.4
"37",37,112.8,0,0,67.25,15,9.6,0,4.8
"38",38,136.9,0,0,31.5,0,72.8,0,4.8
"39",39,150.1,0,0,37.75,0,56.4,17,2.4
"40",40,112.2,0,5,3.25,0,26.6,0,21.8
"41",41,26.5,0,0,25,0,85,34,4.8
"42",42,10.5,2.6,0,0,0,122.6,86.33333333,9.6
"43",43,39.8,2.6,0,22,2.6,38.6,325,0
"44",44,69.4,0,7.6,0,10,90.4,135.6666667,60.2
"45",45,55.2,0,0,0,5.2,102.4,371.3333333,99.2
"46",46,52.6,0,0,0,41.6,24.2,274,50.8
"47",47,24.8,56.2,41.6,0,10,2.4,179.3333333,12
"48",48,16,50.8,10.2,0,0,19.2,651,14.4
"49",49,27.4,18,0,0,10,33.6,520.6666667,14.4
"50",50,65.2,7.6,5,3.25,12.6,26.4,106.6666667,43.4
"51",51,56,20.4,5,34.5,65.6,112.2,0,12
"52",52,32.9,0,20,113,5,87,0,63.2
"53",53,5,0,5,0,38.6,85.8,0,112.4
"54",54,6,0,0,34.5,27.6,19.4,0,36.2
"55",55,13,136.8,0,91,67.2,43.4,0,19.4
"56",56,104.8,222.8,0,82.25,2.6,7.2,0,166
"57",57,117.3,5.2,15,0,20,4.8,0,36.2
"58",58,222.1,7.6,0,0,7.6,7.2,101.6666667,2.4
"59",59,107.4,0,0,120.5,7.6,4.8,0,65.6
"60",60,5,0,0,259.25,0,2.4,0,16.8
"61",61,0,0,0,44.5,143,4.8,0,41
"62",62,0,0,2.6,126.75,22.6,24.2,0,45.8
"63",63,0,0,0,0,0,9.6,0,24
"64",64,0,0,0,0,0,26.6,0,33.8
"65",65,55.7,0,0,0,5,14.4,0,50.8
"66",66,10.5,0,0,0,0,0,0,24
"67",67,0,0,0,0,0,0,0,28.8
"68",68,2,2.6,0,0,32.6,16.8,0,21.8
"69",69,2,0,0,0,5,9.6,0,33.8
"70",70,0,0,0,0,0,12,0,2.4
"71",71,0,0,0,0,22.6,21.6,34,31.4
"72",72,11,0,0,0,17.6,36,38.33333333,9.6
"73",73,0,5.2,2.6,99.75,15,4.8,0,14.4
"74",74,7,0,0,108.5,0,56.4,0,16.8
"75",75,0,0,2.6,0,10,9.6,47,41
"76",76,4.5,0,7.6,0,5,7.2,0,16.8
"77",77,6,0,0,0,0,56,0,14.4
"78",78,0,38.4,0,0,15,16.8,55.33333333,29
"79",79,0,0,0,6.25,62.4,2.4,0,0
"80",80,0,0,2.6,0,5,0,0,183.6
"81",81,2,23,12.6,0,5,21.6,0,58.4
"82",82,0,18,0,28.25,35.6,26.6,0,14.4
"83",83,9,0,76.2,0,0,55.6,0,48.8
"84",84,0,0,70.6,0,0,33.8,0,9.6
"85",85,0,0,7.6,0,0,16.8,0,9.6
"86",86,0,0,0,0,0,56.6,0,14.4
"87",87,0,0,2.6,0,0,121.6,0,39.6
"88",88,0,0,0,0,0,54.4,0,73.4
"89",89,0,0,0,74.75,0,55.6,0,60.6
"90",90,0,2.6,0,0,5,111.6,0,17
"91",91,0,0,0,9.5,86.8,290.2,0,21.8
"92",92,0,25.6,0,0,15,148.2,0,0
"93",93,0,0,0,0,0,100,0,2.4
"94",94,21.5,0,0,0,62.8,142,0,0
"95",95,48.6,0,0,78.5,25,93.8,0,19.4
"96",96,0.5,7.6,0,0,186.2,108.6,0,76.8
"97",97,0,0,32.6,0,134.6,117.4,0,81.2
